asOfDate,RealCoupon,ModelCoupon,RealMortgageRate,RealServiceSpread,,,,,,,,
12/27/2010,4.21284,4.14290385,4.81,0.59716,1,0.05,,,,,,
12/23/2010,4.22651,4.177434549,4.81,0.58349,4,0,,,,,,
12/22/2010,4.1785,4.115037725,4.735,0.5565,3,0.25,,,,,,
12/21/2010,4.17478,4.089525673,4.735,0.56022,2,0.7,,,,,,
12/20/2010,4.21062,4.128016941,4.735,0.52438,1,0.05,,,,,,
12/17/2010,4.16702,4.133692463,4.735,0.56798,5,0,,,,,,
12/16/2010,4.35639,4.31735933,4.735,0.37861,4,0,,,,,,
12/15/2010,4.38412,4.375506321,4.755,0.37088,3,0.25,,,,,,
12/14/2010,4.28748,4.261889099,4.755,0.46752,2,0.7,,,,,,
12/13/2010,4.10897,4.09593205,4.755,0.64603,1,0.05,,,,,,
12/10/2010,4.12836,4.127233374,4.755,0.62664,5,0,,,,,,
12/9/2010,4.05607,4.030780996,4.755,0.69893,4,0,,,,,,
12/8/2010,4.10539,4.082476197,4.535,0.42961,3,0.25,,,,,,
12/7/2010,4.05507,4.026381611,4.535,0.47993,2,0.7,,,,,,
12/6/2010,3.85103,3.785276001,4.535,0.68397,1,0.05,,,,,,
12/3/2010,3.94457,3.842007706,4.535,0.59043,5,0,,,,,,
12/2/2010,3.9594,3.867583909,4.535,0.5756,4,0,,,,,,
12/1/2010,3.93437,3.829527206,4.41,0.47563,3,0.25,,,,,,
11/30/2010,3.77972,3.672560177,4.41,0.63028,2,0.7,,,,,,
11/29/2010,3.77045,3.670329731,4.41,0.63955,1,0.05,,,,,,
11/26/2010,3.82273,3.698981038,4.41,0.58727,5,0,,,,,,
11/24/2010,3.85371,3.716550669,4.35,0.49629,3,0.25,,,,,,
11/23/2010,3.70185,3.552299757,4.35,0.64815,2,0.7,,,,,,
11/22/2010,3.72761,3.599436854,4.35,0.62239,1,0.05,,,,,,
11/19/2010,3.7657,3.669690602,4.35,0.5843,5,0,,,,,,
11/18/2010,3.75041,3.684962378,4.365,0.61459,4,0,,,,,,
11/17/2010,3.71929,3.63805133,4.35,0.63071,3,0.25,,,,,,
11/16/2010,3.72168,3.630976162,4.365,0.64332,2,0.7,,,,,,
11/15/2010,3.73584,3.670303151,4.365,0.62916,1,0.05,,,,,,
11/12/2010,3.60847,3.520786254,4.365,0.75653,5,0,,,,,,
11/10/2010,3.48752,3.426850742,4.12,0.63248,3,0.25,,,,,,
11/9/2010,3.50051,3.43375069,4.12,0.61949,2,0.7,,,,,,
11/8/2010,3.40193,3.305210145,4.12,0.71807,1,0.05,,,,,,
11/5/2010,3.36448,3.262794261,4.12,0.75552,5,0,,,,,,
11/4/2010,3.29328,3.209632751,4.12,0.82672,4,0,,,,,,
11/3/2010,3.37888,3.29278177,4.19,0.81112,3,0.25,,,,,,
11/2/2010,3.39423,3.300904592,4.19,0.79577,2,0.7,,,,,,
11/1/2010,3.44378,3.306702598,4.19,0.74622,1,0.05,,,,,,
10/29/2010,3.39784,3.276398556,4.19,0.79216,5,0,,,,,,
10/28/2010,3.43496,3.313646825,4.19,0.75504,4,0,,,,,,
10/27/2010,3.49728,3.363718236,4.18,0.68272,3,0.25,,,,,,
10/26/2010,3.44702,3.297246617,4.18,0.73298,2,0.7,,,,,,
10/25/2010,3.37385,3.210280198,4.18,0.80615,1,0.05,,,,,,
10/22/2010,3.31808,3.222606558,4.18,0.86192,5,0,,,,,,
10/21/2010,3.29243,3.167326124,4.18,0.88757,4,0,,,,,,
10/20/2010,3.25515,3.09484612,4.16,0.90485,3,0.25,,,,,,
10/19/2010,3.26986,3.11288164,4.16,0.89014,2,0.7,,,,,,
10/18/2010,3.29994,3.141176151,4.16,0.86006,1,0.05,,,,,,
10/15/2010,3.37537,3.207513551,4.16,0.78463,5,0,,,,,,
10/14/2010,3.28492,3.173475961,4.16,0.87508,4,0,,,,,,
10/13/2010,3.26187,3.095978901,4.14,0.87813,3,0.25,,,,,,
10/12/2010,3.28568,3.124837019,4.14,0.85432,2,0.7,,,,,,
10/8/2010,3.23046,3.117285171,4.14,0.90954,5,0,,,,,,
10/7/2010,3.22365,3.16744853,4.14,0.91635,4,0,,,,,,
10/6/2010,3.26279,3.192486765,4.22,0.95721,3,0.25,,,,,,
10/5/2010,3.33659,3.284917921,4.22,0.88341,2,0.7,,,,,,
10/4/2010,3.33557,3.283689402,4.22,0.88443,1,0.05,,,,,,
10/1/2010,3.38871,3.312795499,4.22,0.83129,5,0,,,,,,
9/30/2010,3.38375,3.311618103,4.22,0.83625,4,0,,,,,,
9/29/2010,3.37806,3.3139679,4.27,0.89194,3,0.25,,,,,,
9/28/2010,3.31266,3.251413057,4.27,0.95734,2,0.7,,,,,,
9/27/2010,3.35455,3.301595465,4.27,0.91545,1,0.05,,,,,,
9/24/2010,3.44779,3.356797518,4.27,0.82221,5,0,,,,,,
9/23/2010,3.38126,3.304942148,4.27,0.88874,4,0,,,,,,
9/22/2010,3.34862,3.284414795,4.295,0.94638,3,0.25,,,,,,
9/21/2010,3.38169,3.312267149,4.295,0.91331,2,0.7,,,,,,
9/20/2010,3.50729,3.417677531,4.295,0.78771,1,0.05,,,,,,
9/17/2010,3.58122,3.429819263,4.295,0.71378,5,0,,,,,,
9/16/2010,3.54526,3.43725751,4.295,0.74974,4,0,,,,,,
9/15/2010,3.49999,3.379992535,4.295,0.79501,3,0.25,,,,,,
9/14/2010,3.42404,3.31285747,4.295,0.87096,2,0.7,,,,,,
9/13/2010,3.48266,3.387808104,4.295,0.81234,1,0.05,,,,,,
9/10/2010,3.58242,3.440989835,4.295,0.71258,5,0,,,,,,
9/9/2010,3.27423,3.390533312,4.295,1.02077,4,0,,,,,,
9/3/2010,3.48233,3.278582918,4.275,0.79267,5,0,,,,,,
9/2/2010,3.37636,3.260119571,4.275,0.89864,4,0,,,,,,
9/1/2010,3.30826,3.243642808,4.245,0.93674,3,0.25,,,,,,
8/31/2010,3.19108,3.136298493,4.245,1.05392,2,0.7,,,,,,
8/30/2010,3.33669,3.189385709,4.245,0.90831,1,0.05,,,,,,
8/27/2010,3.47055,3.26106079,4.245,0.77445,5,0,,,,,,
8/26/2010,3.30296,3.147862193,4.245,0.94204,4,0,,,,,,
8/25/2010,3.36868,3.166193829,4.285,0.91632,3,0.25,,,,,,
8/24/2010,3.3561,3.12842976,4.285,0.9289,2,0.7,,,,,,
8/23/2010,3.42399,3.207544851,4.285,0.86101,1,0.05,,,,,,
8/20/2010,3.42281,3.216288945,4.285,0.86219,5,0,,,,,,
8/19/2010,3.30888,3.186930397,4.285,0.97612,4,0,,,,,,
8/18/2010,3.44987,3.235009129,4.345,0.89513,3,0.25,,,,,,
8/17/2010,3.40141,3.246403302,4.345,0.94359,2,0.7,,,,,,
8/16/2010,3.30867,3.233093557,4.345,1.03633,1,0.05,,,,,,
8/13/2010,3.37661,3.275953871,4.345,0.96839,5,0,,,,,,
8/12/2010,3.44748,3.291848889,4.345,0.89752,4,0,,,,,,
8/11/2010,3.34099,3.239852383,4.365,1.02401,3,0.25,,,,,,
8/10/2010,3.44746,3.334960811,4.365,0.91754,2,0.7,,,,,,
8/9/2010,3.48853,3.405966806,4.365,0.87647,1,0.05,,,,,,
8/6/2010,3.48719,3.42208035,4.365,0.87781,5,0,,,,,,
8/5/2010,3.55337,3.490779127,4.365,0.81163,4,0,,,,,,
8/4/2010,3.5817,3.530246442,4.415,0.8333,3,0.25,,,,,,
8/3/2010,3.52286,3.496701639,4.415,0.89214,2,0.7,,,,,,
8/2/2010,3.5727,3.54123863,4.415,0.8423,1,0.05,,,,,,
7/30/2010,3.48603,3.503904021,4.415,0.92897,5,0,,,,,,
7/29/2010,3.55631,3.569039744,4.415,0.85869,4,0,,,,,,
7/28/2010,3.57124,3.576100033,4.465,0.89376,3,0.25,,,,,,
7/27/2010,3.62,3.65311623,4.465,0.845,2,0.7,,,,,,
7/26/2010,3.6203,3.611218027,4.465,0.8447,1,0.05,,,,,,
7/23/2010,3.61862,3.625280544,4.465,0.84638,5,0,,,,,,
7/22/2010,3.57445,3.587000512,4.465,0.89055,4,0,,,,,,
7/21/2010,3.56787,3.573702063,4.485,0.91713,3,0.25,,,,,,
7/20/2010,3.63593,3.610458967,4.485,0.84907,2,0.7,,,,,,
7/19/2010,3.65741,3.648319178,4.485,0.82759,1,0.05,,,,,,
7/16/2010,3.59773,3.626691484,4.485,0.88727,5,0,,,,,,
7/15/2010,3.61225,3.674312093,4.485,0.87275,4,0,,,,,,
7/14/2010,3.70043,3.750143112,4.495,0.79457,3,0.25,,,,,,
7/13/2010,3.75306,3.81030538,4.495,0.74194,2,0.7,,,,,,
7/12/2010,3.71395,3.774725835,4.495,0.78105,1,0.05,,,,,,
7/9/2010,3.71575,3.783442458,4.495,0.77925,5,0,,,,,,
7/8/2010,3.71168,3.754507413,4.495,0.78332,4,0,,,,,,
7/7/2010,3.69837,3.726539614,4.495,0.79663,3,0.25,,,,,,
7/6/2010,3.63513,3.730317211,4.495,0.85987,2,0.7,,,,,,
7/2/2010,3.71696,3.785107368,4.495,0.77804,5,0,,,,,,
7/1/2010,3.69379,3.769086633,4.495,0.80121,4,0,,,,,,
6/30/2010,3.72459,3.785730628,4.505,0.78041,3,0.25,,,,,,
6/29/2010,3.72533,3.796179366,4.505,0.77967,2,0.7,,,,,,
6/28/2010,3.76157,3.850735444,4.505,0.74343,1,0.05,,,,,,
6/25/2010,3.86458,3.953189102,4.505,0.64042,5,0,,,,,,
6/24/2010,3.90814,3.98592731,4.505,0.59686,4,0,,,,,,
6/23/2010,3.83092,3.963060164,4.615,0.78408,3,0.25,,,,,,
6/22/2010,3.87492,4.018089463,4.615,0.74008,2,0.7,,,,,,
6/21/2010,3.95504,4.055949025,4.615,0.65996,1,0.05,,,,,,
6/18/2010,3.97044,4.072480708,4.615,0.64456,5,0,,,,,,
6/17/2010,3.96819,4.056113336,4.615,0.64681,4,0,,,,,,
6/16/2010,4.05488,4.136161502,4.675,0.62012,3,0.25,,,,,,
6/15/2010,4.07554,4.172937027,4.675,0.59946,2,0.7,,,,,,
6/14/2010,4.03885,4.16512262,4.675,0.63615,1,0.05,,,,,,
6/11/2010,4.02205,4.142129488,4.675,0.65295,5,0,,,,,,
6/10/2010,4.10653,4.220951644,4.675,0.56847,4,0,,,,,,
6/9/2010,3.99425,4.140164093,4.645,0.65075,3,0.25,,,,,,
6/8/2010,3.99958,4.171677761,4.645,0.64542,2,0.7,,,,,,
6/7/2010,4.03222,4.166552483,4.645,0.61278,1,0.05,,,,,,
6/4/2010,4.0385,4.172186703,4.645,0.6065,5,0,,,,,,
6/3/2010,4.18758,4.284582707,4.645,0.45742,4,0,,,,,,
6/2/2010,4.17668,4.260012964,4.74,0.56332,3,0.25,,,,,,
6/1/2010,4.15107,4.245489531,4.74,0.58893,2,0.7,,,,,,
5/28/2010,4.15474,4.231266111,4.74,0.58526,5,0,,,,,,
5/27/2010,4.18162,4.275892347,4.74,0.55838,4,0,,,,,,
5/26/2010,4.08488,4.202878916,4.705,0.62012,3,0.25,,,,,,
5/25/2010,4.05822,4.183879034,4.705,0.64678,2,0.7,,,,,,
5/24/2010,4.11355,4.192257726,4.705,0.59145,1,0.05,,,,,,
5/21/2010,4.04344,4.170646065,4.705,0.66156,5,0,,,,,,
5/20/2010,4.0603,4.251870419,4.705,0.6447,4,0,,,,,,
5/19/2010,4.12777,4.304602246,4.765,0.63723,3,0.25,,,,,,
5/18/2010,4.1366,4.306018929,4.765,0.6284,2,0.7,,,,,,
5/17/2010,4.19016,4.34810418,4.765,0.57484,1,0.05,,,,,,
5/14/2010,4.19185,4.335398682,4.765,0.57315,5,0,,,,,,
5/13/2010,4.28249,4.368737505,4.765,0.48251,4,0,,,,,,
5/12/2010,4.29267,4.388889975,4.855,0.56233,3,0.25,,,,,,
5/11/2010,4.28638,4.392642768,4.855,0.56862,2,0.7,,,,,,
5/10/2010,4.31165,4.42433119,4.855,0.54335,1,0.05,,,,,,
5/7/2010,4.25838,4.384906779,4.855,0.59662,5,0,,,,,,
5/6/2010,4.22256,4.462457327,4.855,0.63244,4,0,,,,,,
5/5/2010,4.33516,4.481039785,4.925,0.58984,3,0.25,,,,,,
5/4/2010,4.38044,4.499746806,4.925,0.54456,2,0.7,,,,,,
5/3/2010,4.43302,4.485810521,4.925,0.49198,1,0.05,,,,,,
4/30/2010,4.3907,4.421021665,4.925,0.5343,5,0,,,,,,
4/29/2010,4.42317,4.398899684,4.925,0.50183,4,0,,,,,,
4/28/2010,4.46529,4.475489219,4.985,0.51971,3,0.25,,,,,,
4/27/2010,4.40982,4.440833272,4.985,0.57518,2,0.7,,,,,,
4/26/2010,4.48697,4.489223427,4.985,0.49803,1,0.05,,,,,,
4/23/2010,4.49658,4.475491786,4.985,0.48842,5,0,,,,,,
4/22/2010,4.47368,4.41312538,4.985,0.51132,4,0,,,,,,
4/21/2010,4.4287,4.361901592,4.995,0.5663,3,0.25,,,,,,
4/20/2010,4.47168,4.387977731,4.995,0.52332,2,0.7,,,,,,
4/19/2010,4.46477,4.368719371,4.995,0.53023,1,0.05,,,,,,
4/16/2010,4.42115,4.317703725,4.995,0.57385,5,0,,,,,,
4/15/2010,4.47895,4.400949154,4.995,0.51605,4,0,,,,,,
4/14/2010,4.48641,4.422505929,4.97,0.48359,3,0.25,,,,,,
4/13/2010,4.43649,4.395677796,4.97,0.53351,2,0.7,,,,,,
4/12/2010,4.46068,4.431119847,4.97,0.50932,1,0.05,,,,,,
4/9/2010,4.5415,4.475775112,4.97,0.4285,5,0,,,,,,
4/8/2010,4.55471,4.479849913,4.97,0.41529,4,0,,,,,,
4/7/2010,4.53391,4.437084546,5.11,0.57609,3,0.25,,,,,,
4/6/2010,4.63966,4.524856391,5.11,0.47034,2,0.7,,,,,,
4/5/2010,4.67493,4.604449116,5.11,0.43507,1,0.05,,,,,,
4/1/2010,4.55501,4.454846851,5.11,0.55499,4,0,,,,,,
3/31/2010,4.50331,4.395162885,5.005,0.50169,3,0.25,,,,,,
3/30/2010,4.48989,4.423241171,5.005,0.51511,2,0.7,,,,,,
3/29/2010,4.45928,4.440549023,5.005,0.54572,1,0.05,,,,,,
3/26/2010,4.45679,4.413553173,5.005,0.54821,5,0,,,,,,
3/25/2010,4.51081,4.47039233,5.005,0.49419,4,0,,,,,,
3/24/2010,4.44807,4.432521423,4.89,0.44193,3,0.25,,,,,,
3/23/2010,4.32888,4.331063207,4.89,0.56112,2,0.7,,,,,,
3/22/2010,4.32647,4.34129875,4.89,0.56353,1,0.05,,,,,,
3/19/2010,4.35592,4.375593594,4.89,0.53408,5,0,,,,,,
3/18/2010,4.33242,4.335372769,4.89,0.55758,4,0,,,,,,
3/17/2010,4.29599,4.295148131,4.885,0.58901,3,0.25,,,,,,
3/16/2010,4.31666,4.320906586,4.885,0.56834,2,0.7,,,,,,
3/15/2010,4.33894,4.383422947,4.885,0.54606,1,0.05,,,,,,
3/12/2010,4.34343,4.402928649,4.885,0.54157,5,0,,,,,,
3/11/2010,4.32585,4.409398733,4.885,0.55915,4,0,,,,,,
3/10/2010,4.31726,4.395358384,4.875,0.55774,3,0.25,,,,,,
3/9/2010,4.30864,4.392978718,4.875,0.56636,2,0.7,,,,,,
3/8/2010,4.3426,4.424626271,4.875,0.5324,1,0.05,,,,,,
3/5/2010,4.32644,4.40563414,4.875,0.54856,5,0,,,,,,
3/4/2010,4.28354,4.339152024,4.875,0.59146,4,0,,,,,,
3/3/2010,4.30757,4.379094957,4.895,0.58743,3,0.25,,,,,,
3/2/2010,4.33437,4.381771025,4.895,0.56063,2,0.7,,,,,,
3/1/2010,4.32837,4.394231981,4.895,0.56663,1,0.05,,,,,,
2/26/2010,4.29075,4.383528295,4.895,0.60425,5,0,,,,,,
2/25/2010,4.35418,4.416005682,4.895,0.54082,4,0,,,,,,
2/24/2010,4.39585,4.469679702,4.975,0.57915,3,0.25,,,,,,
2/23/2010,4.39144,4.4748323,4.975,0.58356,2,0.7,,,,,,
2/22/2010,4.46245,4.565083791,4.975,0.51255,1,0.05,,,,,,
2/19/2010,4.48631,4.594358421,4.975,0.48869,5,0,,,,,,
2/18/2010,4.46816,4.596891768,4.975,0.50684,4,0,,,,,,
2/17/2010,4.3914,4.558350684,4.855,0.4636,3,0.25,,,,,,
2/16/2010,4.32327,4.499061389,4.855,0.53173,2,0.7,,,,,,
2/12/2010,4.34606,4.534656662,4.855,0.50894,5,0,,,,,,
2/11/2010,4.39879,4.602304428,4.855,0.45621,4,0,,,,,,
2/10/2010,4.40636,4.606238484,4.895,0.48864,3,0.25,,,,,,
2/9/2010,4.36532,4.546703234,4.895,0.52968,2,0.7,,,,,,
2/8/2010,4.33204,4.483153556,4.895,0.56296,1,0.05,,,,,,
2/5/2010,4.2766,4.439901199,4.895,0.6184,5,0,,,,,,
2/4/2010,4.32385,4.510167308,4.895,0.57115,4,0,,,,,,
2/3/2010,4.39478,4.603778046,4.935,0.54022,3,0.25,,,,,,
2/2/2010,4.36193,4.546901742,4.935,0.57307,2,0.7,,,,,,
2/1/2010,4.38304,4.580818027,4.935,0.55196,1,0.05,,,,,,
1/29/2010,4.36203,4.565671319,4.935,0.57297,5,0,,,,,,
1/28/2010,4.40354,4.625233628,4.935,0.53146,4,0,,,,,,
1/27/2010,4.38713,4.624032345,4.88,0.49287,3,0.25,,,,,,
1/26/2010,4.37082,4.609115327,4.88,0.50918,2,0.7,,,,,,
1/25/2010,4.38081,4.635679178,4.88,0.49919,1,0.05,,,,,,
1/22/2010,4.34531,4.61163948,4.88,0.53469,5,0,,,,,,
1/21/2010,4.33517,4.60861379,4.88,0.54483,4,0,,,,,,
1/20/2010,4.36779,4.656582776,4.915,0.54721,3,0.25,,,,,,
1/19/2010,4.40197,4.707457174,4.915,0.51303,2,0.7,,,,,,
1/15/2010,4.36967,4.663374834,4.915,0.54533,5,0,,,,,,
1/14/2010,4.42659,4.705968211,4.915,0.48841,4,0,,,,,,
1/13/2010,4.45415,4.748155888,4.985,0.53085,3,0.25,,,,,,
1/12/2010,4.40876,4.658025623,4.985,0.57624,2,0.7,,,,,,
1/11/2010,4.48888,4.743077892,4.985,0.49612,1,0.05,,,,,,
1/8/2010,4.49953,4.760314202,4.985,0.48547,5,0,,,,,,
1/7/2010,4.50504,4.816749794,4.985,0.47996,4,0,,,,,,
1/6/2010,4.47574,4.801370443,5.015,0.53926,3,0.25,,,,,,
1/5/2010,4.43666,4.757816316,5.015,0.57834,2,0.7,,,,,,
1/4/2010,4.53253,4.871368511,5.015,0.48247,1,0.05,,,,,,
12/31/2009,4.55925,4.89313655,5.015,0.45575,4,0,,,,,,
12/30/2009,4.52277,4.831342413,5.065,0.54223,3,0.25,,,,,,
12/29/2009,4.55623,4.91034297,5.065,0.50877,2,0.7,,,,,,
12/28/2009,4.59678,4.959697494,5.065,0.46822,1,0.05,,,,,,
12/24/2009,4.54667,4.89992746,5.065,0.51833,4,0,,,,,,
12/23/2009,4.49594,4.852824932,4.975,0.47906,3,0.25,,,,,,
12/22/2009,4.4854,4.888445817,4.975,0.4896,2,0.7,,,,,,
12/21/2009,4.41004,4.821990053,4.975,0.56496,1,0.05,,,,,,
12/18/2009,4.26291,4.644562251,4.975,0.71209,5,0,,,,,,
12/17/2009,4.19822,4.60147138,4.975,0.77678,4,0,,,,,,
12/16/2009,4.32492,4.693732782,4.865,0.54008,3,0.25,,,,,,
12/15/2009,4.35407,4.71899076,4.865,0.51093,2,0.7,,,,,,
12/14/2009,4.28317,4.627555981,4.865,0.58183,1,0.05,,,,,,
12/11/2009,4.24709,4.600174152,4.865,0.61791,5,0,,,,,,
12/10/2009,4.22515,4.531706127,4.865,0.63985,4,0,,,,,,
12/9/2009,4.19167,4.474448648,4.735,0.54333,3,0.25,,,,,,
12/8/2009,4.15043,4.453406652,4.735,0.58457,2,0.7,,,,,,
12/7/2009,4.1946,4.540662828,4.735,0.5404,1,0.05,,,,,,
12/4/2009,4.24431,4.606347292,4.735,0.49069,5,0,,,,,,
12/3/2009,4.16943,4.472849693,4.735,0.56557,4,0,,,,,,
12/2/2009,4.10651,4.389334144,4.635,0.52849,3,0.25,,,,,,
12/1/2009,4.04365,4.335197179,4.635,0.59135,2,0.7,,,,,,
11/30/2009,3.949,4.250145676,4.635,0.686,1,0.05,,,,,,
11/27/2009,3.95395,4.254787842,4.635,0.68105,5,0,,,,,,
11/25/2009,3.99745,4.285706277,4.705,0.70755,3,0.25,,,,,,
11/24/2009,4.00757,4.315176538,4.705,0.69743,2,0.7,,,,,,
11/23/2009,4.08914,4.380327513,4.705,0.61586,1,0.05,,,,,,
11/20/2009,4.11407,4.364487572,4.705,0.59093,5,0,,,,,,
11/19/2009,4.14203,4.346099881,4.755,0.61297,4,0,,,,,,
11/18/2009,4.13219,4.371873736,4.705,0.57281,3,0.25,,,,,,
11/17/2009,4.08364,4.336590399,4.755,0.67136,2,0.7,,,,,,
11/16/2009,4.02764,4.354713867,4.755,0.72736,1,0.05,,,,,,
11/13/2009,4.12598,4.470141079,4.755,0.62902,5,0,,,,,,
11/12/2009,4.20549,4.452740092,4.755,0.54951,4,0,,,,,,
11/10/2009,4.25006,4.514701804,4.835,0.58494,2,0.7,,,,,,
11/9/2009,4.27718,4.547433095,4.835,0.55782,1,0.05,,,,,,
11/6/2009,4.29318,4.595324366,4.835,0.54182,5,0,,,,,,
11/5/2009,4.34027,4.664028922,4.835,0.49473,4,0,,,,,,
11/4/2009,4.39722,4.691582573,4.905,0.50778,3,0.25,,,,,,
11/3/2009,4.37341,4.629279224,4.905,0.53159,2,0.7,,,,,,
11/2/2009,4.34084,4.596033091,4.905,0.56416,1,0.05,,,,,,
10/30/2009,4.28974,4.555012329,4.905,0.61526,5,0,,,,,,
10/29/2009,4.35555,4.672189783,4.905,0.54945,4,0,,,,,,
10/28/2009,4.29321,4.587063185,4.955,0.66179,3,0.25,,,,,,
10/27/2009,4.3817,4.649671729,4.955,0.5733,2,0.7,,,,,,
10/26/2009,4.45896,4.756770608,4.955,0.49604,1,0.05,,,,,,
10/23/2009,4.38826,4.658938877,4.955,0.56674,5,0,,,,,,
10/22/2009,4.34888,4.588649977,4.955,0.60612,4,0,,,,,,
10/21/2009,4.35191,4.581635069,4.925,0.57309,3,0.25,,,,,,
10/20/2009,4.3051,4.490685144,4.925,0.6199,2,0.7,,,,,,
10/19/2009,4.34231,4.564451571,4.925,0.58269,1,0.05,,,,,,
10/16/2009,4.35815,4.593203711,4.925,0.56685,5,0,,,,,,
10/15/2009,4.40039,4.637408637,4.925,0.52461,4,0,,,,,,
10/14/2009,4.32297,4.572059778,4.845,0.52203,3,0.25,,,,,,
10/13/2009,4.21893,4.45409028,4.845,0.62607,2,0.7,,,,,,
10/9/2009,4.25157,4.544589108,4.845,0.59343,5,0,,,,,,
10/8/2009,4.12155,4.36556185,4.845,0.72345,4,0,,,,,,
10/7/2009,4.09165,4.327127123,4.795,0.70335,3,0.25,,,,,,
10/6/2009,4.14112,4.408324327,4.795,0.65388,2,0.7,,,,,,
10/5/2009,4.13197,4.387404738,4.795,0.66303,1,0.05,,,,,,
10/2/2009,4.10628,4.365287709,4.795,0.68872,5,0,,,,,,
10/1/2009,4.10367,4.353301112,4.795,0.69133,4,0,,,,,,
9/30/2009,4.22467,4.452545656,4.865,0.64033,3,0.25,,,,,,
9/29/2009,4.20862,4.439638578,4.865,0.65638,2,0.7,,,,,,
9/28/2009,4.21577,4.418521588,4.865,0.64923,1,0.05,,,,,,
9/25/2009,4.26938,4.460712855,4.865,0.59562,5,0,,,,,,
9/24/2009,4.30776,4.502005556,4.865,0.55724,4,0,,,,,,
9/23/2009,4.3747,4.571804811,4.94,0.5653,3,0.25,,,,,,
9/22/2009,4.3859,4.662990673,4.94,0.5541,2,0.7,,,,,,
9/21/2009,4.41353,4.69465403,4.94,0.52647,1,0.05,,,,,,
9/18/2009,4.38725,4.701156092,4.94,0.55275,5,0,,,,,,
9/17/2009,4.31061,4.631718746,4.94,0.62939,4,0,,,,,,
9/16/2009,4.3875,4.724915283,4.965,0.5775,3,0.25,,,,,,
9/15/2009,4.39235,4.682765473,4.965,0.57265,2,0.7,,,,,,
9/14/2009,4.35672,4.60451602,4.965,0.60828,1,0.05,,,,,,
9/11/2009,4.28939,4.522628696,4.965,0.67561,5,0,,,,,,
9/10/2009,4.28497,4.517195211,4.965,0.68003,4,0,,,,,,
9/9/2009,4.39986,4.613200917,4.995,0.59514,3,0.25,,,,,,
9/8/2009,4.41471,4.6522074,4.995,0.58029,2,0.7,,,,,,
9/4/2009,4.42369,4.619362413,4.995,0.57131,5,0,,,,,,
9/3/2009,4.36197,4.537652763,4.995,0.63303,4,0,,,,,,
9/2/2009,4.31469,4.521459157,5.005,0.69031,3,0.25,,,,,,
9/1/2009,4.4018,4.597877154,5.005,0.6032,2,0.7,,,,,,
8/31/2009,4.42184,4.613620073,5.005,0.58316,1,0.05,,,,,,
8/28/2009,4.48402,4.678088959,5.005,0.52098,5,0,,,,,,
8/27/2009,4.48932,4.691869075,5.005,0.51568,4,0,,,,,,
8/26/2009,4.4625,4.712358726,5.065,0.6025,3,0.25,,,,,,
8/25/2009,4.46678,4.723950883,5.065,0.59822,2,0.7,,,,,,
8/24/2009,4.48969,4.798943734,5.065,0.57531,1,0.05,,,,,,
8/21/2009,4.52183,4.869699322,5.065,0.54317,5,0,,,,,,
8/20/2009,4.44681,4.735741138,5.065,0.61819,4,0,,,,,,
8/19/2009,4.47725,4.771341387,5.045,0.56775,3,0.25,,,,,,
8/18/2009,4.50866,4.814257816,5.045,0.53634,2,0.7,,,,,,
8/17/2009,4.46616,4.771448442,5.045,0.57884,1,0.05,,,,,,
8/14/2009,4.49058,4.833612244,5.045,0.55442,5,0,,,,,,
8/13/2009,4.52706,4.876358182,5.045,0.51794,4,0,,,,,,
8/12/2009,4.63628,4.999387595,5.215,0.57872,3,0.25,,,,,,
8/11/2009,4.6274,5.046862123,5.215,0.5876,2,0.7,,,,,,
8/10/2009,4.69414,5.156868182,5.215,0.52086,1,0.05,,,,,,
8/7/2009,4.80233,5.26194242,5.215,0.41267,5,0,,,,,,
8/6/2009,4.70882,5.089275174,5.215,0.50618,4,0,,,,,,
8/5/2009,4.6917,5.101593517,5.12,0.4283,3,0.25,,,,,,
8/4/2009,4.57818,4.986817731,5.12,0.54182,2,0.7,,,,,,
8/3/2009,4.52002,4.96599331,5.12,0.59998,1,0.05,,,,,,
7/31/2009,4.39662,4.76495449,5.12,0.72338,5,0,,,,,,
7/30/2009,4.54111,4.885020823,5.12,0.57889,4,0,,,,,,
7/29/2009,4.54564,4.897371084,5.175,0.62936,3,0.25,,,,,,
7/28/2009,4.58806,4.89257877,5.175,0.58694,2,0.7,,,,,,
7/27/2009,4.63864,4.937092648,5.175,0.53636,1,0.05,,,,,,
7/24/2009,4.60961,4.891296598,5.175,0.56539,5,0,,,,,,
7/23/2009,4.67137,4.9385266,5.175,0.50363,4,0,,,,,,
7/22/2009,4.49585,4.750559222,5.125,0.62915,3,0.25,,,,,,
7/21/2009,4.44506,4.721726056,5.125,0.67994,2,0.7,,,,,,
7/20/2009,4.56841,4.845012336,5.125,0.55659,1,0.05,,,,,,
7/17/2009,4.63048,4.927711182,5.125,0.49452,5,0,,,,,,
7/16/2009,4.57215,4.818445599,5.125,0.55285,4,0,,,,,,
7/15/2009,4.64541,4.891379283,5.065,0.41959,3,0.25,,,,,,
7/14/2009,4.47507,4.691874236,5.065,0.58993,2,0.7,,,,,,
7/13/2009,4.40426,4.562801449,5.065,0.66074,1,0.05,,,,,,
7/10/2009,4.33427,4.488128294,5.065,0.73073,5,0,,,,,,
7/9/2009,4.43346,4.574877011,5.065,0.63154,4,0,,,,,,
