,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
9/25/2014,2.90814,3.019887792,0.038425864,9/24/2014,3.2402,3.230959968
9/24/2014,2.94477,3.053021098,0.036760459,9/23/2014,3.21471,3.195118858
9/23/2014,2.92193,3.020407739,0.033702977,9/22/2014,3.23976,3.218819191
9/22/2014,2.94107,3.042680412,0.034548791,9/19/2014,3.2565,3.252343622
9/19/2014,2.95369,3.073475577,0.040554553,9/18/2014,3.30017,3.288709757
9/18/2014,2.99666,3.109774798,0.037746958,9/17/2014,3.28895,3.264839796
9/17/2014,2.99268,3.089169179,0.03224173,9/16/2014,3.28408,3.250938941
9/16/2014,2.9855,3.078561355,0.031171112,9/15/2014,3.28134,3.255260067
9/15/2014,2.98183,3.080404415,0.033058362,9/12/2014,3.30131,3.267174602
9/12/2014,3.00657,3.09095143,0.02806568,9/11/2014,3.23854,3.212153137
9/11/2014,2.95403,3.036788449,0.02801544,9/10/2014,3.23967,3.218356042
9/10/2014,2.95833,3.044547056,0.029143826,9/9/2014,3.20426,3.18427043
9/9/2014,2.9321,3.012713173,0.027493323,9/8/2014,3.17608,3.154108263
9/8/2014,2.91059,2.987142855,0.02630149,9/5/2014,3.16818,3.138383978
9/5/2014,2.90273,2.976164118,0.025298294,9/4/2014,3.15283,3.137591319
9/4/2014,2.88725,2.971131085,0.029052242,9/3/2014,3.12536,3.1034756
9/3/2014,2.86521,2.939342367,0.025873275,9/2/2014,3.13347,3.123933549
9/2/2014,2.87622,2.959399656,0.028919782,8/29/2014,3.08034,3.07879868
8/29/2014,2.828,2.918562006,0.03202334,8/28/2014,3.07812,3.072502751
8/28/2014,2.82605,2.911672879,0.030297723,8/27/2014,3.09887,3.083589204
8/27/2014,2.84471,2.922413823,0.0273152,8/26/2014,3.12944,3.099145132
8/26/2014,2.87081,2.937342422,0.023175488,8/25/2014,3.13856,3.104594533
8/25/2014,2.87941,2.942305369,0.021843144,8/22/2014,3.15082,3.136782085
