Pricing Date,FNMA,FNCI,GNMA,GNMAII
20140417,3.40802,-1,-1,-1
20140416,3.3508,-1,-1,-1
20140415,3.33793,-1,-1,-1
20140414,3.34083,-1,-1,-1
20140411,3.31617,-1,-1,-1
20140410,3.31552,-1,-1,-1
20140409,3.37509,-1,-1,-1
20140408,3.37318,-1,-1,-1
20140407,3.3951,-1,-1,-1
20140404,3.42956,-1,-1,-1
20140403,3.48403,-1,-1,-1
20140402,3.50663,-1,-1,-1
20140401,3.4727,-1,-1,-1
20140331,3.44686,-1,-1,-1
20140328,3.43061,-1,-1,-1
20140327,3.40527,-1,-1,-1
20140326,3.42174,-1,-1,-1
20140325,3.45197,-1,-1,-1
20140324,3.45267,-1,-1,-1
20140321,3.45235,-1,-1,-1
20140320,3.48581,-1,-1,-1
20140319,3.47241,-1,-1,-1
20140318,3.39423,-1,-1,-1
20140317,3.41746,-1,-1,-1
20140314,3.36349,-1,-1,-1
20140313,3.34844,-1,-1,-1
20140312,3.40859,-1,-1,-1
20140311,3.44385,-1,-1,-1
20140310,3.44657,-1,-1,-1
20140307,3.46137,-1,-1,-1
20140306,3.4237,-1,-1,-1
20140305,3.40152,-1,-1,-1
20140304,3.39831,-1,-1,-1
20140303,3.3253,-1,-1,-1
20140228,3.35149,-1,-1,-1
20140227,3.33702,-1,-1,-1
20140226,3.36186,-1,-1,-1
20140225,3.37625,-1,-1,-1
20140224,3.42988,-1,-1,-1
20140221,3.42382,-1,-1,-1
20140220,3.44099,-1,-1,-1
20140219,3.42085,-1,-1,-1
20140218,3.40225,-1,-1,-1
20140214,3.42405,-1,-1,-1
20140213,3.39638,-1,-1,-1
20140212,3.43678,-1,-1,-1
20140211,3.3874,-1,-1,-1
20140210,3.34761,-1,-1,-1
20140207,3.343,-1,-1,-1
20140206,3.37993,-1,-1,-1
20140205,3.35841,-1,-1,-1
20140204,3.31116,-1,-1,-1
20140203,3.2711,-1,-1,-1
20140131,3.34068,-1,-1,-1
20140130,3.37103,-1,-1,-1
20140129,3.36115,-1,-1,-1
20140128,3.41467,-1,-1,-1
20140127,3.42489,-1,-1,-1
20140124,3.38218,-1,-1,-1
20140123,3.42598,-1,-1,-1
20140122,3.4813,-1,-1,-1
20140121,3.43062,-1,-1,-1
20140117,3.43708,-1,-1,-1
20140116,3.45706,-1,-1,-1
20140115,3.49478,-1,-1,-1
20140114,3.48341,-1,-1,-1
20140113,3.42646,-1,-1,-1
20140110,3.47184,-1,-1,-1
20140109,3.57494,-1,-1,-1
20140108,3.59637,-1,-1,-1
20140107,3.54285,-1,-1,-1
20140106,3.57635,-1,-1,-1
20140103,3.60326,-1,-1,-1
20140102,3.5997,-1,-1,-1
20131231,3.59303,-1,-1,-1
20131230,3.57467,-1,-1,-1
20131227,3.60938,-1,-1,-1
20131226,3.61108,-1,-1,-1
20131224,3.61006,-1,-1,-1
20131223,3.54225,-1,-1,-1
20131220,3.52072,-1,-1,-1
20131219,3.58946,-1,-1,-1
20131218,3.54228,-1,-1,-1
20131217,3.49989,-1,-1,-1
20131216,3.53072,-1,-1,-1
20131213,3.5291,-1,-1,-1
20131212,3.54275,-1,-1,-1
20131211,3.51569,-1,-1,-1
20131210,3.46476,-1,-1,-1
20131209,3.50449,-1,-1,-1
20131206,3.53577,-1,-1,-1
20131205,3.55213,-1,-1,-1
20131204,3.53796,-1,-1,-1
20131203,3.48201,-1,-1,-1
20131202,3.48278,-1,-1,-1
20131129,3.41521,-1,-1,-1
20131127,3.41187,-1,-1,-1
20131126,3.36568,-1,-1,-1
20131125,3.3786,-1,-1,-1
20131122,3.37657,-1,-1,-1
20131121,3.39022,-1,-1,-1
20131120,3.39539,-1,-1,-1
20131119,3.32492,-1,-1,-1
20131118,3.28922,-1,-1,-1
20131115,3.3275,-1,-1,-1
20131114,3.3344,-1,-1,-1
20131113,3.38633,-1,-1,-1
20131112,3.42394,-1,-1,-1
20131108,3.41853,-1,-1,-1
20131107,3.29153,-1,-1,-1
20131106,3.29973,-1,-1,-1
20131105,3.31201,-1,-1,-1
20131104,3.23876,-1,-1,-1
20131101,3.25928,-1,-1,-1
20131031,3.18036,-1,-1,-1
20131030,3.16114,-1,-1,-1
20131029,3.15432,-1,-1,-1
20131028,3.15932,-1,-1,-1
20131025,3.15212,-1,-1,-1
20131024,3.17723,-1,-1,-1
20131023,3.15417,-1,-1,-1
20131022,3.18366,-1,-1,-1
20131021,3.28095,-1,-1,-1
20131018,3.25857,-1,-1,-1
20131017,3.25461,-1,-1,-1
20131016,3.34533,-1,-1,-1
20131015,3.38973,-1,-1,-1
20131011,3.34888,-1,-1,-1
20131010,3.34593,-1,-1,-1
20131009,3.33121,-1,-1,-1
20131008,3.32901,-1,-1,-1
20131007,3.31522,-1,-1,-1
20131004,3.31439,-1,-1,-1
20131003,3.28508,-1,-1,-1
20131002,3.30787,-1,-1,-1
20131001,3.31544,-1,-1,-1
20130930,3.29525,-1,-1,-1
20130927,3.29489,-1,-1,-1
20130926,3.32335,-1,-1,-1
20130925,3.29616,-1,-1,-1
20130924,3.34069,-1,-1,-1
20130923,3.4029,-1,-1,-1
20130920,3.43161,-1,-1,-1
20130919,3.42348,-1,-1,-1
20130918,3.40411,-1,-1,-1
20130917,3.5863,-1,-1,-1
20130916,3.60503,-1,-1,-1
20130913,3.65073,-1,-1,-1
20130912,3.6663,-1,-1,-1
20130911,3.66718,-1,-1,-1
20130910,3.70256,-1,-1,-1
20130909,3.64949,-1,-1,-1
20130906,3.72124,-1,-1,-1
20130905,3.7867,-1,-1,-1
20130904,3.67957,-1,-1,-1
20130903,3.62303,-1,-1,-1
20130830,3.51811,-1,-1,-1
20130829,3.5164,-1,-1,-1
20130828,3.56452,-1,-1,-1
20130827,3.49501,-1,-1,-1
20130826,3.56494,-1,-1,-1
20130823,3.60146,-1,-1,-1
20130822,3.71019,-1,-1,-1
20130821,3.67464,-1,-1,-1
20130820,3.63068,-1,-1,-1
20130819,3.71105,-1,-1,-1
20130816,3.63423,-1,-1,-1
20130815,3.54246,-1,-1,-1
20130814,3.48409,-1,-1,-1
20130813,3.4866,-1,-1,-1
20130812,3.38388,-1,-1,-1
20130809,3.36395,-1,-1,-1
20130808,3.38149,-1,-1,-1
20130807,3.40953,-1,-1,-1
20130806,3.44309,-1,-1,-1
20130805,3.41781,-1,-1,-1
20130802,3.40357,-1,-1,-1
20130801,3.53287,-1,-1,-1
20130731,3.40954,-1,-1,-1
20130730,3.4286,-1,-1,-1
20130729,3.40615,-1,-1,-1
20130726,3.39532,-1,-1,-1
20130725,3.44079,-1,-1,-1
20130724,3.42968,-1,-1,-1
20130723,3.36391,-1,-1,-1
20130722,3.32208,-1,-1,-1
20130719,3.33139,-1,-1,-1
20130718,3.38885,-1,-1,-1
20130717,3.34387,-1,-1,-1
20130716,3.39147,-1,-1,-1
20130715,3.40503,-1,-1,-1
20130712,3.47482,-1,-1,-1
20130711,3.46797,-1,-1,-1
20130710,3.58537,-1,-1,-1
20130709,3.48802,-1,-1,-1
20130708,3.54464,-1,-1,-1
20130705,3.67325,-1,-1,-1
20130703,3.36892,-1,-1,-1
20130702,3.31182,-1,-1,-1
20130701,3.29795,-1,-1,-1
20130628,3.30945,-1,-1,-1
20130627,3.32066,-1,-1,-1
20130626,3.44275,-1,-1,-1
20130625,3.49791,-1,-1,-1
20130624,3.48428,-1,-1,-1
20130621,3.42906,-1,-1,-1
20130620,3.27319,-1,-1,-1
20130619,3.12738,-1,-1,-1
20130618,2.98213,-1,-1,-1
20130617,2.98385,-1,-1,-1
20130614,2.93282,-1,-1,-1
20130613,2.97052,-1,-1,-1
20130612,3.0173,-1,-1,-1
20130611,2.98862,-1,-1,-1
20130610,3.01875,-1,-1,-1
20130607,2.99312,-1,-1,-1
20130606,2.93639,-1,-1,-1
20130605,2.97372,-1,-1,-1
20130604,2.98974,-1,-1,-1
20130603,2.96032,-1,-1,-1
20130531,2.95731,-1,-1,-1
20130530,2.90465,-1,-1,-1
20130529,2.91969,-1,-1,-1
20130528,2.94396,-1,-1,-1
20130524,2.81497,-1,-1,-1
20130523,2.82191,-1,-1,-1
20130522,2.78844,-1,-1,-1
20130521,2.66453,-1,-1,-1
20130520,2.71288,-1,-1,-1
20130517,2.68581,-1,-1,-1
20130516,2.56388,-1,-1,-1
20130515,2.66187,-1,-1,-1
20130514,2.66272,-1,-1,-1
20130513,2.621,-1,-1,-1
20130510,2.58686,-1,-1,-1
20130509,2.49665,-1,-1,-1
20130508,2.47245,-1,-1,-1
20130507,2.48894,-1,-1,-1
20130506,2.4724,-1,-1,-1
20130503,2.45615,-1,-1,-1
20130502,2.3421,-1,-1,-1
20130501,2.31036,-1,-1,-1
20130430,2.35354,-1,-1,-1
20130429,2.37448,-1,-1,-1
20130426,2.37951,-1,-1,-1
20130425,2.43235,-1,-1,-1
20130424,2.43239,-1,-1,-1
20130423,2.43753,-1,-1,-1
20130422,2.4461,-1,-1,-1
20130419,2.44783,-1,-1,-1
20130418,2.43192,-1,-1,-1
20130417,2.45005,-1,-1,-1
20130416,2.45465,-1,-1,-1
20130415,2.43066,-1,-1,-1
20130412,2.45324,-1,-1,-1
20130411,2.51808,-1,-1,-1
20130410,2.54479,-1,-1,-1
20130409,2.48938,-1,-1,-1
20130408,2.47695,-1,-1,-1
20130405,2.41738,-1,-1,-1
20130404,2.48587,-1,-1,-1
20130403,2.56472,-1,-1,-1
20130402,2.6102,-1,-1,-1
20130401,2.59513,-1,-1,-1
20130328,2.61433,-1,-1,-1
20130327,2.60807,-1,-1,-1
20130326,2.64256,-1,-1,-1
20130325,2.63948,-1,-1,-1
20130322,2.64148,-1,-1,-1
20130321,2.67627,-1,-1,-1
20130320,2.64698,-1,-1,-1
20130319,2.60686,-1,-1,-1
20130318,2.62963,-1,-1,-1
20130315,2.66434,-1,-1,-1
20130314,2.70546,-1,-1,-1
20130313,2.70044,-1,-1,-1
20130312,2.70646,-1,-1,-1
20130311,2.73998,-1,-1,-1
20130308,2.75192,-1,-1,-1
20130307,2.67331,-1,-1,-1
20130306,2.61255,-1,-1,-1
20130305,2.56076,-1,-1,-1
20130304,2.54578,-1,-1,-1
20130301,2.52993,-1,-1,-1
20130228,2.54484,-1,-1,-1
20130227,2.57322,-1,-1,-1
20130226,2.53896,-1,-1,-1
20130225,2.55786,-1,-1,-1
20130222,2.62514,-1,-1,-1
20130221,2.62574,-1,-1,-1
20130220,2.63797,-1,-1,-1
20130219,2.63802,-1,-1,-1
20130215,2.62079,-1,-1,-1
20130214,2.60855,-1,-1,-1
20130213,2.65372,-1,-1,-1
20130212,2.60701,-1,-1,-1
20130211,2.56531,-1,-1,-1
20130208,2.57318,-1,-1,-1
20130207,2.55136,-1,-1,-1
20130206,2.55943,-1,-1,-1
20130205,2.60052,-1,-1,-1
20130204,2.55563,-1,-1,-1
20130201,2.59141,-1,-1,-1
20130131,2.57377,-1,-1,-1
20130130,2.57729,-1,-1,-1
