"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","hpa","turn_cai_mult","turn_hpa2yr_mult","turn_hpa_mult","turn_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_pct_REFI_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","turn_purpose_mult","turn_occupancy_mult","turn_second_lien_mult","bal","std","n"
"1","640",-75,0.899971780408514,0.623297330682595,1.04126780284357,7.21841618032846,1.44388839179357,-0.276674449725919,0.0527864523275176,0.0227062908968097,0,0.547804587458268,0,0,2.98166546831982,97.0183345316802,19.6848887664239,60.3210092129828,19.9941020205933,0,80.3151112335761,0.797525147742845,-83.8101634458488,15.116245775754,98.4720004417085,42.7283233659767,253.74749023963,253.372118997733,56.8005517861491,296.328593137777,3.40257462233886,620.017201583354,28.0410374678394,31.6885707562144,173.820056271607,112.378217971335,21.5429555785185,-26.9336151846534,5.54333828991325,0.9,1,1.26296110435197,1.24612825797696,1.13133558334463,1.00699794927182,0.910768856573367,0.91,1,1,0.997662710180963,1,1,0.895590355396351,1,1.04397218534427,157988344.1,0.096209154834037,536
"2","640",-50,0.712225773543466,0.695986131293063,2.14451728032745,8.02518854263217,1.02333328427139,-0.0162396422504031,0.0522723785234384,0.0254171168225432,0,0.618296635947082,0,0,2.67852430066973,97.3214756993303,19.2742215945064,63.6347333673742,17.0910450381194,0,80.7257784054936,0.925929230205733,-59.4578009484204,62.1375300602673,99.3954789922537,42.1635191416048,263.961391794581,263.304011040082,56.1751431207504,297.060399555696,3.57343866325131,620.487690521061,35.1727838732437,30.6884166986149,173.411989755477,112.888125246582,23.7480116187248,-12.7165399849418,6.01382436140048,0.9,1,1.27526196577323,1.24554355491212,1.26434165118389,1.00707362278391,0.898340835012402,0.91,1,1,1.02356559804837,1,1,0.895056488072858,1,1.04263324543694,602573734.2,0.0685001329852924,1646
"3","680",-75,0.767302560705743,0.601110664682905,3.424777155193,6.97128565012145,1.27647470887995,-0.166191896022838,0.0532536826463156,0.0172014310871661,0,0.530655550949423,0,0,3.07787998955534,96.9221200104447,27.7442009449324,50.3077513115878,21.9480477434798,0,72.2557990550676,0.606546651286088,-83.8342814894071,24.0493752730727,100,41.8811085956024,274.90570622078,273.944541592877,57.9470542024178,295.305710953946,3.36670710094525,662.834261525153,11.6811641848716,44.2842405538105,175.300692137586,112.6565814739,19.8376978625194,-30.5821988401598,5.71968544812647,0.9,1,1.26633711298366,1.24775868726647,1.13078061046562,1.00701174048169,0.886711581215658,0.91,1,1,0.990797141732509,1,1,0.906067461228412,1,1.02975259061219,635504846.4,0.0641741989403137,1311
"4","680",-50,0.77296453099361,0.670604616803234,3.58313708878597,7.74573597013141,1.15263824856787,-0.102359914190375,0.0523768732218806,0.0200430964001501,0,0.598184647181204,0,0,3.37654954534258,96.6234504546574,26.4329808463681,51.0835846204818,22.4834345331501,0,73.5670191536319,0.725647906152148,-59.9693673758337,90.504354868646,100,41.9914093764387,276.326226076758,275.154814437799,56.128741915532,297.167297425905,3.49898797209923,663.080041471805,14.1221890760729,46.8995594545533,173.77918137643,113.078521888562,23.2733439137028,-18.5913694017581,6.06813225024282,0.9,1,1.27700113113239,1.24557451219915,1.26323764927888,1.00705862771059,0.884783867981003,0.91,1,1,1.01319827730803,1,1,0.904362875100279,1,1.03010845300928,2816153337.1,0.0693046499767317,4540
"5","720",-100,0,0.414886819400502,0,4.86659188325915,0,0.414886819400502,0.0468139086914062,0.0035909468540394,0,0.364481963855056,0,0,0,100,0,0,100,0,100,0,-100,0,100,61.1,196.2,196.2,51,309,3.1,710,0,0,166.8,110.6,23.9,-57,4.1318,0.9,1,1.28783538506603,1.2400859375,1.045,1.0063133057972,0.97195844432373,0.90992,1,1,0.94232212,1,1,0.87,1,0.97,196202,NA,1
"6","720",-75,0.644810260109398,0.595367212607138,5.05690741034536,6.90795657133113,1.08304630563337,-0.0494430475022594,0.0539611938319803,0.0111612610147115,0,0.530244757760447,0,0,4.39516586557878,95.6048341344212,27.7732730794343,50.0646405157641,22.1620864048015,0,72.2267269205657,0.37903153219378,-83.3587913815836,33.2781521522089,99.9930314693847,43.3456049255068,278.582389108674,277.137193530654,58.855005401296,293.448032818629,3.33717225202922,703.894135766814,3.4453916602395,55.7837761673458,176.341723188204,113.08505492383,18.3292913089273,-32.449811009731,5.9102339005517,0.9,1,1.28077515686578,1.2489212388876,1.13339116132853,1.00702277151497,0.882343543856176,0.909968995825593,1,1,0.985669599569783,1,1,0.906105255003265,1,1.01382453362474,3126053568.9,0.0515787820096244,2950
"7","720",-50,0.654335681841894,0.645383658058319,4.92026691508158,7.46556700141264,1.01387085599674,-0.00895202378357557,0.0524071892475474,0.0114055386163227,0,0.581570930194448,0,0,4.22619690310838,95.7738030968916,27.0796637566337,50.2642840263438,22.6560522170225,0,72.9203362433663,0.384223509336262,-59.9922331246978,90.7440234572717,100,44.7496474197514,279.87160622888,278.222540292334,55.9914610594466,296.839556875971,3.44122321967526,703.573818163705,4.78771036106058,56.8671493573177,173.694179770627,113.234353715007,23.1515742052319,-22.9148720901967,6.15185313990817,0.9,1,1.28384709695033,1.24550088774619,1.26381837415774,1.00701060405804,0.88063051447174,0.909976746754711,1,1,1.00433654926606,1,1,0.905203562883624,1,1.01462983185084,14774112151.3,0.0648810424303806,9658
"8","760",-100,8.1828011652021e-05,0.459030251397455,0.000981919938031421,5.36948121817217,0.000178262786391325,0.458948423385803,0.0463324309072338,0.00796658072734209,0,0.404731239762879,0,0,0,100,30.655899447204,27.276003884007,42.068096668789,0,69.344100552796,0.194311922751246,-100,0,100,64.1497348477426,269.581809106513,269.581809106513,49.9196769834161,310.080323016584,3.1,730.988356176402,0,69.344100552796,168.6180999029,107.59622286597,23.972723996116,-52.4117306002343,3.07820782110462,0.9,1,1.20186818659162,1.23658344726236,1.045,1.00573067984841,0.88522407369229,0.905927424860294,1,1,0.94746184547521,1,1,0.909852669281365,1,0.97,780740.1,1.73205080756888e-06,3
"9","760",-75,0.587140471328341,0.585483971881717,4.99299426492513,6.79743977581978,1.00282928231374,-0.00165649944662465,0.0541678991810289,0.00885222570960608,0,0.522463846991082,0,0,4.53769266963389,95.4623073303661,27.3102665228721,51.4693414923169,21.2203919848111,0,72.6897334771279,0.321755545809942,-83.605302045633,33.1445994876851,99.9907951826841,45.1271316611511,281.875614508092,280.178508677296,58.6145315695081,292.943074927473,3.31794133776971,742.693404726269,1.91447310795297,59.7824262598928,176.270536758355,113.518665160565,18.679229896402,-34.1476937713257,6.14806355877018,0.9,1,1.29073896804158,1.2486107854063,1.13168606646447,1.00704085475267,0.878531351743608,0.903453269958997,1,1,0.981220312325173,1,1,0.905503346479734,1,1.01342714165516,10464024075,0.0750684395825919,5060
"10","760",-50,0.649655125152831,0.631222242789079,5.98872000770874,7.30752684722524,1.02920188978498,-0.0184328823637514,0.0527092304164389,0.00858786531565387,0,0.569925147056987,0,0,4.46421624219713,95.5357837578029,25.678943253876,51.9473696845871,22.3736870615369,0,74.321056746124,0.303927020223309,-60.2355935411496,82.9434233649661,100,45.986560538713,282.723684185063,280.925486349057,55.6633020238466,296.184957005024,3.4035485186131,742.440840958294,2.74968105493731,59.9890156559017,173.371780817629,113.600352021277,24.1936115210451,-26.7125769769835,6.3646065052923,0.9,1,1.29169198159191,1.24516785587683,1.26295649795578,1.00701010446494,0.877456742084582,0.903650429747932,1,1,0.996116716374439,1,1,0.903382626230039,1,1.01353144769509,43637034017,0.0693878506355911,15327
