asOfDate,2yrSwap,10yrSwap
2/5/2001,5.315352,6.01156
2/6/2001,5.354523,6.072151
2/7/2001,5.322659,6.027169
2/8/2001,5.343163,6.041718
2/9/2001,5.276613,5.959662
2/12/2001,5.291263,5.979914
2/13/2001,5.341933,6.014124
2/14/2001,5.42459,6.085155
2/15/2001,5.474014,6.165229
2/16/2001,5.350259,6.051694
2/20/2001,5.335077,6.045524
2/21/2001,5.313015,6.070063
2/22/2001,5.264934,6.094483
2/23/2001,5.168481,6.056717
2/26/2001,5.122984,6.010831
2/27/2001,5.08916,5.894884
2/28/2001,5.0594,5.802263
3/1/2001,5.04749,5.75525
3/2/2001,5.105851,5.851951
3/5/2001,5.109489,5.869581
3/6/2001,5.094176,5.892667
3/7/2001,5.056378,5.836519
3/8/2001,5.037354,5.810288
3/9/2001,5.086341,5.880225
3/12/2001,5.069814,5.885799
3/13/2001,5.073312,5.92679
3/14/2001,4.941387,5.828263
3/15/2001,4.852361,5.776988
3/16/2001,4.861951,5.713033
3/19/2001,4.908758,5.77436
3/20/2001,4.822023,5.721675
3/21/2001,4.766653,5.679602
3/22/2001,4.708164,5.635246
3/23/2001,4.797429,5.726745
3/26/2001,4.806784,5.781327
3/27/2001,4.955856,5.936799
3/28/2001,4.914209,5.935009
3/29/2001,4.870474,5.922858
3/30/2001,4.811698,5.862102
4/2/2001,4.832399,5.897327
4/3/2001,4.775936,5.871169
4/4/2001,4.727573,5.842872
4/5/2001,4.799913,5.895744
4/6/2001,4.691011,5.783704
4/9/2001,4.690574,5.823133
4/10/2001,4.805003,5.972722
4/11/2001,4.862206,6.003537
4/12/2001,4.917906,6.049971
4/16/2001,5.070228,6.190932
4/17/2001,4.974708,6.091792
4/18/2001,4.805891,5.965091
4/19/2001,4.810933,6.097163
4/20/2001,4.797117,6.09637
4/23/2001,4.716996,6.03627
4/24/2001,4.712282,6.051569
4/25/2001,4.795479,6.110354
4/26/2001,4.740236,6.030048
4/27/2001,4.839061,6.144522
4/30/2001,4.862911,6.157695
5/1/2001,4.820862,6.113749
5/2/2001,4.839127,6.083023
5/3/2001,4.794932,6.002935
5/4/2001,4.689145,5.971059
5/7/2001,4.663187,5.996567
5/8/2001,4.630766,6.004033
5/9/2001,4.6136,5.953657
5/10/2001,4.703793,6.088221
5/11/2001,4.885217,6.3273
5/14/2001,4.820659,6.248899
5/15/2001,4.779145,6.295741
5/16/2001,4.760758,6.259265
5/17/2001,4.849613,6.21727
5/18/2001,4.89857,6.171736
5/21/2001,4.915411,6.175908
5/22/2001,4.88467,6.170499
5/23/2001,4.844216,6.180659
5/24/2001,4.893384,6.282007
5/25/2001,4.867588,6.28596
5/29/2001,4.87052,6.306529
5/30/2001,4.87453,6.316377
5/31/2001,4.754532,6.187235
6/1/2001,4.762403,6.153056
6/4/2001,4.757006,6.113726
6/5/2001,4.698838,6.043266
6/6/2001,4.691232,6.033451
6/7/2001,4.698486,6.085478
6/8/2001,4.738793,6.146331
6/11/2001,4.694817,6.09027
6/12/2001,4.649556,6.036896
6/13/2001,4.632882,6.049482
6/14/2001,4.596398,6.030785
6/15/2001,4.572903,6.081087
6/18/2001,4.534032,6.109233
6/19/2001,4.534007,6.101015
6/20/2001,4.516438,6.070898
6/21/2001,4.53504,6.053017
6/22/2001,4.468966,5.96304
6/25/2001,4.478869,5.973065
6/26/2001,4.538394,6.060138
6/27/2001,4.652233,6.095425
6/28/2001,4.803257,6.209342
6/29/2001,4.833403,6.275681
7/2/2001,4.776091,6.233407
7/3/2001,4.803106,6.268467
7/5/2001,4.798767,6.286606
7/6/2001,4.714745,6.226034
7/9/2001,4.705926,6.200852
7/10/2001,4.649581,6.141435
7/11/2001,4.63763,6.146045
7/12/2001,4.642067,6.117694
7/13/2001,4.642067,6.117694
7/16/2001,4.627269,6.023686
7/17/2001,4.630429,6.036375
7/18/2001,4.464321,5.931178
7/19/2001,4.490719,5.936434
7/20/2001,4.49045,5.939556
7/23/2001,4.483651,5.920157
7/24/2001,4.463664,5.906109
7/25/2001,4.481579,5.985357
7/26/2001,4.448711,5.967637
7/27/2001,4.380141,5.906473
7/30/2001,4.359563,5.900863
7/31/2001,4.30607,5.82932
8/1/2001,4.324464,5.8648
8/2/2001,4.4119,5.935703
8/3/2001,4.413859,5.969185
8/6/2001,4.416181,5.958918
8/7/2001,4.400803,5.969165
8/8/2001,4.29927,5.854638
8/9/2001,4.291176,5.889896
8/10/2001,4.254895,5.840425
8/13/2001,4.213517,5.791095
8/14/2001,4.25993,5.8011
8/15/2001,4.338356,5.836593
8/16/2001,4.28815,5.791233
8/17/2001,4.206565,5.708451
8/20/2001,4.26612,5.772936
8/21/2001,4.213816,5.748416
8/22/2001,4.244323,5.760393
8/23/2001,4.230186,5.729242
8/24/2001,4.260524,5.769885
8/27/2001,4.273359,5.780946
8/28/2001,4.176634,5.676673
8/29/2001,4.139123,5.57326
8/30/2001,4.088666,5.600657
8/31/2001,4.112004,5.647555
9/4/2001,4.332268,5.83007
9/5/2001,4.26767,5.79214
9/6/2001,4.144103,5.65671
9/7/2001,4.022168,5.59488
9/10/2001,4.026918,5.646944
9/11/2001,4.026918,5.646944
9/12/2001,3.819708,5.60017
9/13/2001,3.689112,5.499332
9/14/2001,3.589806,5.401958
9/17/2001,3.596794,5.436603
9/18/2001,3.602891,5.525026
9/19/2001,3.475583,5.448685
9/20/2001,3.477606,5.447927
9/21/2001,3.452624,5.385319
9/24/2001,3.457237,5.418055
9/25/2001,3.388332,5.408014
9/26/2001,3.337322,5.33427
9/27/2001,3.291905,5.235437
9/28/2001,3.356393,5.233518
10/1/2001,3.34354,5.223489
10/2/2001,3.243448,5.196363
10/3/2001,3.247106,5.15433
10/4/2001,3.22859,5.171502
10/5/2001,3.166809,5.185202
10/9/2001,3.186105,5.287015
10/10/2001,3.217369,5.286361
10/11/2001,3.333572,5.391538
10/12/2001,3.298819,5.373023
10/15/2001,3.249104,5.313612
10/16/2001,3.246734,5.26706
10/17/2001,3.263383,5.250665
10/18/2001,3.21408,5.251655
10/19/2001,3.212188,5.292511
10/22/2001,3.225409,5.28853
10/23/2001,3.226911,5.314247
10/24/2001,3.16444,5.257919
10/25/2001,3.079874,5.189748
10/26/2001,3.079503,5.190933
10/29/2001,3.013592,5.146924
10/30/2001,2.916129,5.080132
10/31/2001,2.877321,4.931444
11/1/2001,2.92024,4.850818
11/2/2001,2.921609,5.011956
11/5/2001,2.888926,4.949738
11/6/2001,2.752116,4.890887
11/7/2001,2.699713,4.795924
11/8/2001,2.81005,4.894126
11/9/2001,2.844551,4.894581
11/13/2001,2.905061,4.967948
11/14/2001,3.084996,5.105475
11/15/2001,3.384667,5.385371
11/16/2001,3.48013,5.551652
11/19/2001,3.310112,5.396934
11/20/2001,3.36277,5.520011
11/21/2001,3.524131,5.641007
11/23/2001,3.597762,5.686799
11/26/2001,3.674346,5.688265
11/27/2001,3.53816,5.63942
11/28/2001,3.554199,5.672506
11/29/2001,3.373875,5.510134
11/30/2001,3.332344,5.448411
12/3/2001,3.312141,5.426244
12/4/2001,3.279321,5.339767
12/5/2001,3.542856,5.606964
12/6/2001,3.657197,5.719953
12/7/2001,3.649259,5.869763
12/10/2001,3.542355,5.885605
12/11/2001,3.444503,5.8325
12/12/2001,3.400452,5.724503
12/13/2001,3.536903,5.868375
12/14/2001,3.607095,5.972101
12/17/2001,3.664513,6.073099
12/18/2001,3.567639,5.927491
12/19/2001,3.530945,5.818621
12/20/2001,3.580385,5.843334
12/21/2001,3.620919,5.889621
12/24/2001,3.629851,5.939998
12/26/2001,3.688269,5.988898
12/27/2001,3.623681,5.895201
12/28/2001,3.641003,5.907052
12/31/2001,3.552462,5.811199
1/2/2002,3.655787,5.933094
1/3/2002,3.622605,5.867375
1/4/2002,3.59497,5.872041
1/7/2002,3.439836,5.750677
1/8/2002,3.449037,5.757943
1/9/2002,3.41928,5.758085
1/10/2002,3.358154,5.666932
1/11/2002,3.133259,5.542576
1/14/2002,3.152673,5.5276
1/15/2002,3.162171,5.500358
1/16/2002,3.221347,5.532609
1/17/2002,3.359456,5.649363
1/18/2002,3.312977,5.604279
1/22/2002,3.348724,5.613244
1/23/2002,3.424577,5.717209
1/24/2002,3.529872,5.738995
1/25/2002,3.554318,5.786832
1/28/2002,3.550745,5.783356
1/29/2002,3.423009,5.713016
1/30/2002,3.429228,5.706964
1/31/2002,3.558855,5.746715
2/1/2002,3.4713,5.70483
2/4/2002,3.387087,5.621931
2/5/2002,3.367012,5.635377
2/6/2002,3.346479,5.666336
2/7/2002,3.38146,5.689649
2/8/2002,3.323861,5.64569
2/11/2002,3.338418,5.646006
2/12/2002,3.417086,5.703252
2/13/2002,3.45587,5.717949
2/14/2002,3.465691,5.669054
2/15/2002,3.364114,5.572279
2/19/2002,3.36127,5.599501
2/20/2002,3.373732,5.58829
2/21/2002,3.384745,5.578331
2/22/2002,3.374342,5.544181
2/25/2002,3.401965,5.573061
2/26/2002,3.459321,5.644427
2/27/2002,3.364896,5.518637
2/28/2002,3.439087,5.527329
3/1/2002,3.586548,5.648301
3/4/2002,3.619127,5.669388
3/5/2002,3.637967,5.684217
3/6/2002,3.638507,5.718151
3/7/2002,3.833034,5.90286
3/8/2002,4.003215,6.032475
3/11/2002,3.984887,6.026127
3/12/2002,3.962517,6.000478
3/13/2002,3.869841,5.957079
3/14/2002,4.0175,6.097379
3/15/2002,4.033409,6.038717
3/18/2002,4.041785,5.982243
3/19/2002,4.025088,5.999287
3/20/2002,4.11452,6.070807
3/21/2002,4.140886,6.047956
3/22/2002,4.172503,6.052696
3/25/2002,4.194352,6.066057
3/26/2002,4.081606,5.989275
3/27/2002,4.073224,5.998409
3/28/2002,4.131731,6.075945
4/1/2002,4.139819,6.090597
4/2/2002,4.035074,5.999359
4/3/2002,3.952123,5.922337
4/4/2002,3.992529,5.909603
4/5/2002,3.897896,5.838263
4/8/2002,3.916443,5.882349
4/9/2002,3.881297,5.852626
4/10/2002,3.874752,5.860068
4/11/2002,3.879467,5.858536
4/12/2002,3.828579,5.829667
4/15/2002,3.794254,5.80784
4/16/2002,3.821798,5.829842
4/17/2002,3.797821,5.853155
4/18/2002,3.771552,5.844205
4/19/2002,3.782559,5.821729
4/22/2002,3.75729,5.780192
4/23/2002,3.780058,5.770211
4/24/2002,3.68262,5.674363
4/25/2002,3.656119,5.675198
4/26/2002,3.614404,5.645473
4/29/2002,3.620192,5.673353
4/30/2002,3.615411,5.633948
5/1/2002,3.59388,5.598569
5/2/2002,3.652789,5.655066
5/3/2002,3.578903,5.606356
5/6/2002,3.588335,5.631813
5/7/2002,3.525495,5.612808
5/8/2002,3.715452,5.772544
5/9/2002,3.657416,5.727415
5/10/2002,3.564879,5.67911
5/13/2002,3.646192,5.770403
5/14/2002,3.77044,5.835232
5/15/2002,3.723178,5.780597
5/16/2002,3.668989,5.711113
5/17/2002,3.753276,5.764996
5/20/2002,3.673492,5.6929
5/21/2002,3.623137,5.640748
5/22/2002,3.582897,5.606618
5/23/2002,3.64217,5.660417
5/24/2002,3.647401,5.648285
5/28/2002,3.649588,5.628772
5/29/2002,3.586941,5.560091
5/30/2002,3.543913,5.528259
5/31/2002,3.576627,5.546768
6/3/2002,3.55451,5.549595
6/4/2002,3.505593,5.515558
6/5/2002,3.531654,5.555433
6/6/2002,3.52183,5.529826
6/7/2002,3.55187,5.608426
6/10/2002,3.551912,5.589931
6/11/2002,3.48345,5.514953
6/12/2002,3.463118,5.489052
6/13/2002,3.42194,5.455001
6/14/2002,3.327113,5.347317
6/17/2002,3.347856,5.405894
6/18/2002,3.314519,5.402108
6/19/2002,3.178057,5.248309
6/20/2002,3.313191,5.347808
6/21/2002,3.237627,5.27046
6/24/2002,3.279309,5.359698
6/25/2002,3.263371,5.370082
6/26/2002,3.122011,5.223669
6/27/2002,3.231508,5.339618
6/28/2002,3.239843,5.35695
7/1/2002,3.209871,5.345978
7/2/2002,3.126682,5.266082
7/3/2002,3.127978,5.282463
7/5/2002,3.260939,5.411362
7/8/2002,3.182891,5.358435
7/9/2002,3.074745,5.278007
7/10/2002,2.957227,5.160718
7/11/2002,2.939173,5.128801
7/12/2002,2.885325,5.11435
7/15/2002,2.850363,5.139607
7/16/2002,2.997284,5.245713
7/17/2002,2.952656,5.210748
7/18/2002,2.912281,5.151779
7/19/2002,2.870122,5.101129
7/22/2002,2.77876,5.009421
7/23/2002,2.735644,4.990577
7/24/2002,2.748594,4.99533
7/25/2002,2.679857,5.006708
7/26/2002,2.633273,5.024944
7/29/2002,2.815942,5.18365
7/30/2002,2.853153,5.227876
7/31/2002,2.665976,5.078721
8/1/2002,2.585598,5.018275
8/2/2002,2.423412,4.885855
8/5/2002,2.345856,4.863339
8/6/2002,2.49409,4.987321
8/7/2002,2.364702,4.89464
8/8/2002,2.474461,4.95651
8/9/2002,2.458444,4.82104
8/12/2002,2.459794,4.767361
8/13/2002,2.33195,4.659487
8/14/2002,2.43145,4.598777
8/15/2002,2.540953,4.714929
8/16/2002,2.629058,4.888289
8/19/2002,2.612062,4.883898
8/20/2002,2.485999,4.716023
8/21/2002,2.487826,4.724093
8/22/2002,2.575676,4.835837
8/23/2002,2.52254,4.749288
8/26/2002,2.510311,4.717345
8/27/2002,2.579953,4.803243
8/28/2002,2.531578,4.742131
8/29/2002,2.471178,4.684826
8/30/2002,2.488588,4.659675
9/3/2002,2.313617,4.506893
9/4/2002,2.322812,4.490329
9/5/2002,2.25359,4.4555
9/6/2002,2.401096,4.603809
9/9/2002,2.476266,4.613386
9/10/2002,2.485365,4.571174
9/11/2002,2.552548,4.622107
9/12/2002,2.473072,4.515647
9/13/2002,2.422937,4.455873
9/16/2002,2.430161,4.421088
9/17/2002,2.428333,4.394534
9/18/2002,2.422887,4.398101
9/19/2002,2.337144,4.332697
9/20/2002,2.351453,4.365267
9/23/2002,2.320736,4.295325
9/24/2002,2.304005,4.29404
9/25/2002,2.361634,4.385709
9/26/2002,2.327955,4.397554
9/27/2002,2.18929,4.322797
9/30/2002,2.088369,4.263598
10/1/2002,2.17109,4.331935
10/2/2002,2.157027,4.318807
10/3/2002,2.155329,4.317243
10/4/2002,2.210776,4.338572
10/7/2002,2.190521,4.297297
10/8/2002,2.225718,4.300643
10/9/2002,2.139592,4.256029
10/10/2002,2.168424,4.333252
10/11/2002,2.254079,4.422395
10/15/2002,2.433074,4.6064
10/16/2002,2.434944,4.636208
10/17/2002,2.493205,4.748609
10/18/2002,2.508112,4.750096
10/21/2002,2.617888,4.849878
10/22/2002,2.61601,4.88696
10/23/2002,2.574766,4.861529
10/24/2002,2.480833,4.759404
10/25/2002,2.380691,4.693479
10/28/2002,2.286551,4.663358
10/29/2002,2.14469,4.509739
10/30/2002,2.10842,4.524481
10/31/2002,2.070608,4.474846
11/1/2002,2.107229,4.536456
11/4/2002,2.135624,4.590733
11/5/2002,2.159371,4.620792
11/6/2002,2.144952,4.526827
11/7/2002,2.156256,4.33935
11/8/2002,2.147399,4.307891
11/12/2002,2.120845,4.33525
11/13/2002,2.11079,4.334722
11/14/2002,2.257662,4.52021
11/15/2002,2.268377,4.54476
11/18/2002,2.241893,4.494159
11/19/2002,2.229347,4.45692
11/20/2002,2.328709,4.539897
11/21/2002,2.401461,4.61399
11/22/2002,2.437149,4.658871
11/25/2002,2.418453,4.663298
11/26/2002,2.330565,4.562163
11/27/2002,2.484425,4.730308
11/29/2002,2.416354,4.703974
12/2/2002,2.427415,4.685104
12/3/2002,2.418925,4.687805
12/4/2002,2.362462,4.635782
12/5/2002,2.318826,4.576075
12/6/2002,2.224909,4.548587
12/9/2002,2.201857,4.503362
12/10/2002,2.22227,4.500858
12/11/2002,2.172488,4.444638
12/12/2002,2.169294,4.460668
12/13/2002,2.195732,4.523982
12/16/2002,2.23908,4.585535
12/17/2002,2.200034,4.560095
12/18/2002,2.122443,4.496284
12/19/2002,2.071574,4.406532
12/20/2002,2.07967,4.40826
12/23/2002,2.092028,4.423361
12/24/2002,2.024973,4.387073
12/26/2002,2.005606,4.368621
12/27/2002,1.905101,4.267311
12/30/2002,1.894936,4.236153
12/31/2002,1.910239,4.273305
1/2/2003,2.097013,4.482884
1/3/2003,2.099535,4.488262
1/6/2003,2.131893,4.506722
1/7/2003,2.063057,4.459888
1/8/2003,2.007923,4.418454
1/9/2003,2.152243,4.598915
1/10/2003,2.105227,4.609026
1/13/2003,2.110599,4.592239
1/14/2003,2.063631,4.526219
1/15/2003,2.038668,4.511555
1/16/2003,2.047582,4.511674
1/17/2003,2.004039,4.467185
1/21/2003,1.969918,4.420623
1/22/2003,1.936972,4.36383
1/23/2003,1.982825,4.392024
1/24/2003,1.950297,4.349998
1/27/2003,1.981212,4.423028
1/28/2003,1.987495,4.43461
1/29/2003,2.045702,4.489819
1/30/2003,2.003793,4.432589
1/31/2003,1.997708,4.417899
2/3/2003,2.011595,4.434444
2/4/2003,1.963955,4.378838
2/5/2003,1.992437,4.441069
2/6/2003,1.960631,4.384512
2/7/2003,1.898913,4.37062
2/10/2003,1.944549,4.415516
2/11/2003,1.906656,4.385532
2/12/2003,1.866267,4.340193
2/13/2003,1.826883,4.298058
2/14/2003,1.884762,4.368797
2/18/2003,1.902756,4.356482
2/19/2003,1.84789,4.287635
2/20/2003,1.827668,4.24867
2/21/2003,1.858156,4.303135
2/24/2003,1.84255,4.250646
2/25/2003,1.829246,4.216517
2/26/2003,1.819315,4.191422
2/27/2003,1.830614,4.171541
2/28/2003,1.797595,4.110992
3/3/2003,1.762348,4.09185
3/4/2003,1.728454,4.062711
3/5/2003,1.68699,4.034441
3/6/2003,1.707568,4.078034
3/7/2003,1.646239,4.0472
3/10/2003,1.58478,4.005554
3/11/2003,1.628231,4.02074
3/12/2003,1.699034,4.027602
3/13/2003,1.86599,4.175012
3/14/2003,1.832504,4.150371
3/17/2003,1.915155,4.269536
3/18/2003,1.990587,4.347905
3/19/2003,2.00908,4.41935
3/20/2003,2.01552,4.469603
3/21/2003,2.092089,4.572872
3/24/2003,1.969787,4.431504
3/25/2003,1.965482,4.408332
3/26/2003,1.921873,4.391444
3/27/2003,1.880684,4.37089
3/28/2003,1.815483,4.344974
3/31/2003,1.771549,4.257512
4/1/2003,1.765933,4.265636
4/2/2003,1.862569,4.378379
4/3/2003,1.810587,4.348127
4/4/2003,1.81494,4.378346
4/7/2003,1.911941,4.437228
4/8/2003,1.843723,4.351854
4/9/2003,1.802652,4.313426
4/10/2003,1.843314,4.348764
4/11/2003,1.894272,4.39094
