3y7y_ATM	12/31/2013	106.2263435
3y7y_ATM	12/30/2013	105.5250363
3y7y_ATM	12/27/2013	105.7313352
3y7y_ATM	12/26/2013	106.355097
3y7y_ATM	12/24/2013	106.2527737
3y7y_ATM	12/23/2013	106.2333955
3y7y_ATM	12/20/2013	106.1383274
3y7y_ATM	12/19/2013	106.4505528
3y7y_ATM	12/18/2013	105.8697536
3y7y_ATM	12/17/2013	105.6567432
3y7y_ATM	12/16/2013	106.1442463
3y7y_ATM	12/13/2013	106.3131688
3y7y_ATM	12/12/2013	106.6612932
3y7y_ATM	12/11/2013	106.2971908
3y7y_ATM	12/10/2013	105.7933734
3y7y_ATM	12/9/2013	106.4647658
3y7y_ATM	12/6/2013	107.018246
3y7y_ATM	12/5/2013	107.5949453
3y7y_ATM	12/4/2013	107.6008712
3y7y_ATM	12/3/2013	106.4583696
3y7y_ATM	11/22/2013	103.4434927
3y7y_ATM	11/21/2013	103.4948713
3y7y_ATM	11/20/2013	103.26178
3y7y_ATM	11/19/2013	102.1797328
3y7y_ATM	11/18/2013	101.8369149
3y7y_ATM	11/15/2013	103.2201182
3y7y_ATM	11/14/2013	103.7957423
3y7y_ATM	11/13/2013	105.5620027
3y7y_ATM	11/12/2013	106.2685381
3y7y_ATM	11/8/2013	106.0549171
3y7y_ATM	11/7/2013	103.4790155
3y7y_ATM	11/6/2013	103.6748658
3y7y_ATM	11/5/2013	103.9590621
3y7y_ATM	11/4/2013	102.3582938
3y7y_ATM	11/1/2013	102.7472278
3y7y_ATM	10/31/2013	101.2342477
3y7y_ATM	10/30/2013	100.1438745
3y7y_ATM	10/29/2013	99.56486618
3y7y_ATM	10/28/2013	99.81079176
3y7y_ATM	10/25/2013	100.3589302
3y7y_ATM	10/24/2013	100.7929428
3y7y_ATM	10/23/2013	100.4325371
3y7y_ATM	10/22/2013	101.3351996
3y7y_ATM	10/21/2013	103.3627631
3y7y_ATM	10/18/2013	103.4147275
3y7y_ATM	10/17/2013	103.5592867
3y7y_ATM	10/16/2013	104.663914
3y7y_ATM	10/15/2013	105.4212731
3y7y_ATM	10/11/2013	105.0003266
3y7y_ATM	10/10/2013	104.9304556
3y7y_ATM	10/9/2013	104.6763792
3y7y_ATM	10/8/2013	104.1337012
3y7y_ATM	10/7/2013	104.3295419
3y7y_ATM	10/4/2013	104.7891954
3y7y_ATM	10/3/2013	104.272286
3y7y_ATM	10/2/2013	105.1878482
3y7y_ATM	10/1/2013	105.7484736
3y7y_ATM	9/30/2013	105.3475922
3y7y_ATM	9/27/2013	105.2741911
3y7y_ATM	9/26/2013	104.342518
