asOfDate,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
8/21/2014,94.23133345,94.34821131,93.66576376,91.1064586
8/20/2014,94.49708299,94.49402189,94.07430613,91.41651028
8/19/2014,94.74319883,94.65312054,94.4824278,91.67927107
8/18/2014,94.89183521,94.72668042,94.72125019,91.80380093
8/15/2014,94.60235565,94.3301033,94.5405213,91.61801877
8/14/2014,93.76600459,93.69258686,93.5191339,90.93659275
8/13/2014,93.18952294,93.32779617,92.67630215,90.56676387
8/12/2014,93.37164928,93.48029075,92.91703418,90.53312237
8/11/2014,93.19604182,93.2614207,92.79286538,90.37385218
8/8/2014,93.49613406,93.52853312,93.12897598,90.62990811
8/7/2014,93.26382517,93.31550116,92.88458715,90.38216198
8/6/2014,92.96921007,93.06980023,92.49327292,89.94313603
8/5/2014,92.96780201,92.98895702,92.60615309,89.8630034
8/4/2014,93.22634014,93.17193598,92.94516491,90.02857597
8/1/2014,93.35645038,93.23369084,93.1383727,90.04560232
7/31/2014,93.30701832,93.14648607,93.14466516,89.96621525
7/30/2014,93.12113518,93.05123681,92.8370012,89.928954
7/29/2014,91.89490298,92.10411684,91.39940856,89.16560211
7/28/2014,91.18240175,91.38949349,90.68108185,88.43485413
7/25/2014,90.86653253,91.11600999,90.27280961,88.18921008
7/24/2014,90.85916287,91.022793,90.3444528,88.06573152
7/23/2014,90.38355584,90.69038564,89.70978026,87.78302902
7/22/2014,90.36892448,90.67832465,89.72109082,87.75388205
7/21/2014,90.18588088,90.51925208,89.52450942,87.63637905
7/18/2014,89.50975888,89.99806316,88.69458272,87.3596045
7/17/2014,89.54967087,89.93595301,88.84228398,87.2051277
7/16/2014,89.4053263,89.77111255,88.672476,87.00604965
7/15/2014,89.54479316,89.9261702,88.83393151,87.12965292
7/14/2014,89.54670961,89.89813512,88.87925602,87.06874538
7/11/2014,89.18704181,89.60874328,88.44930038,86.81262621
7/10/2014,89.24720922,89.64134794,88.53889624,86.83957712
7/9/2014,89.19546001,89.58149966,88.43992841,86.79172181
7/8/2014,89.12001719,89.48928697,88.41455074,86.65506079
7/7/2014,89.99774439,90.1729734,89.49465103,87.25447433
7/3/2014,90.26730948,90.33262536,89.89224527,87.34459428
7/2/2014,90.64188327,90.60899926,90.35663632,87.63349258
7/1/2014,90.15981627,90.23397358,89.72099053,87.33522838
6/30/2014,89.72603858,89.87223031,89.22784603,87.04528072
6/27/2014,89.77513689,89.91748133,89.31194694,87.05380404
6/26/2014,89.73797054,89.83557537,89.3043106,86.99523686
6/25/2014,90.01801128,90.03528492,89.62564381,87.16535134
6/24/2014,90.51212092,90.46077075,90.22980352,87.54532449
6/23/2014,90.92270979,90.87023427,90.65148102,87.94403221
6/20/2014,90.93805152,90.76738085,90.77981696,87.80916338
6/19/2014,90.9002641,90.86093291,90.61544036,87.85549107
6/18/2014,90.31026513,90.1595125,90.08910291,87.18660717
6/17/2014,90.87959494,90.60036947,90.81858756,87.54232436
6/16/2014,90.58141531,90.39282809,90.44503644,87.40502034
6/13/2014,91.60049718,91.66292548,91.20994155,88.62254097
6/12/2014,91.80259178,92.00368517,91.28695286,88.60005763
6/11/2014,92.62286501,92.56264704,92.30644074,89.09182357
6/10/2014,93.51818062,93.47171494,93.2261312,89.9617325
6/9/2014,93.84287616,93.76041,93.61076684,90.25984511
6/6/2014,94.14478809,94.0405167,93.92625377,90.47111901
6/5/2014,94.81307214,94.58312845,94.73801788,90.99650611
6/4/2014,95.02925639,94.71828917,94.96371865,91.09668618
6/3/2014,94.82086664,94.5563161,94.74068655,90.96451562
6/2/2014,94.65056283,94.54579184,94.43184669,90.79195047
5/30/2014,93.85731533,93.92158721,93.4687121,90.29493734
5/29/2014,93.75413623,93.90577587,93.25373373,90.25125705
5/28/2014,92.86605882,93.14097313,92.19239702,89.49632384
5/27/2014,92.70809827,93.00361006,92.06348059,89.25264907
5/23/2014,92.77400233,92.98685239,92.24105793,89.25629031
5/22/2014,93.02662431,93.12609042,92.60330625,89.36884366
5/21/2014,92.95498397,93.04072746,92.53185263,89.26040358
5/20/2014,92.79658149,92.93704731,92.31579173,89.20673016
5/19/2014,92.90679747,93.01378908,92.48222399,89.41565631
5/16/2014,92.82635093,92.97476886,92.3581365,89.40360544
5/15/2014,92.69137216,92.81700226,92.25288387,89.36913048
5/14/2014,92.36138477,92.49369816,91.85090972,89.04884661
5/13/2014,92.42109206,92.5401149,91.9634424,89.00532367
5/12/2014,92.54631562,92.68225897,92.08693688,89.25363589
5/9/2014,92.24787024,92.44150267,91.73565708,89.06085885
5/8/2014,92.08515421,92.30436466,91.55391697,88.99988491
5/7/2014,92.27887424,92.43565991,91.7644045,89.10500222
5/6/2014,92.2134512,92.33962135,91.75338987,89.00777446
5/5/2014,92.22165022,92.33097485,91.79954331,88.97569596
5/2/2014,92.14421902,92.2445915,91.73484855,88.86108768
5/1/2014,92.55362482,92.59069389,92.18824346,89.16902574
4/30/2014,92.72145979,92.7402037,92.32884049,89.27474485
4/29/2014,92.999364,92.84695253,92.81943025,89.24850029
4/28/2014,92.99514422,92.90653662,92.74765217,89.35518977
4/25/2014,92.45075418,92.50942301,92.29890726,89.01776416
4/24/2014,92.59603386,92.59356887,92.49633893,89.05918685
4/23/2014,92.66634884,92.69871728,92.47748246,89.19510102
4/22/2014,92.81130161,92.80174888,92.68676899,89.24881038
4/21/2014,92.77373662,92.7847734,92.6477234,89.23360992
4/17/2014,93.05047091,93.02972112,92.95973449,89.51300089
4/16/2014,92.37651483,92.39542585,92.21337792,88.94592289
4/15/2014,92.08637905,92.12326398,91.87812976,88.56414536
4/14/2014,92.32789422,92.42709923,92.06964638,88.84283697
4/11/2014,92.0691324,92.27125782,91.76143037,88.72967154
4/10/2014,91.535332,91.87289458,91.2965107,88.34830076
4/9/2014,91.53852018,91.85173008,91.31524164,88.35869292
4/8/2014,91.47100971,91.69753519,91.31523721,88.21898623
4/7/2014,91.92171535,92.06120792,91.87350365,88.53836254
4/4/2014,92.71576472,92.68316115,92.84227017,89.12000119
4/3/2014,93.93748762,93.78952427,94.18390892,90.00316874
4/2/2014,94.15503113,93.966977,94.40694324,90.16168312
4/1/2014,94.67531724,94.50777224,94.6761885,90.35326523
3/31/2014,94.82749393,94.47457187,94.66750299,90.35363377
3/28/2014,95.12960769,94.55924983,95.10924726,90.61147849
3/27/2014,95.38907246,94.56844753,95.6432026,90.53889732
3/26/2014,95.87335113,95.03770943,96.05740571,90.92657327
3/25/2014,96.23410245,95.4734275,96.38697927,91.34470238
3/24/2014,96.15855727,95.32973208,96.40043771,91.22145124
3/21/2014,96.31271941,95.72623297,96.31474944,91.56605827
3/20/2014,96.97080677,96.66354385,96.70851164,92.42336312
3/19/2014,97.3814657,97.07663676,97.03629031,92.84369532
3/18/2014,96.49248756,96.58512565,95.80093426,92.46043286
3/17/2014,96.51197977,96.39869294,96.06539802,92.3990877
3/14/2014,96.53006902,96.4593264,96.02568214,92.50766463
3/13/2014,96.12165293,96.06882496,95.61643108,92.10606229
3/12/2014,96.07706856,96.05802302,95.44905758,92.059968
3/11/2014,96.2620084,96.1748668,95.7459139,92.25074609
3/10/2014,96.55217302,96.38841599,96.14376719,92.57382208
3/7/2014,97.13386436,96.76298775,96.93047414,92.92312973
3/6/2014,97.17347111,96.89616346,96.88480934,93.06295747
3/5/2014,97.01380715,96.75344958,96.62355657,92.95073909
3/4/2014,97.5615103,97.22095615,97.3021544,93.43377439
3/3/2014,95.9405763,96.05519456,95.25720543,92.3795285
2/28/2014,96.07145235,96.1811352,95.42474747,92.46131078
2/27/2014,96.16644221,96.32561955,95.47891995,92.60971343
2/26/2014,96.080013,96.31681316,95.24415456,92.64128729
2/25/2014,96.41009773,96.68812493,95.47612611,93.00510625
2/24/2014,97.0223835,97.33347618,95.98822493,93.68042891
2/21/2014,97.41646939,97.77953914,96.33244843,94.13273118
2/20/2014,97.83310083,98.11921791,96.82352775,94.37928073
2/19/2014,97.99743544,98.26174746,96.95049368,94.54273183
2/18/2014,97.76148915,98.07668669,96.6844575,94.36117614
2/14/2014,97.9668741,98.24251293,96.97219184,94.49511301
2/13/2014,98.54866735,98.68440835,97.68894215,94.92526462
2/12/2014,99.34019705,99.18210118,98.75704066,95.36659507
2/11/2014,99.29814533,99.19800387,98.6398615,95.38964438
2/10/2014,99.07212674,99.04999923,98.36542413,95.34515462
2/7/2014,99.58427545,99.55471205,98.88337766,95.75455676
2/6/2014,100.4951944,100.1197832,100.1515583,96.20014705
2/5/2014,100.6845254,100.2917506,100.2659892,96.41844925
2/4/2014,100.6636909,100.290463,100.2709894,96.38363982
2/3/2014,99.8061066,99.42960802,99.44303441,95.59608078
1/31/2014,99.93675301,99.45456258,99.71424959,95.44397868
1/30/2014,99.87035609,99.26338826,99.73192364,95.11765171
1/29/2014,99.10330448,98.74472181,98.60460521,94.63756648
1/28/2014,99.01828508,98.56029875,98.63552026,94.40780859
1/27/2014,98.08728896,97.61753248,97.73650373,93.55108728
1/24/2014,97.70259239,97.28435333,97.35443754,93.25499718
1/23/2014,98.07820787,97.5185491,97.87579402,93.43444765
1/22/2014,98.78983103,97.97737863,98.77481496,93.82018193
1/21/2014,98.59060554,97.83822418,98.53586568,93.69701412
1/17/2014,98.46137921,97.72612771,98.41866707,93.54717055
