asOfDate,RealCoupon,ModelCoupon,RealMortgageRate
6/27/2014,3.17238,3.130859316,3.995
6/26/2014,3.1705,3.124849087,3.995
6/25/2014,3.1949,3.153023658,4.015
6/24/2014,3.21805,3.182714695,4.015
6/23/2014,3.24201,3.206898321,4.015
6/20/2014,3.23871,3.209578808,4.015
6/19/2014,3.2407,3.208009864,4.015
6/18/2014,3.25545,3.200413912,4.07
6/17/2014,3.29552,3.237553264,4.07
6/16/2014,3.2402,3.193528229,4.07
6/13/2014,3.25321,3.202877369,4.07
6/12/2014,3.23683,3.19053233,4.07
6/11/2014,3.2836,3.244113466,4.1
6/10/2014,3.28637,3.260579651,4.1
6/9/2014,3.26478,3.247952768,4.1
6/6/2014,3.24953,3.236138566,4.1
6/5/2014,3.23776,3.235697207,4.1
6/4/2014,3.26353,3.253855452,4.015
6/3/2014,3.25946,3.23819776,4.015
6/2/2014,3.20774,3.190796765,4.015
5/30/2014,3.13272,3.117679768,4.015
5/29/2014,3.1236,3.101147602,4.015
5/28/2014,3.09658,3.075610667,4.02
5/27/2014,3.18634,3.129903909,4.02
5/23/2014,3.20629,3.146225609,4.02
5/22/2014,3.21443,3.16527281,4.02
5/21/2014,3.20037,3.146302092,4.04
5/20/2014,3.19062,3.127866537,4.04
5/19/2014,3.22497,3.152101478,4.04
5/16/2014,3.20717,3.138494192,4.04
5/15/2014,3.17951,3.118066999,4.04
5/14/2014,3.19709,3.139709336,4.1
5/13/2014,3.2728,3.194910225,4.1
5/12/2014,3.29573,3.222489893,4.1
5/9/2014,3.26793,3.195487448,4.1
5/8/2014,3.2302,3.17502602,4.1
5/7/2014,3.23656,3.193509186,4.11
5/6/2014,3.26769,3.208795972,4.11
5/5/2014,3.2885,3.221924146,4.11
5/2/2014,3.27582,3.207678528,4.11
5/1/2014,3.28753,3.216844613,4.11
4/30/2014,3.32743,3.239855767,4.215
4/29/2014,3.37337,3.28054753,4.215
4/28/2014,3.35146,3.267422555,4.215
4/25/2014,3.34407,3.257699856,4.215
4/24/2014,3.36531,3.274596443,4.215
4/23/2014,3.37126,3.268958666,4.23
4/22/2014,3.41581,3.305892726,4.23
4/21/2014,3.42149,3.300376787,4.23
4/17/2014,3.40802,3.30724021,4.23
4/16/2014,3.3508,3.243717771,4.195
4/15/2014,3.33793,3.225026321,4.195
4/14/2014,3.34083,3.232990404,4.195
4/11/2014,3.31617,3.208330805,4.195
4/10/2014,3.31552,3.211048946,4.195
4/9/2014,3.37509,3.249323489,4.265
4/8/2014,3.37318,3.254664033,4.265
4/7/2014,3.3951,3.275616469,4.265
4/4/2014,3.42956,3.310260814,4.265
4/3/2014,3.48403,3.383437803,4.265
4/2/2014,3.50663,3.394706261,4.335
4/1/2014,3.4727,3.36668213,4.335
3/31/2014,3.44686,3.340979943,4.335
3/28/2014,3.43061,3.341854424,4.335
3/27/2014,3.40527,3.318729763,4.335
3/26/2014,3.42174,3.342405349,4.3
3/25/2014,3.45197,3.375934446,4.3
3/24/2014,3.45267,3.374242455,4.3
3/21/2014,3.45235,3.379846514,4.3
3/20/2014,3.48581,3.40521151,4.3
3/19/2014,3.47241,3.398428583,4.22
3/18/2014,3.39423,3.306393321,4.22
3/17/2014,3.41746,3.323171293,4.22
3/14/2014,3.36349,3.282436545,4.22
3/13/2014,3.34844,3.281600451,4.22
3/12/2014,3.40859,3.326675771,4.27
3/11/2014,3.44385,3.358765796,4.27
3/10/2014,3.44657,3.378083005,4.27
3/7/2014,3.46137,3.397063963,4.27
3/6/2014,3.4237,3.356249107,4.27
3/5/2014,3.40152,3.318820141,4.205
3/4/2014,3.39831,3.328339106,4.205
3/3/2014,3.3253,3.241411162,4.205
2/28/2014,3.35149,3.273129318,4.205
2/27/2014,3.33702,3.258967155,4.205
2/26/2014,3.36186,3.26701214,4.295
2/25/2014,3.37625,3.292457476,4.295
2/24/2014,3.42988,3.336853042,4.295
2/21/2014,3.42382,3.32955393,4.295
2/20/2014,3.44099,3.358017141,4.295
2/19/2014,3.42085,3.345784235,4.255
2/18/2014,3.40225,3.325281353,4.255
2/14/2014,3.42405,3.352036363,4.255
2/13/2014,3.39638,3.35050718,4.255
2/12/2014,3.43678,3.405985059,4.205
2/11/2014,3.3874,3.370893722,4.205
2/10/2014,3.34761,3.329016432,4.205
2/7/2014,3.343,3.340862192,4.205
2/6/2014,3.37993,3.388484213,4.205
2/5/2014,3.35841,3.364213713,4.155
2/4/2014,3.31116,3.337265871,4.155
2/3/2014,3.2711,3.293257152,4.155
1/31/2014,3.34068,3.361140068,4.155
1/30/2014,3.37103,3.380902759,4.155
1/29/2014,3.36115,3.352175074,4.245
1/28/2014,3.41467,3.399727076,4.245
1/27/2014,3.42489,3.399705242,4.245
1/24/2014,3.38218,3.371784171,4.245
1/23/2014,3.42598,3.406232501,4.245
1/22/2014,3.4813,3.480255688,4.315
1/21/2014,3.43062,3.439683022,4.315
1/17/2014,3.43708,3.447997258,4.315
1/16/2014,3.45706,3.461916104,4.315
1/15/2014,3.49478,3.49426512,4.335
1/14/2014,3.48341,3.472446279,4.335
1/13/2014,3.42646,3.418619029,4.335
1/10/2014,3.47184,3.467646007,4.335
1/9/2014,3.57494,3.587554989,4.335
1/8/2014,3.59637,3.605747569,4.435
1/7/2014,3.54285,3.552816818,4.435
1/6/2014,3.57635,3.586165233,4.435
1/3/2014,3.60326,3.621400559,4.435
1/2/2014,3.5997,3.622663801,4.435
12/30/2013,3.57467,3.605420259,4.48
12/27/2013,3.60938,3.624771203,4.48
12/26/2013,3.61108,3.637877401,4.48
12/24/2013,3.61006,3.63312578,4.405
12/23/2013,3.54225,3.588557637,4.405
12/20/2013,3.52072,3.547744936,4.405
12/19/2013,3.58946,3.579482442,4.405
12/18/2013,3.54228,3.521644704,4.395
12/17/2013,3.49989,3.490740477,4.395
12/16/2013,3.53072,3.531628007,4.395
12/13/2013,3.5291,3.529780273,4.395
12/12/2013,3.54275,3.541339936,4.395
12/11/2013,3.51569,3.508214147,4.345
12/10/2013,3.46476,3.469707,4.345
12/9/2013,3.50449,3.515066749,4.345
12/6/2013,3.53577,3.545410941,4.345
12/5/2013,3.55213,3.541908585,4.345
12/4/2013,3.53796,3.53966548,4.335
12/3/2013,3.48201,3.476125183,4.335
11/22/2013,3.37657,3.401088299,4.215
11/21/2013,3.39022,3.408274099,4.215
11/20/2013,3.39539,3.407659676,4.145
11/18/2013,3.28922,3.327419989,4.145
11/15/2013,3.3275,3.373038665,4.145
11/14/2013,3.3344,3.392288676,4.145
11/13/2013,3.38633,3.45478911,4.275
11/12/2013,3.42394,3.502765058,4.275
11/8/2013,3.41853,3.485409077,4.275
11/7/2013,3.29153,3.354174549,4.275
11/6/2013,3.29973,3.285172291,4.11
11/5/2013,3.31201,3.409781332,4.11
11/4/2013,3.23876,3.344702435,4.11
11/1/2013,3.25928,3.364880901,4.11
10/31/2013,3.18036,3.290822617,4.11
10/30/2013,3.16114,3.2670061,4.025
10/29/2013,3.15432,3.245838689,4.025
10/28/2013,3.15932,3.255695996,4.025
10/25/2013,3.15212,3.255941161,4.025
10/24/2013,3.17723,3.276423515,4.025
10/23/2013,3.15417,3.245911585,4.08
10/22/2013,3.18366,3.272957278,4.08
10/21/2013,3.28095,3.368693141,4.08
10/18/2013,3.25857,3.357495806,4.08
10/17/2013,3.25461,3.356356639,4.08
10/16/2013,3.34533,3.431872005,4.205
10/15/2013,3.38973,3.476850936,4.205
10/11/2013,3.34888,3.443868438,4.205
10/10/2013,3.34593,3.4495991,4.205
10/9/2013,3.33121,3.42890123,4.155
10/8/2013,3.32901,3.410440172,4.155
10/7/2013,3.31522,3.415847677,4.155
10/4/2013,3.31439,3.436796266,4.155
10/3/2013,3.28508,3.399788529,4.155
10/2/2013,3.30787,3.423251288,4.145
10/1/2013,3.31544,3.443972346,4.145
9/30/2013,3.29525,3.413149413,4.145
9/27/2013,3.29489,3.414578204,4.145
9/26/2013,3.32335,3.418502472,4.145
9/25/2013,3.29616,3.385276988,4.245
9/24/2013,3.34069,3.424409348,4.245
9/23/2013,3.4029,3.470425091,4.245
9/20/2013,3.43161,3.494905848,4.245
9/19/2013,3.42348,3.515620081,4.245
9/18/2013,3.40411,3.481140543,4.425
9/17/2013,3.5863,3.641861285,4.425
9/16/2013,3.60503,3.67866463,4.425
9/13/2013,3.65073,3.728265898,4.425
9/12/2013,3.6663,3.74453508,4.425
9/11/2013,3.66718,3.767886489,4.52
9/10/2013,3.70256,3.811603984,4.52
9/9/2013,3.64949,3.763755728,4.52
9/6/2013,3.72124,3.804987973,4.52
9/5/2013,3.7867,3.848477208,4.52
9/4/2013,3.67957,3.762085498,4.495
9/3/2013,3.62303,3.71835641,4.495
8/30/2013,3.51811,3.635979555,4.495
8/29/2013,3.5164,3.623174709,4.495
8/28/2013,3.56452,3.646342877,4.435
8/27/2013,3.49501,3.577273612,4.435
8/26/2013,3.56494,3.640641654,4.435
8/23/2013,3.60146,3.661486941,4.435
8/22/2013,3.71019,3.738090501,4.435
8/21/2013,3.67464,3.691227543,4.53
8/20/2013,3.63068,3.635091256,4.53
8/19/2013,3.71105,3.694030109,4.53
8/16/2013,3.63423,3.63144901,4.53
8/15/2013,3.54246,3.562902143,4.53
8/14/2013,3.48409,3.52058299,4.325
8/13/2013,3.4866,3.527289826,4.325
8/12/2013,3.38388,3.432198147,4.325
8/9/2013,3.36395,3.406368209,4.325
8/8/2013,3.38149,3.419261983,4.325
8/7/2013,3.40953,3.445525683,4.325
8/6/2013,3.44309,3.495977842,4.325
8/5/2013,3.41781,3.486971223,4.325
8/2/2013,3.40357,3.452895034,4.325
8/1/2013,3.53287,3.583108771,4.325
7/31/2013,3.40954,3.459761988,4.315
7/30/2013,3.4286,3.469208853,4.315
7/29/2013,3.40615,3.456469474,4.315
7/26/2013,3.39532,3.438120884,4.315
7/25/2013,3.44079,3.473712136,4.315
7/24/2013,3.42968,3.457178896,4.26
7/23/2013,3.36391,3.374325291,4.26
7/22/2013,3.32208,3.351419883,4.26
7/19/2013,3.33139,3.347783135,4.26
7/18/2013,3.38885,3.381763661,4.26
7/17/2013,3.34387,3.355482359,4.295
7/16/2013,3.39147,3.40986508,4.295
7/15/2013,3.40503,3.440315697,4.295
7/12/2013,3.47482,3.495433565,4.295
7/11/2013,3.46797,3.457812713,4.295
7/10/2013,3.58537,3.560136598,4.46
7/9/2013,3.48802,3.527520893,4.46
7/8/2013,3.54464,3.563659836,4.46
7/5/2013,3.67325,3.638793064,4.46
7/3/2013,3.36892,3.414639954,4.215
7/2/2013,3.31182,3.369439795,4.215
7/1/2013,3.29795,3.375026241,4.215
6/28/2013,3.30945,3.374758346,4.215
6/27/2013,3.32066,3.349243205,4.41
6/26/2013,3.44275,3.456624768,4.215
6/25/2013,3.49791,3.514320277,4.41
6/24/2013,3.48428,3.48832569,4.41
6/21/2013,3.42906,3.43914297,4.41
6/20/2013,3.27319,3.350066088,4.41
6/19/2013,3.12738,3.204261053,3.88
6/18/2013,2.98213,3.046868389,3.88
6/17/2013,2.98385,3.03458109,3.88
6/14/2013,2.93282,2.990612702,3.88
6/13/2013,2.97052,3.058126499,3.88
6/12/2013,3.0173,3.135370617,3.905
6/11/2013,2.98862,3.122068372,3.905
6/10/2013,3.01875,3.144125676,3.905
6/7/2013,2.99312,3.080796165,3.905
6/6/2013,2.93639,2.997131225,3.905
6/5/2013,2.97372,3.021758172,3.835
6/4/2013,2.98974,3.051758895,3.835
6/3/2013,2.96032,3.016834958,3.835
5/31/2013,2.95731,3.011247517,3.835
5/30/2013,2.90465,2.955557841,3.835
5/29/2013,2.91969,2.94308782,3.76
