asOfDate,RawRate,Point,Rate
4/30/2014,4.29,0.7,4.215
4/29/2014,4.29,0.7,4.215
4/28/2014,4.29,0.7,4.215
4/25/2014,4.29,0.7,4.215
4/24/2014,4.29,0.7,4.215
4/23/2014,4.33,0.6,4.23
4/22/2014,4.33,0.6,4.23
4/21/2014,4.33,0.6,4.23
4/17/2014,4.33,0.6,4.23
4/16/2014,4.27,0.7,4.195
4/15/2014,4.27,0.7,4.195
4/14/2014,4.27,0.7,4.195
4/11/2014,4.27,0.7,4.195
4/10/2014,4.27,0.7,4.195
4/9/2014,4.34,0.7,4.265
4/8/2014,4.34,0.7,4.265
4/7/2014,4.34,0.7,4.265
4/4/2014,4.34,0.7,4.265
4/3/2014,4.34,0.7,4.265
4/2/2014,4.41,0.7,4.335
4/1/2014,4.41,0.7,4.335
3/31/2014,4.41,0.7,4.335
3/28/2014,4.41,0.7,4.335
3/27/2014,4.41,0.7,4.335
3/26/2014,4.4,0.6,4.3
3/25/2014,4.4,0.6,4.3
3/24/2014,4.4,0.6,4.3
3/21/2014,4.4,0.6,4.3
3/20/2014,4.4,0.6,4.3
3/19/2014,4.32,0.6,4.22
3/18/2014,4.32,0.6,4.22
3/17/2014,4.32,0.6,4.22
3/14/2014,4.32,0.6,4.22
3/13/2014,4.32,0.6,4.22
3/12/2014,4.37,0.6,4.27
3/11/2014,4.37,0.6,4.27
3/10/2014,4.37,0.6,4.27
3/7/2014,4.37,0.6,4.27
3/6/2014,4.37,0.6,4.27
3/5/2014,4.28,0.7,4.205
3/4/2014,4.28,0.7,4.205
3/3/2014,4.28,0.7,4.205
2/28/2014,4.28,0.7,4.205
2/27/2014,4.28,0.7,4.205
2/26/2014,4.37,0.7,4.295
2/25/2014,4.37,0.7,4.295
2/24/2014,4.37,0.7,4.295
2/21/2014,4.37,0.7,4.295
2/20/2014,4.37,0.7,4.295
2/19/2014,4.33,0.7,4.255
2/18/2014,4.33,0.7,4.255
2/14/2014,4.33,0.7,4.255
2/13/2014,4.33,0.7,4.255
2/12/2014,4.28,0.7,4.205
2/11/2014,4.28,0.7,4.205
2/10/2014,4.28,0.7,4.205
2/7/2014,4.28,0.7,4.205
2/6/2014,4.28,0.7,4.205
2/5/2014,4.23,0.7,4.155
2/4/2014,4.23,0.7,4.155
2/3/2014,4.23,0.7,4.155
1/31/2014,4.23,0.7,4.155
1/30/2014,4.23,0.7,4.155
1/29/2014,4.32,0.7,4.245
1/28/2014,4.32,0.7,4.245
1/27/2014,4.32,0.7,4.245
1/24/2014,4.32,0.7,4.245
1/23/2014,4.32,0.7,4.245
1/22/2014,4.39,0.7,4.315
1/21/2014,4.39,0.7,4.315
1/17/2014,4.39,0.7,4.315
1/16/2014,4.39,0.7,4.315
1/15/2014,4.41,0.7,4.335
1/14/2014,4.41,0.7,4.335
1/13/2014,4.41,0.7,4.335
1/10/2014,4.41,0.7,4.335
1/9/2014,4.41,0.7,4.335
1/8/2014,4.51,0.7,4.435
1/7/2014,4.51,0.7,4.435
1/6/2014,4.51,0.7,4.435
1/3/2014,4.51,0.7,4.435
1/2/2014,4.51,0.7,4.435
12/30/2013,4.53,0.8,4.48
12/27/2013,4.53,0.8,4.48
12/26/2013,4.53,0.8,4.48
12/24/2013,4.48,0.7,4.405
12/23/2013,4.48,0.7,4.405
12/20/2013,4.48,0.7,4.405
12/19/2013,4.48,0.7,4.405
12/18/2013,4.47,0.7,4.395
12/17/2013,4.47,0.7,4.395
12/16/2013,4.47,0.7,4.395
12/13/2013,4.47,0.7,4.395
12/12/2013,4.47,0.7,4.395
12/11/2013,4.42,0.7,4.345
12/10/2013,4.42,0.7,4.345
12/9/2013,4.42,0.7,4.345
12/6/2013,4.42,0.7,4.345
12/5/2013,4.42,0.7,4.345
12/4/2013,4.46,0.5,4.335
12/3/2013,4.46,0.5,4.335
11/22/2013,4.29,0.7,4.215
11/21/2013,4.29,0.7,4.215
11/20/2013,4.22,0.7,4.145
11/18/2013,4.22,0.7,4.145
11/15/2013,4.22,0.7,4.145
11/14/2013,4.22,0.7,4.145
11/13/2013,4.35,0.7,4.275
11/12/2013,4.35,0.7,4.275
11/8/2013,4.35,0.7,4.275
11/7/2013,4.35,0.7,4.275
11/6/2013,4.16,0.8,4.11
11/5/2013,4.16,0.8,4.11
11/4/2013,4.16,0.8,4.11
11/1/2013,4.16,0.8,4.11
10/31/2013,4.16,0.8,4.11
10/30/2013,4.1,0.7,4.025
10/29/2013,4.1,0.7,4.025
10/28/2013,4.1,0.7,4.025
10/25/2013,4.1,0.7,4.025
10/24/2013,4.1,0.7,4.025
10/23/2013,4.13,0.8,4.08
10/22/2013,4.13,0.8,4.08
10/21/2013,4.13,0.8,4.08
10/18/2013,4.13,0.8,4.08
10/17/2013,4.13,0.8,4.08
10/16/2013,4.28,0.7,4.205
10/15/2013,4.28,0.7,4.205
10/11/2013,4.28,0.7,4.205
10/10/2013,4.28,0.7,4.205
10/9/2013,4.23,0.7,4.155
10/8/2013,4.23,0.7,4.155
10/7/2013,4.23,0.7,4.155
10/4/2013,4.23,0.7,4.155
10/3/2013,4.23,0.7,4.155
10/2/2013,4.22,0.7,4.145
10/1/2013,4.22,0.7,4.145
9/30/2013,4.22,0.7,4.145
9/27/2013,4.22,0.7,4.145
9/26/2013,4.22,0.7,4.145
9/25/2013,4.32,0.7,4.245
9/24/2013,4.32,0.7,4.245
9/23/2013,4.32,0.7,4.245
9/20/2013,4.32,0.7,4.245
9/19/2013,4.32,0.7,4.245
9/18/2013,4.5,0.7,4.425
9/17/2013,4.5,0.7,4.425
9/16/2013,4.5,0.7,4.425
9/13/2013,4.5,0.7,4.425
9/12/2013,4.5,0.7,4.425
9/11/2013,4.57,0.8,4.52
9/10/2013,4.57,0.8,4.52
9/9/2013,4.57,0.8,4.52
9/6/2013,4.57,0.8,4.52
9/5/2013,4.57,0.8,4.52
9/4/2013,4.57,0.7,4.495
9/3/2013,4.57,0.7,4.495
8/30/2013,4.57,0.7,4.495
8/29/2013,4.57,0.7,4.495
8/28/2013,4.51,0.7,4.435
8/27/2013,4.51,0.7,4.435
8/26/2013,4.51,0.7,4.435
8/23/2013,4.51,0.7,4.435
8/22/2013,4.51,0.7,4.435
8/21/2013,4.58,0.8,4.53
8/20/2013,4.58,0.8,4.53
8/19/2013,4.58,0.8,4.53
8/16/2013,4.58,0.8,4.53
8/15/2013,4.58,0.8,4.53
8/14/2013,4.4,0.7,4.325
8/13/2013,4.4,0.7,4.325
8/12/2013,4.4,0.7,4.325
8/9/2013,4.4,0.7,4.325
8/8/2013,4.4,0.7,4.325
8/7/2013,4.4,0.7,4.325
8/6/2013,4.4,0.7,4.325
8/5/2013,4.4,0.7,4.325
8/2/2013,4.4,0.7,4.325
8/1/2013,4.4,0.7,4.325
7/31/2013,4.39,0.7,4.315
7/30/2013,4.39,0.7,4.315
7/29/2013,4.39,0.7,4.315
7/26/2013,4.39,0.7,4.315
7/25/2013,4.39,0.7,4.315
7/24/2013,4.31,0.8,4.26
7/23/2013,4.31,0.8,4.26
7/22/2013,4.31,0.8,4.26
7/19/2013,4.31,0.8,4.26
7/18/2013,4.31,0.8,4.26
7/17/2013,4.37,0.7,4.295
7/16/2013,4.37,0.7,4.295
7/15/2013,4.37,0.7,4.295
7/12/2013,4.37,0.7,4.295
7/11/2013,4.37,0.7,4.295
7/10/2013,4.51,0.8,4.46
7/9/2013,4.51,0.8,4.46
7/8/2013,4.51,0.8,4.46
7/5/2013,4.51,0.8,4.46
7/2/2013,4.29,0.7,4.215
7/1/2013,4.29,0.7,4.215
6/28/2013,4.29,0.7,4.215
6/27/2013,4.29,0.7,4.215
6/26/2013,4.46,0.8,4.41
6/26/2013,4.29,0.7,4.215
6/25/2013,4.46,0.8,4.41
6/24/2013,4.46,0.8,4.41
6/21/2013,4.46,0.8,4.41
6/20/2013,4.46,0.8,4.41
6/19/2013,3.93,0.8,3.88
6/18/2013,3.93,0.8,3.88
6/17/2013,3.93,0.8,3.88
6/14/2013,3.93,0.8,3.88
6/13/2013,3.93,0.8,3.88
6/12/2013,3.98,0.7,3.905
6/11/2013,3.98,0.7,3.905
6/10/2013,3.98,0.7,3.905
6/7/2013,3.98,0.7,3.905
6/6/2013,3.98,0.7,3.905
6/5/2013,3.91,0.7,3.835
6/4/2013,3.91,0.7,3.835
6/3/2013,3.91,0.7,3.835
5/31/2013,3.91,0.7,3.835
5/30/2013,3.91,0.7,3.835
5/29/2013,3.81,0.8,3.76
5/28/2013,3.81,0.8,3.76
5/24/2013,3.81,0.8,3.76
5/23/2013,3.81,0.8,3.76
5/22/2013,3.59,0.7,3.515
5/21/2013,3.59,0.7,3.515
5/20/2013,3.59,0.7,3.515
5/17/2013,3.59,0.7,3.515
5/16/2013,3.59,0.7,3.515
5/15/2013,3.51,0.7,3.435
5/14/2013,3.51,0.7,3.435
5/13/2013,3.51,0.7,3.435
5/10/2013,3.51,0.7,3.435
5/9/2013,3.51,0.7,3.435
5/8/2013,3.42,0.7,3.345
5/7/2013,3.42,0.7,3.345
5/6/2013,3.42,0.7,3.345
5/3/2013,3.42,0.7,3.345
5/2/2013,3.42,0.7,3.345
5/1/2013,3.35,0.7,3.275
4/30/2013,3.35,0.7,3.275
4/29/2013,3.35,0.7,3.275
4/26/2013,3.35,0.7,3.275
4/25/2013,3.35,0.7,3.275
4/24/2013,3.4,0.8,3.35
4/23/2013,3.4,0.8,3.35
