yyyymm01, Day Count, Normalized Month
20100501, 20, 0.9565
20100601, 22, 1.0521
20100701, 21, 1.0043
20100801, 22, 1.0521
20100901, 21, 1.0043
20101001, 20, 0.9565
20101101, 20, 0.9565
20101201, 21, 1.0043
20110101, 20, 0.9565
20110201, 19, 0.9087
20110301, 23, 1.1000
20110401, 21, 1.0043
20110501, 21, 1.0043
20110601, 22, 1.0521
20110701, 20, 0.9565
20110801, 23, 1.1000
20110901, 21, 1.0043
20111001, 20, 0.9565
20111101, 20, 0.9565
20111201, 21, 1.0043
20120101, 20, 0.9565
20120201, 20, 0.9565
20120301, 22, 1.0521
20120401, 21, 1.0043
20120501, 22, 1.0521
20120601, 21, 1.0043
20120701, 21, 1.0043
20120801, 23, 1.1000
20120901, 19, 0.9087
20121001, 20, 0.9565
20121101, 20, 0.9565
20121201, 20, 0.9565
20130101, 21, 1.0043
20130201, 19, 0.9087
20130301, 21, 1.0043
20130401, 22, 1.0521
20130501, 22, 1.0521
20130601, 20, 0.9565
20130701, 22, 1.0521
20130801, 22, 1.0521
20130901, 20, 0.9565
20131001, 22, 1.0521
20131101, 19, 0.9087
20131201, 21, 1.0043
20140101, 21, 1.0043
20140201, 19, 0.9087
20140301, 21, 1.0043
20140401, 22, 1.0521
20140501, 21, 1.0043
20140601, 21, 1.0043
20140701, 22, 1.0521
20140801, 21, 1.0043
20140901, 21, 1.0043
20141001, 22, 1.0521
20141101, 18, 0.8608
20141201, 22, 1.0521
20150101, 20, 0.9565
20150201, 19, 0.9087
20150301, 22, 1.0521
20150401, 22, 1.0521
20150501, 20, 0.9565
20150601, 22, 1.0521
20150701, 22, 1.0521
20150801, 21, 1.0043
20150901, 21, 1.0043
20151001, 21, 1.0043
20151101, 19, 0.9087
20151201, 22, 1.0521
20160101, 19, 0.9087
20160201, 20, 0.9565
20160301, 23, 1.1000
20160401, 21, 1.0043
20160501, 21, 1.0043
20160601, 22, 1.0521
20160701, 20, 0.9565
20160801, 23, 1.1000
20160901, 21, 1.0043
20161001, 20, 0.9565
20161101, 20, 0.9565
20161201, 21, 1.0043
20170101, 20, 0.9565
20170201, 19, 0.9087
20170301, 23, 1.1000
20170401, 20, 0.9565
20170501, 22, 1.0521
20170601, 22, 1.0521
20170701, 20, 0.9565
20170801, 23, 1.1000
20170901, 20, 0.9565
20171001, 21, 1.0043
20171101, 21, 1.0043
20171201, 20, 0.9565
20180101, 21, 1.0043
20180201, 19, 0.9087
20180301, 22, 1.0521
20180401, 21, 1.0043
20180501, 22, 1.0521
20180601, 21, 1.0043
20180701, 21, 1.0043
20180801, 23, 1.1000
20180901, 19, 0.9087
20181001, 22, 1.0521
20181101, 20, 0.9565
20181201, 20, 0.9565
20190101, 21, 1.0043
20190201, 19, 0.9087
20190301, 21, 1.0043
20190401, 22, 1.0521
20190501, 22, 1.0521
20190601, 20, 0.9565
20190701, 22, 1.0521
20190801, 22, 1.0521
20190901, 20, 0.9565
20191001, 22, 1.0521
20191101, 19, 0.9087
20191201, 21, 1.0043
20200101, 21, 1.0043
20200201, 19, 0.9087
20200301, 22, 1.0521
20200401, 22, 1.0521
20200501, 20, 0.9565
20200601, 22, 1.0521
20200701, 22, 1.0521
20200801, 21, 1.0043
20200901, 21, 1.0043
20201001, 21, 1.0043
20201101, 19, 0.9087
20201201, 22, 1.0521
20210101, 19, 0.9087
20210201, 19, 0.9087
20210301, 23, 1.1000
20210401, 22, 1.0521
20210501, 20, 0.9565
20210601, 22, 1.0521
20210701, 21, 1.0043
20210801, 22, 1.0521
20210901, 21, 1.0043
20211001, 20, 0.9565
20211101, 20, 0.9565
20211201, 21, 1.0043
20220101, 20, 0.9565
20220201, 19, 0.9087
20220301, 23, 1.1000
20220401, 21, 1.0043
20220501, 21, 1.0043
20220601, 22, 1.0521
20220701, 20, 0.9565
20220801, 23, 1.1000
20220901, 21, 1.0043
20221001, 20, 0.9565
20221101, 20, 0.9565
20221201, 21, 1.0043
20230101, 20, 0.9565
20230201, 19, 0.9087
20230301, 23, 1.1000
20230401, 20, 0.9565
20230501, 22, 1.0521
20230601, 22, 1.0521
20230701, 20, 0.9565
20230801, 23, 1.1000
20230901, 20, 0.9565
20231001, 21, 1.0043
20231101, 20, 0.9565
20231201, 20, 0.9565
20240101, 21, 1.0043
20240201, 20, 0.9565
20240301, 21, 1.0043
20240401, 22, 1.0521
20240501, 22, 1.0521
20240601, 20, 0.9565
20240701, 22, 1.0521
20240801, 22, 1.0521
