"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","media_effect","sato","hpa_annual","turn_cai_mult","turn_hpa_annual_mult","turn_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","turn_pct_purchase_mult","turn_pct_inv_mult","turn_pct_second_lien_mult","bal","std","n"
"1",10,-100,0,0.387215740174207,0,4.54889731028475,0,0.387215740174207,0.0490123321759259,0.00997866539173737,0,0.328224742606544,0,0,0,100,0,100,0,0,100,0.3,-100,0,100,68.8,231,231,56,304,3.3,742,0,0,179.5,14.5,-85.4,1.0141,0.9,0.89341156099357,1.24644444444444,1.045,1.00427222606542,0.923703651864457,0.90407296,1,0.92747478176,1,1,0.87,1,0.97,231010,NA,1
"2",10,-75,0.320081315449176,0.427027954504762,3.77407370986309,5.00567934419045,0.749555882870443,0.106946639055586,0.0545840529615017,0.00914787781499242,0,0.363296023728268,0,0,3.15805004112901,96.841949958871,30.0982046108798,50.2038737277233,19.6979216613969,0,69.9017953891202,0.334980549457321,-84.9233106733631,20.8257783538939,100,55.9636246209326,270.769222966768,269.297032505035,58.0965999654562,292.11113088183,3.2939535724513,782.359832401994,0.985910371000106,50.5505283032062,176.134676310575,19.9260587636097,-38.7170669033072,1.43187703193806,0.9,0.932795032504259,1.24814199380145,1.12378173503538,1.00626807618931,0.890398815098974,0.834994850173506,1,0.97416748692862,1,1,0.909127665994144,1,1.0134748210232,1094316896.5,0.0618456023936959,1349
"3",10,-50,0.548324640528036,0.472812921187038,6.38504269189679,5.5285115065428,1.15970739367998,-0.0755117193409982,0.0533146019777521,0.00866350919497888,0,0.410834810014307,0,0,5.3261520087159,94.6738479912841,27.6975733147628,50.8609242813103,21.4415024039269,0,72.3024266852372,0.309335038903283,-60.8110133247066,62.8035287459298,100,56.5654752199356,271.560474907811,269.926969440516,55.3136724626163,295.018812186998,3.39240968010198,781.830771177179,2.12092959089568,52.767348086338,173.137345691849,25.4401432663094,-29.9277092124751,1.47271649795085,0.9,0.940680370880559,1.24499511571818,1.25996957634186,1.0061694088022,0.889349190542165,0.83607151809605,1,0.990221641927873,1,1,0.906006845309192,1,1.00651256531872,4366060664.8,0.0697317529404236,4236
"4",10,-25,0.553269266901268,0.544449739103724,6.44088059630296,6.34126346240143,1.01619897515621,-0.00881952779754386,0.0540476918445002,0.00899428799744277,0.0124866503482128,0.428213332882116,0.0407077760314519,0,5.01095386280748,94.9890461371925,29.3718704817742,48.308508146918,22.3196213713079,0,70.6281295182258,0.321291737278666,-37.4014780476448,197.33120944176,100,56.9141940820194,269.146349807429,267.548549798229,56.4965421528527,293.469263876229,3.52281374634673,781.119661982287,3.68444290073883,48.2667103990236,173.979442346889,29.3202790200074,-23.3952867578852,1.45608320575577,0.9,0.93864318009254,1.24639473058013,1.287,1.00614697655192,0.892269310248847,0.837492506304774,1,1.00360686452166,1,1,0.908183431626306,1,1.00611345416959,8088602537.5,0.0704003520566167,8167
"5",10,0,0.572360323140202,0.685044106666772,6.65618272300924,7.9177656563461,0.83550871771621,0.11268378352657,0.0561816730579364,0.0101033632842097,0.0375636843761501,0.427866056580824,0.153329329367652,0,5.43387885704596,94.566121142954,25.3230060264901,51.305791904906,23.3712020686038,0,74.6769939735099,0.354404625611936,-13.1407555320707,695.737858700432,100,56.2100802983329,263.768316711346,262.363132329162,60.1798174704139,289.030197797027,3.75680959454198,780.563818459389,7.45201955424152,43.1795623850966,173.61831845609,29.4566836712387,-16.9032353701857,1.32721062022832,0.9,0.925701664378221,1.24993311187518,1.287,1.00619479828436,0.89847563969292,0.838539518400383,1,1.01662666889776,1,1,0.902919907834437,1,1.00732153800761,8022578295.7,0.0692849426278839,11037
"6",10,25,0.783195889811711,0.755840185841262,9.00389451485577,8.7023680745081,1.03619244449143,-0.0273557039704487,0.0610549576833607,0.0137056606588506,0.0407998061579053,0.423455002747852,0.216824758593294,0,4.86601059275407,95.1339894072459,24.9813140262211,51.1975853655746,23.8211006082043,0,75.0186859737789,0.471385202833136,12.0392027833812,1672.14706623529,100,54.953215166838,256.328697367537,254.994110656012,68.7992565544041,279.235654983766,4.00826166683356,780.614160425644,12.7735946845998,46.0543968308131,174.095820875991,29.2683393201007,-19.7875132351518,1.13626584486287,0.9,0.91147264291754,1.25654578221062,1.287,1.00633333711093,0.907074948812701,0.838423149300249,1,1.00968192931194,1,1,0.902475708234087,1,1.00526691347203,6894678277.1,0.0792251047592902,10493
"7",10,50,0.827002120483356,0.834885676924716,9.48484498235043,9.57115106712257,0.990557322206797,0.00788355644135985,0.0661065051872309,0.0189196304317404,0.0441343732751944,0.428436444428372,0.277288723602178,0,6.71570207860224,93.2842979213978,25.3158104599491,49.8025783773107,24.8816111627402,0,74.6841895400509,0.629472874469611,37.9606820861913,3145.48915296876,100,54.3631838846322,248.666228385337,247.243486133933,78.157981449694,269.06626395223,4.28974413532011,780.230813183255,18.2928498446483,48.4879825010684,173.682954889111,28.4961986532846,-21.1026399131867,0.885784533708124,0.9,0.900421901910959,1.26056650895008,1.287,1.00637735369016,0.916019959870375,0.839200137710177,1,1.00812914759465,1,1,0.902910553597934,1,1.00752471906931,6950738127.4,0.0763087372324215,10235
"8",10,75,1.02976649227872,0.979363544097607,11.6807974361094,11.1395391563851,1.05146500345543,-0.0504029481811083,0.0686854851588,0.0254852394689388,0.0464008145313139,0.431757307558623,0.407034697379931,0,6.84870681197306,93.1512931880269,24.2132978300881,49.2654859060188,26.5212162638931,0,75.7867021699119,0.838169368057155,62.299847136872,4796.97729791997,100,54.6245337371215,243.074319447086,241.672411916844,83.0560412186872,264.321529668398,4.52841816454171,779.039570101846,19.9016728369592,42.4565100922834,173.986976360437,28.794249428735,-15.7107029939224,0.746045899031306,0.9,0.897820271765766,1.26120027147758,1.287,1.00634454157502,0.92313943573827,0.841503257957915,1,1.01812587406855,1,1,0.901477287179114,1,1.01242680680439,7392092554.1,0.093063154797552,11175
"9",10,100,1.18034560907601,1.19010766391745,13.2798604620071,13.382606048741,0.991797334697172,0.00976205484144499,0.0704377862775684,0.0334587591675523,0.0479520816270415,0.444462198167666,0.593796838677627,0,7.18567781664206,92.8143221833579,24.8140753155918,45.5050363517315,29.6808883326767,0,75.1859246844082,1.0670939097112,87.4923711210744,6578.09406982303,100,55.3553107245191,241.462008709905,240.040965098958,87.7399728605383,260.549288318707,4.7698362534939,777.919474819121,15.5410568478222,43.4421999975416,173.287951677643,29.0016042518774,-11.8664052512514,0.578741205313191,0.9,0.895211177753112,1.2623026350064,1.287,1.00627554954808,0.925316823179135,0.843772990178439,1,1.02477561572108,1,1,0.902258297910269,1,1.01455184859793,8237467498.6,0.0936569258912699,11297
"10",10,125,1.29361246373529,1.3239422139297,14.4651507531382,14.7800082877211,0.977091333839725,0.0303297501944106,0.0726777151674006,0.0404847838347538,0.0484692296781181,0.450998261840993,0.711312223408432,0,7.6362712642199,92.3637287357801,27.6341482937556,41.8906529755315,30.4751987307129,0,72.3658517062444,1.29026635938336,110.625772808275,8065.62977936466,100,55.5039244612581,237.687809870552,236.250514509431,90.8806752463341,256.655750280128,4.94602827076126,776.801280343627,15.2336627271847,41.6648929937793,174.065916290109,31.2490571056458,-4.08548345254668,0.57609550199962,0.9,0.893795730726869,1.26292363357116,1.287,1.00629947385841,0.930569584121706,0.845960640509797,1,1.03868114344405,1,1,0.905924392781882,1,1.01329242313152,6383129783.3,0.0982699076262499,8779
