Date,Purchase,MBACAI
9/1/2006,395.66,798.5
10/1/2006,381.5,774.3333333
11/1/2006,405.8,750.1666667
12/1/2006,424.8,726
1/1/2007,430.8,696.3333333
2/1/2007,397.025,666.6666667
3/1/2007,408.84,637
4/1/2007,412.15,607.3333333
5/1/2007,433.925,577.6666667
6/1/2007,443.08,548
7/1/2007,435.3,509.5
8/1/2007,440.72,471
9/1/2007,432.55,432.5
10/1/2007,419.525,394
11/1/2007,427.38,355.5
12/1/2007,412.375,317
1/1/2008,419.275,283.8333333
2/1/2008,377.62,250.6666667
3/1/2008,373.375,217.5
4/1/2008,365.925,184.3333333
5/1/2008,359.72,151.1666667
6/1/2008,353.15,118
7/1/2008,342.65,112.3333333
8/1/2008,321.86,106.6666667
9/1/2008,349.725,101
10/1/2008,294.26,95.33333333
11/1/2008,288.9,89.66666667
12/1/2008,305.775,84
1/1/2009,299.76,91.16666667
2/1/2009,245.025,98.33333333
3/1/2009,261.55,105.5
4/1/2009,266.6,112.6666667
5/1/2009,261.66,119.8333333
6/1/2009,269.975,127
7/1/2009,266.58,121.5
8/1/2009,275.725,116
9/1/2009,283.925,110.5
10/1/2009,274.2,105
11/1/2009,219.975,99.5
12/1/2009,225.175,94
1/1/2010,220.44,94.66666667
2/1/2010,211.2,95.33333333
3/1/2010,229.7,96
4/1/2010,250.18,96.66666667
5/1/2010,204.85,97.33333333
6/1/2010,174.45,98
7/1/2010,169.6,101.1666667
8/1/2010,172.225,104.3333333
9/1/2010,181.9,107.5
10/1/2010,181.1,110.6666667
11/1/2010,195.025,113.8333333
12/1/2010,201.54,117
1/1/2011,185.55,115.8333333
2/1/2011,179.525,114.6666667
3/1/2011,190.3,112.08
4/1/2011,193.7,107.04
5/1/2011,191.575,109.28
6/1/2011,185.025,110.55
7/1/2011,183.8,109.95
8/1/2011,167.225,107.75
9/1/2011,170.876,111.19
10/1/2011,171.25,107.1
11/1/2011,186.9275,106.28
12/1/2011,185.166,104.92
1/1/2012,184.7475,102.38
2/1/2012,171.35,99.04
3/1/2012,188.96,100
4/1/2012,189.975,101.71
5/1/2012,190.45,101.55
6/1/2012,189.56,103.01
7/1/2012,188.3,99.67
8/1/2012,178.22,103.93
9/1/2012,189.975,103.92
10/1/2012,192.375,101.4
11/1/2012,197.2,105.95
12/1/2012,191.225,108.16
1/1/2013,205.325,108.21
2/1/2013,196.375,109.13
3/1/2013,206.44,108.01
4/1/2013,215.375,108.56
5/1/2013,211.08,108.87
6/1/2013,212.6,109.81
7/1/2013,198.65,112.3
8/1/2013,187.74,111.5
9/1/2013,190.425,110.7
10/1/2013,182.975,111.5
11/1/2013,187.02,110.2
12/1/2013,175.525,110.9
1/1/2014,183.3,113
2/1/2014,164.2,113.5
3/1/2014,171.9,114
4/1/2014,177.775,113.8
5/1/2014,180,115.1
6/1/2014,179.425,115.8
7/1/2014,171.625,116.4
8/1/2014,165.92,116.1
9/1/2014,167.1,116.1
10/1/2014,164.48,113.2
11/1/2014,171.85,114.6
12/1/2014,165.825,115.7
1/1/2015,184.52,117.8
2/1/2015,169.45,118.6
3/1/2015,177.75,121.359
4/1/2015,202.05,122
5/1/2015,201.96,122.6
6/1/2015,206.675,122
7/1/2015,201.96,125.5
8/1/2015,199.575,126.1
9/1/2015,204.4,126.5
10/1/2015,201.12,128.4
11/1/2015,210.675,127.4
12/1/2015,225.375,124.346
1/1/2016,222.7,123.8
2/1/2016,217.375,123.8
3/1/2016,226.15,123.5
4/1/2016,235.1,122.4
5/1/2016,229.6,121.4
6/1/2016,239.8,119.8
