"","grp","x","actual.smm","model.smm","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","bal","std","n"
"1","INV",-200,1.03386217878644,0.229490396431717,4.50503461086686,-0.804371782354724,0.0345704384557714,0.00323649641531023,0.000138813919183589,0.191539374474872,5.27316658003102e-06,100,0,0,35.2819861121291,57.9836616819427,6.73435220592815,0,57.9836616819427,0.0740207813038734,-209.778369187175,0,98.9081114775856,69.0911479937649,176.901847676294,176.893088917197,12.5885041733449,345.857450818699,3.0403376423407,733.575087316731,44.1648741964712,0,108.275622664367,105.291418945635,36.2168863624772,-69.081082725234,21495994.8,0.110758092624194,162
"2","INV",-175,0.327528280339513,0.216807870444016,1.51068445840432,-0.110720409895496,0.0328053960000917,0.00406082186647159,0.000202022124749299,0.179522838820112,0.000216791632591903,100,0,0,46.8771964302948,39.5607054287247,13.5620981409805,0,39.5607054287247,0.144989185519488,-183.192181536347,0.00111030337655083,97.1687087637594,69.3305991628654,218.683711973874,218.442868037874,10.7766595753092,346.989803786896,3.31169207850827,744.564631439722,18.194783579562,0,108.198666493875,105.550402146289,36.5788238657972,-42.0457087824351,233543719.2,0.0640361989370527,1290
"3","INV",-150,0.232960788633617,0.233226855296173,0.998859193714129,0.000266066662555698,0.0334183260937382,0.00453405527110285,0.000372587679223954,0.193286509301029,0.00161537695107887,100,0,0,44.6774370444721,40.629755433748,14.6928075217798,0,40.629755433748,0.172069343544381,-158.568659517455,0.00966244924445893,98.1274412334268,66.2300550567002,247.029070729299,246.369874981993,11.9239182333289,345.972912318867,3.46864594679387,753.070561302074,14.0972775539583,0,109.782641876291,105.866707161651,36.3042341972486,-25.3268637367228,1880823634.9,0.0359548663246234,6129
"4","INV",-125,0.298475134155477,0.258910752428732,1.15281088697788,-0.0395643817267448,0.0344347077712081,0.00479554618382819,0.000567150139702376,0.21328491032689,0.00582843800710358,100,0,0,41.27352526723,44.221361548839,14.505113183931,0,44.221361548839,0.1986304134989,-134.242955071292,0.0147066975121963,98.7632753656388,62.7657028410736,261.902906676597,260.768458497801,14.0937678941433,343.32854247485,3.59900267737511,762.214088557854,12.25554495839,0,113.456388066397,106.038112053469,36.0278008473927,-12.5625585110988,12898834608.7,0.0422405178756819,22270
"5","INV",-100,0.372638880193681,0.309423735274788,1.20429959861597,-0.0632151449188926,0.0355377132225293,0.0057958148554786,0.00101787216312035,0.253067764663425,0.0140045703702353,100,0,0,37.4565242102453,46.8129045796675,15.7305712100872,0,46.8129045796675,0.256716445616805,-110.507839383279,0.250167455146293,99.1903032675725,59.29081843178,264.59391640874,263.237057435399,17.5824225135186,339.189672163859,3.70965169202621,766.40868262801,10.8949361486021,0,121.181664386469,107.023626722608,35.459473095947,-1.9028726240934,52773490756.5,0.0464960638666665,61737
"6","INV",-75,0.449655168372012,0.373222587831752,1.20479087555846,-0.0764325805402596,0.0362546663008905,0.00713731091839624,0.00187753977272473,0.301857083033107,0.0260959878066343,100,0,0,35.583431854058,47.4335808087726,16.9829873371694,0,47.4335808087726,0.323483582182333,-86.1426863368461,8.35244778513175,99.1884770531686,57.0282700003417,264.535990209867,263.120272306531,21.2493097977092,334.809595205549,3.83918149067919,767.938236348557,11.4534734332905,0,131.319725733462,107.959427059204,36.266388679758,5.90260134749533,137035988240.8,0.0538005899657522,144892
"7","INV",-50,0.518538415701554,0.446659992895591,1.16092424651689,-0.0718784228059633,0.0363609332762503,0.0086373930941116,0.00325305325677947,0.354079977871188,0.0443286353972609,100,0,0,35.7012077336005,46.0566133061194,18.2421789602801,0,46.0566133061194,0.40550440513316,-61.6310375927698,35.3802573795007,99.2560934574732,56.0557014188516,261.898863664615,260.479702996284,23.3892594944987,332.293185280929,3.9690670799636,767.782096307778,12.6295855450598,0,139.783116737151,108.685064087727,38.2910303815828,12.3003856120005,263597489341.6,0.0545233292322963,288818
"8","INV",-25,0.599103291649595,0.514461742854239,1.16452447625311,-0.0846415487953559,0.0352543433753353,0.0101646164595371,0.00468640926293694,0.394100486772886,0.0702558869835433,100,0,0,38.424778487448,42.2150212719297,19.360121311814,7.89288082625129e-05,42.215100200738,0.487380312503731,-37.8367622994153,88.2751551435717,99.0707703766368,57.335447018589,240.293008797131,238.904145019975,22.8580584043219,332.653123137579,4.14319223262616,766.682674057676,13.6127916703897,0,142.880288925173,108.605596294909,41.52645258777,19.2048463424977,369969478100.8,0.0609755960585863,445704
"9","INV",0,0.686850325455011,0.634731206377308,1.08211211069197,-0.0521191190777034,0.0362426580209492,0.0170812185384221,0.00665341350477183,0.533542523359122,0.0412113929540424,100,0,0,47.7074385024057,35.7125620545379,16.5792255971478,0.000773845908556034,35.7133359004464,0.72725634881464,-15.259976077803,236.881557586359,98.7520856701173,58.5750388147602,82.9343529404899,82.092052275157,25.982375236448,325.268629616944,4.36255617377959,762.523788892986,20.4335425913599,0,140.911132771757,108.053511366699,43.7601130457361,30.2212057836978,55619225383.4,0.0645131043723235,177440
"10","NONINV",-200,0.00607863787886212,0.212493930576541,0.0286061717733277,0.206415292697679,0.0322485124196202,0.00549863629210573,0.00029721754977209,0.174442227227139,7.33708790434456e-06,0,3.81924803981997,96.18075196018,39.102908599628,39.6294569047096,21.2676344956624,0,39.6294569047096,0.101463459760903,-210.578474431454,0,100,76.4629456598564,249.697905449465,249.545119581416,10.044950390545,346.682302717251,2.99956374843149,666.165667395654,8.45820350520492,0,106.472164994553,105.705926006288,36.5862567544639,-71.7875797361038,37237115.4,0.000305206374093512,185
