"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","media_effect","sato","hpa_annual","hpa_cum","turn_cai_mult","turn_hpa_annual_mult","turn_lohpa_wala_mult","turn_hihpa_wala_mult","turn_pct_hihpa_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","turn_pct_purchase_mult","turn_pct_inv_mult","turn_pct_second_lien_mult","bal","std","n"
"1","PURCH",-75,0.580489255122253,0.581162949498709,6.74771997817296,6.75530253755032,0.998840782302043,0.000673694376455931,0.0438192522785466,0.0112358808190883,0,0.526107816401074,0,16.3299506548666,6.59492375684734,77.075125588286,100,0,0,0,0,0.443681910089531,-84.5309209748195,18.7199662745706,99.9937394040863,59.1008208505523,277.932080621914,276.267872103432,33.4799894137178,320.592971803931,3.50440613778923,761.637517248155,0,48.3222004546495,177.479450422151,17.449664165589,-25.3106990155245,6.33129870672598,19.6277170766768,0.9,1.25058045250616,0.985871060728897,1.1803797815053,0.524022423850257,1.12587779287056,0.999416136168912,0.897491067400406,0.854961180845796,1,0.998197148207985,1,1,1,1.02939391117876,0.982348774377168,99309595628,0.0686723602292068,56509
"2","PURCH",-50,0.566291706892236,0.590998535387613,6.58779232284154,6.86593960410901,0.958194772040894,0.0247068284953772,0.0416449473170903,0.0100180425155317,2.31467784854959e-07,0.539334970394271,3.43692935324967e-07,11.4552390087835,7.2877516787451,81.2570093124714,100,0,0,0,0,0.417015761685167,-60.7223195142296,62.1741575073024,99.9955962725058,61.3144891436722,281.606061247646,279.886411929723,28.0800741581675,326.562720595089,3.61525670843148,761.804687443311,0,49.3675488349538,175.593089839404,21.3007224260568,-21.5713750953183,6.46899169235199,16.3816294600646,0.9,1.24906921017612,0.927384784216522,1.11626031240879,0.538300563396631,1.26171665585985,0.998253964071542,0.89195226247872,0.855474772700421,1,1.004698515557,1,1,1,1.02061943021581,0.98516453537819,341977840339.8,0.0725198128527188,152804
"3","PURCH",-25,0.614038952768328,0.608147077660071,7.1246422492382,7.05854980012137,1.00968824043507,-0.00589187510825684,0.0408324461123915,0.0101208474017745,0.00507803764504533,0.5450534713237,0.00706227517715975,8.70373598447558,7.9194228688712,83.3768411466532,100,0,0,0,0,0.432709696131814,-36.5573527003416,151.287361270608,99.996289889934,61.6750114677346,280.000399709061,278.281717828637,26.3234683617403,328.393538072087,3.72908884304779,761.59904769904,0,49.9561445886232,175.011146825569,25.2524682201247,-17.24802878264,6.71859895295656,15.5806160669892,0.9,1.25474603231331,0.902876659552894,1.10638324636466,0.573058965229965,1.287,0.998046380584417,0.894093459096831,0.855926300311218,1,1.0123339257982,1,1,1,1.01566672477206,0.987905113065284,734133562405.5,0.0757996245334901,315731
"4","RE-FI-CO",-75,0.574909110324066,0.555837033821797,6.6848926453588,6.46986542822515,1.03431235297716,-0.019072076502269,0.0466212928049329,0.0116528275922245,0,0.49756291342464,0,18.546847109313,1.77459455199705,79.6785583386899,0,0,100,0,100,0.434912666455823,-84.7041631391376,30.4537903867907,99.9982907286207,46.9321411986864,277.84719361144,276.37261155936,41.8808684191464,312.306290062169,3.47590363745963,763.947104202117,0,54.9348790579875,177.793190658703,17.1515289875363,-24.8183572894722,6.79159203614034,26.20122045589,0.9,1.26325474891278,1.07420411989095,1.21740504967196,0.584646771602678,1.12506399407793,1.0043651915978,0.897491664845442,0.855167931733492,1,0.999040347979279,1,1,0.87,1.03338432479676,0.984920052001612,42145659765.4,0.0664156679329522,38035
"5","RE-FI-CO",-50,0.617707673387515,0.574997279380754,7.16577456615788,6.68588565001648,1.07427929755208,-0.0427103940067611,0.0434376860738919,0.0111036783253845,3.96405925605916e-07,0.520455146749382,3.71826170709438e-07,12.4354664405741,1.88218496305163,85.6823485963743,0,0,100,0,100,0.452251599991224,-60.6816167757354,90.5049551142844,99.9979379462655,50.3086513363148,280.286136280041,278.662533467847,34.2802454870088,320.679852133928,3.5942668605536,760.181422113086,0,51.4484892175781,175.915678050262,20.6109935694129,-18.0307673925255,6.92243613521802,21.2540005227872,0.9,1.26029591315205,1.00469115427641,1.16792424193774,0.613195393930818,1.26125267986086,1.00319401827498,0.89291658957853,0.859452224723904,1,1.01165836213828,1,1,0.87,1.02238383959303,0.98377638965748,159255452224,0.0675598698376822,109346
"6","RE-FI-CO",-25,0.627895652227197,0.568693472188537,7.2799108001814,6.61486455815226,1.10410209178387,-0.0592021800386596,0.0418892163871784,0.0106059321869774,0.00631771201991461,0.502679210602084,0.00720140099238268,9.46947731140664,1.92688142152525,88.6036412670681,0,0,100,0,100,0.45204749081736,-36.4192372848291,192.490265989832,99.9985496301197,52.2929970078135,279.101433844695,277.424321631195,29.8414110911333,325.604353383523,3.71084441102247,757.413513606758,0,48.8814134651514,174.687140045676,24.8620718357147,-12.4253817534803,7.13738681188773,18.5398383728905,0.9,1.26202973429313,0.940043189462412,1.11816786099417,0.63927980401059,1.287,1.00234886741879,0.89400591145255,0.862313614659416,1,1.02133186268007,1,1,0.87,1.01704505916053,0.982560287537123,382102453677.3,0.0695137807985128,237017
"7","RE-FI-N/S",-25,0,0.532711229242889,0,6.20852541399017,0,0.532711229242889,0.0359850370336894,0.0027148263115305,0.0063717280743347,0.482768410692748,0.00487122713058699,0,0,100,0,0,0,100,100,0,-43.6991402045459,3.49726428719136,100,67.350351734504,484.250273571281,484.250273571281,21.4996091838845,338.500390816115,4.1,695,0,100,179.699843673554,13.9504298977271,21,8.13028236434923,15.0410829502792,0.9,1.29017855100534,0.939353925282984,1.25,1,1.287,0.994979518504816,0.634249129120677,0.91,1,1.07061444,1,1,0.87,1,0.97,968614.1,0,2
"8","RE-FI-NCO",-75,0.565879045088441,0.545137614652635,6.58314015439692,6.34903655547807,1.03804806323817,-0.0207414304358065,0.0481997822342566,0.0111113205598839,0,0.485826511858494,0,16.500847194211,2.47575654602333,81.0233962597656,0,100,0,0,100,0.401058117560739,-85.00693528657,31.4086287806987,99.9611780075504,47.5538868636983,291.792107961282,290.121093353165,43.2040010589097,308.557132602578,3.4600227301521,767.340280497178,11.4032390555212,55.5305049500626,177.553522260827,17.4530734794044,-26.1184247395683,6.81759158911665,27.8692687722441,0.9,1.26351416402609,1.08546603156537,1.21368569684076,0.588473601318015,1.12306591239087,1.00428442076635,0.876604793460981,0.84958145033204,1,0.996554814390491,1,1,0.87,1.02970152494958,1.00115688268616,117625460495.2,0.0687042537451795,64417
"9","RE-FI-NCO",-50,0.589625800608806,0.568432279315052,6.85050541939529,6.61192079102797,1.03728416218603,-0.0211935212937547,0.0459927249863312,0.0106039635477419,1.75451445633201e-07,0.511835223707052,1.91622481320578e-07,10.8286082334528,2.64958413075337,86.5218076357938,0,100,0,0,100,0.395734829904559,-60.9337720885791,91.8238618449673,99.9602472071242,49.9426308615052,293.967352103877,292.245700101743,37.8462908341585,314.506081776754,3.54897783673707,764.750153829069,14.2104232388226,52.2354807880043,175.277625746051,21.9756839658238,-21.5829015885588,6.87499877776205,24.0850009017318,0.9,1.26105939044627,1.04122492557831,1.17151956173297,0.603358592404541,1.26025973813029,1.00346238566116,0.873383237826479,0.852330670098289,1,1.00500739005241,1,1,0.87,1.01949149482022,1.0046067212656,377542447503.1,0.0687322058379633,175585
"10","RE-FI-NCO",-25,0.637863802499858,0.587695261757947,7.39145977541501,6.82879566183925,1.08536488892533,-0.0501685407419111,0.0452258015294829,0.0104909970333876,0.00828645756680023,0.516104194449256,0.00758781117902023,7.32719059411888,2.85871993314996,89.8140894727312,0,100,0,0,100,0.397213729403816,-36.7963178919461,200.015521635472,99.9518394280091,50.7027627687703,291.658902558719,289.931905263362,35.903226302323,316.693516870292,3.64622952526816,763.167068177073,16.6062552569462,49.0804487293004,174.369835149748,26.5856616474592,-17.0476929383894,7.05123815892873,22.9498287683179,0.9,1.2648534539949,1.01448645088169,1.15727939803926,0.626322864934788,1.287,1.00319187568213,0.876340591034804,0.853864824822384,1,1.0134758119959,1,1,0.87,1.01318894306941,1.00791250534014,773949177148.7,0.0718829595343037,362469
