File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\conventional_data_extract.sql,48,44,0,0,3,0,1,1,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\credit_availability_data.sql,53,41,0,0,8,1,4,37,3,18
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\fannie_pool_data.sql,78,66,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\fannie_tickers.sql,16,13,0,0,2,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\freddie_pool_data.sql,78,66,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\freddie_tickers.sql,17,13,0,0,3,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\ginnie_data_extract.sql,38,31,0,0,4,0,3,3,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\ginnie_loan_aggregation.sql,17,17,0,0,0,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\ginnie_loan_data.sql,68,58,0,0,2,1,8,32,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\ginnie_tickers.sql,15,12,0,0,2,3,1,15,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\hpa_data.sql,84,69,0,0,12,1,3,33,3,26
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\loadLoanPrepay.sql,8,7,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\loadPoolPrepay.sql,6,5,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\media_effect_data.sql,20,13,0,0,4,0,3,21,3,21
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\project_loan_data_extract.sql,44,33,0,0,7,0,4,4,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\project_loan_pool_data.sql,160,131,0,0,6,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\project_loan_pool_data_Intex.sql,161,132,0,0,6,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\project_loan_tickers.sql,13,10,0,0,2,1,1,12,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\surge_index_data.sql,53,43,0,0,6,0,4,25,2,16
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\updateLoanPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00\updatePoolPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\conventional_data_extract.sql,49,45,0,0,3,0,1,1,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\credit_availability_data.sql,53,41,0,0,8,1,4,37,3,18
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\fannie_pool_data.sql,82,70,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\fannie_tickers.sql,16,13,0,0,2,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\freddie_pool_data.sql,82,70,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\freddie_tickers.sql,17,13,0,0,3,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\ginnie_data_extract.sql,38,31,0,0,4,0,3,3,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\ginnie_loan_aggregation.sql,17,17,0,0,0,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\ginnie_loan_data.sql,68,58,0,0,2,1,8,32,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\ginnie_tickers.sql,15,12,0,0,2,3,1,15,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\hpa_data.sql,84,69,0,0,12,1,3,33,3,26
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\loadLoanPrepay.sql,8,7,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\loadPoolPrepay.sql,6,5,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\media_effect_data.sql,20,13,0,0,4,0,3,21,3,21
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\project_loan_data_extract.sql,49,38,0,0,7,0,4,4,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\project_loan_pool_data.sql,168,140,0,0,5,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\project_loan_pool_data_Intex.sql,161,132,0,0,6,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\project_loan_tickers.sql,13,10,0,0,2,1,1,12,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\surge_index_data.sql,53,43,0,0,6,0,4,25,2,16
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\updateLoanPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10\updatePoolPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\conventional_data_extract.sql,49,45,0,0,3,0,1,1,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\credit_availability_data.sql,53,41,0,0,8,1,4,37,3,18
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\fannie_pool_data.sql,82,70,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\fannie_tickers.sql,16,13,0,0,2,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\freddie_pool_data.sql,82,70,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\freddie_tickers.sql,17,13,0,0,3,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\ginnie_data_extract.sql,38,31,0,0,4,0,3,3,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\ginnie_loan_aggregation.sql,17,17,0,0,0,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\ginnie_loan_data.sql,68,58,0,0,2,1,8,32,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\ginnie_tickers.sql,15,12,0,0,2,3,1,15,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\hpa_data.sql,41,31,0,0,7,0,3,26,3,26
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\loadLoanPrepay.sql,8,7,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\loadPoolPrepay.sql,6,5,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\media_effect_data.sql,31,22,0,0,5,0,4,26,3,21
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\project_loan_data_extract.sql,49,38,0,0,7,0,4,4,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\project_loan_pool_data.sql,165,140,0,0,5,5,20,107,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\project_loan_pool_data_Intex.sql,170,141,0,0,6,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\project_loan_tickers.sql,13,10,0,0,2,1,1,12,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\surge_index_data.sql,53,43,0,0,6,0,4,25,2,16
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\updateLoanPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00\updatePoolPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\conventional_data_extract.sql,48,44,0,0,3,0,1,1,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\credit_availability_data.sql,53,41,0,0,8,1,4,37,3,18
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\fannie_pool_data.sql,78,66,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\fannie_tickers.sql,16,13,0,0,2,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\freddie_pool_data.sql,78,66,0,0,4,0,8,26,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\freddie_tickers.sql,17,13,0,0,3,4,1,21,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\ginnie_data_extract.sql,38,31,0,0,4,0,3,3,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\ginnie_loan_aggregation.sql,17,17,0,0,0,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\ginnie_loan_data.sql,66,57,0,0,1,1,8,32,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\ginnie_tickers.sql,15,12,0,0,2,3,1,15,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\hpa_data.sql,84,69,0,0,12,1,3,33,3,26
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\loadLoanPrepay.sql,8,7,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\loadPoolPrepay.sql,6,5,0,0,1,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\media_effect_data.sql,20,13,0,0,4,0,3,21,3,21
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\project_loan_data_extract.sql,44,33,0,0,7,0,4,4,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\project_loan_pool_data.sql,160,131,0,0,6,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\project_loan_pool_data_Intex.sql,161,132,0,0,6,5,23,120,7,25
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\project_loan_tickers.sql,13,10,0,0,2,1,1,12,1,9
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\surge_index_data.sql,53,43,0,0,6,0,4,25,2,16
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\updateLoanPrepay.sql,8,6,0,0,2,0,0,0,0,0
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive\updatePoolPrepay.sql,8,6,0,0,2,0,0,0,0,0
