Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,84,3988,3289,0,0,317,99,382,2053,200,968
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod,84,3988,3289,0,0,317,99,382,2053,200,968
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql,84,3988,3289,0,0,317,99,382,2053,200,968
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.00,21,993,816,0,0,81,25,96,517,50,242
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\3.10,21,1015,839,0,0,80,25,96,517,50,242
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\4.00,21,989,819,0,0,76,24,94,502,50,242
S:\IT\Production\Scripts\python\Scale\SymphonyTracking\Prod\sql\Archive,21,991,815,0,0,80,25,96,517,50,242
