2014-11-12,FNCI2.5-TBA-DEC,Price,101.289062,NULL,2014-11-13 02:49:33.780
2014-11-12,FNCI2.5-TBA-DEC,SettleDate,NULL,12/16/2014,2014-11-13 02:49:33.980
2014-11-12,FNCI2.5-TBA-FEB,Price,100.851562,NULL,2014-11-13 02:50:17.297
2014-11-12,FNCI2.5-TBA-FEB,SettleDate,NULL,02/18/2015,2014-11-13 02:50:17.497
2014-11-12,FNCI2.5-TBA-JAN,Price,101.054688,NULL,2014-11-13 02:49:55.487
2014-11-12,FNCI2.5-TBA-JAN,SettleDate,NULL,01/20/2015,2014-11-13 02:49:55.683
2014-11-12,FNCI2.5-TBA-NOV,Price,101.472656,NULL,2014-11-13 02:49:12.077
2014-11-12,FNCI2.5-TBA-NOV,SettleDate,NULL,11/18/2014,2014-11-13 02:49:12.277
2014-11-12,FNCI3-TBA-DEC,Price,103.671875,NULL,2014-11-13 02:49:36.190
2014-11-12,FNCI3-TBA-DEC,SettleDate,NULL,12/16/2014,2014-11-13 02:49:36.390
2014-11-12,FNCI3-TBA-FEB,Price,103.214844,NULL,2014-11-13 02:50:19.690
2014-11-12,FNCI3-TBA-FEB,SettleDate,NULL,02/18/2015,2014-11-13 02:50:19.890
2014-11-12,FNCI3-TBA-JAN,Price,103.425781,NULL,2014-11-13 02:49:57.913
2014-11-12,FNCI3-TBA-JAN,SettleDate,NULL,01/20/2015,2014-11-13 02:49:58.120
2014-11-12,FNCI3-TBA-NOV,Price,103.867188,NULL,2014-11-13 02:49:14.487
2014-11-12,FNCI3-TBA-NOV,SettleDate,NULL,11/18/2014,2014-11-13 02:49:14.690
2014-11-12,FNCI3.5-TBA-DEC,Price,105.710938,NULL,2014-11-13 02:49:38.600
2014-11-12,FNCI3.5-TBA-DEC,SettleDate,NULL,12/16/2014,2014-11-13 02:49:38.793
2014-11-12,FNCI3.5-TBA-FEB,Price,105.261719,NULL,2014-11-13 02:50:22.107
2014-11-12,FNCI3.5-TBA-FEB,SettleDate,NULL,02/18/2015,2014-11-13 02:50:22.307
2014-11-12,FNCI3.5-TBA-JAN,Price,105.472656,NULL,2014-11-13 02:50:00.350
2014-11-12,FNCI3.5-TBA-JAN,SettleDate,NULL,01/20/2015,2014-11-13 02:50:00.553
2014-11-12,FNCI3.5-TBA-NOV,Price,105.882812,NULL,2014-11-13 02:49:16.913
2014-11-12,FNCI3.5-TBA-NOV,SettleDate,NULL,11/18/2014,2014-11-13 02:49:17.113
2014-11-12,FNCI4-TBA-DEC,Price,106.210938,NULL,2014-11-13 02:49:41.000
2014-11-12,FNCI4-TBA-DEC,SettleDate,NULL,12/16/2014,2014-11-13 02:49:41.200
2014-11-12,FNCI4-TBA-FEB,Price,105.992188,NULL,2014-11-13 02:50:24.567
2014-11-12,FNCI4-TBA-FEB,SettleDate,NULL,02/18/2015,2014-11-13 02:50:24.773
2014-11-12,FNCI4-TBA-JAN,Price,106.078125,NULL,2014-11-13 02:50:02.787
2014-11-12,FNCI4-TBA-JAN,SettleDate,NULL,01/20/2015,2014-11-13 02:50:02.983
2014-11-12,FNCI4-TBA-NOV,Price,106.296875,NULL,2014-11-13 02:49:19.280
2014-11-12,FNCI4-TBA-NOV,SettleDate,NULL,11/18/2014,2014-11-13 02:49:19.473
2014-11-12,FNCI4.5-TBA-DEC,Price,105.546875,NULL,2014-11-13 02:49:43.390
2014-11-12,FNCI4.5-TBA-DEC,SettleDate,NULL,12/16/2014,2014-11-13 02:49:43.587
2014-11-12,FNCI4.5-TBA-FEB,Price,105.3125,NULL,2014-11-13 02:50:27.097
2014-11-12,FNCI4.5-TBA-FEB,SettleDate,NULL,02/18/2015,2014-11-13 02:50:27.350
2014-11-12,FNCI4.5-TBA-JAN,Price,105.398438,NULL,2014-11-13 02:50:05.200
2014-11-12,FNCI4.5-TBA-JAN,SettleDate,NULL,01/20/2015,2014-11-13 02:50:05.390
2014-11-12,FNCI4.5-TBA-NOV,Price,105.625,NULL,2014-11-13 02:49:21.680
2014-11-12,FNCI4.5-TBA-NOV,SettleDate,NULL,11/18/2014,2014-11-13 02:49:21.887
2014-11-12,FNCI5-TBA-DEC,Price,105.789062,NULL,2014-11-13 02:49:45.783
2014-11-12,FNCI5-TBA-DEC,SettleDate,NULL,12/16/2014,2014-11-13 02:49:45.980
2014-11-12,FNCI5-TBA-FEB,Price,105.445312,NULL,2014-11-13 02:50:29.647
