marketTicker,lockinBucket,cltvBucket,walaBucket,monthBucket,bal,incentive,cltv,FICO,waoltv,wala,cpr,smm,smmFactor1,constTurnOverSMM,smmFactor2,smm.model.wala,smm.flatten.wala,smmFactor3,smm.model.lockin,smmFactor4,smmFactor4,seasonalitySMMFunction,smmFactor1,constTurnOverSMM,smmFactor2,seasoningSMMFunction,smmFactor3,incentiveSMMFunction,percent diff,diff
FNCL,1-225,4-CLTV 90-100,C-age-15,Aug,3030726.88,-351.1,95.9,686.87,87.1,12,-0.002878,-0.00102056,-0.000823032,0.004636779,-0.177500795,0.904655914,0.904655914,-0.196208074,-0.150000227,1.308051847,1.193272322,1.24,-0.000830347,0.00463227,-0.17925278,0.909730966,-0.19703933,-0.165125199,10%,0.114779525
FNCL,1-225,1-CLTV <= 70,I-age-45,Jul,296566.67,-351,68.3,642,97,41,0,-0.002018369,-0.001710482,0.004636779,-0.368894384,1.760281422,1.368957638,-0.269471,-0.149786494,1.799034037,1.645408357,1.18,-0.001722228,0.00463227,-0.371789301,1.370246782,-0.271330176,-0.164901421,9%,0.15362568
FNCL,1-225,2-CLTV 70-80,H-age-40,Jul,502651.59,-351,73.6,665,97,38,0.031556,-0.00195723,-0.00165867,0.004636779,-0.357720212,1.686908213,1.368957638,-0.26130846,-0.149786494,1.744539534,1.598204302,1.18,-0.00167282,0.00463227,-0.361123278,1.370246782,-0.26354616,-0.164901421,9%,0.146335232
FNCL,1-225,4-CLTV 90-100,D-age-20,Jul,3318355.94,-351,93.5,699.06,89.1,16.8,0.037212,-0.001311934,-0.001111808,0.004636779,-0.239780252,1.102994618,1.102994618,-0.217390229,-0.149786494,1.451333985,1.327367573,1.18,-0.001121206,0.00463227,-0.242042403,1.105798137,-0.218884799,-0.164901421,9%,0.123966412
FNCL,1-225,3-CLTV 80-90,G-age-35,Jul,784024.7,-351,84,724.12,97,31.1,0.002556,-0.001431304,-0.00121297,0.004636779,-0.261597471,1.518149831,1.368957638,-0.191092451,-0.149786494,1.275765568,1.168097268,1.18,-0.001222633,0.00463227,-0.263938167,1.370246782,-0.192620899,-0.164901421,9%,0.107668301
FNCL,1-225,2-CLTV 70-80,F-age-30,Jul,1645798.34,-351,77.4,693.42,82.9,27.4,0.098526,-0.001234607,-0.001046277,0.004636779,-0.225647466,1.427656206,1.368957638,-0.164831592,-0.149786494,1.100443621,1.006744524,1.18,-0.001053747,0.00463227,-0.227479605,1.370246782,-0.166013603,-0.164901421,9%,0.093699097
FNCL,1-225,3-CLTV 80-90,D-age-20,Aug,1009934.59,-350.1,83.9,740.36,82.1,17.2,0.002625,-0.000812695,-0.000655399,0.004636779,-0.141347967,1.119758975,1.119758975,-0.126230707,-0.147862893,0.853701052,0.7772224,1.24,-0.000658249,0.00463227,-0.142100759,1.122441076,-0.12659975,-0.162887418,10%,0.076478653
FNCL,1-225,1-CLTV <= 70,F-age-30,Jun,820317.43,-347.5,67.7,656.46,97,26.1,0.026342,-0.00108325,-0.0008666,0.004636779,-0.186896887,1.395861148,1.368957638,-0.13652496,-0.142305824,0.959377178,0.873677921,1.25,-0.000871034,0.00463227,-0.188036062,1.370246782,-0.137227881,-0.157069187,10%,0.085699257
FNCL,1-225,1-CLTV <= 70,E-age-25,Jun,1265633.93,-347.5,65.6,707,85,22,0.002503,-0.000861329,-0.000689064,0.004636779,-0.148608226,1.291859342,1.291859342,-0.115034371,-0.142305824,0.808360244,0.733977049,1.25,-0.000690815,0.00463227,-0.149131032,1.293583737,-0.115285178,-0.157069187,10%,0.074383195
FNCL,1-225,2-CLTV 70-80,D-age-20,Jun,837623.38,-347.5,73.2,704,84,15,0.03094,-0.000609592,-0.000487673,0.004636779,-0.105175044,1.028154836,1.028154836,-0.102294946,-0.142305824,0.71883879,0.652079974,1.25,-0.000489466,0.00463227,-0.105664398,1.031660555,-0.102421671,-0.157069187,10%,0.066758816
FNCL,1-225,4-CLTV 90-100,C-age-15,Jul,3998505.29,-347.4,96.9,680.94,90.2,10.9,0.002043,-0.000967044,-0.000819529,0.004636779,-0.176745213,0.851038613,0.851038613,-0.207681779,-0.142092091,1.461599854,1.328854861,1.18,-0.000826988,0.00463227,-0.178527605,0.856556509,-0.208424784,-0.156845409,10%,0.132744994
FNCL,1-225,3-CLTV 80-90,B-age-10,Jul,9825565.92,-345,86.3,727.97,86.3,6.1,0.007362,-0.00030503,-0.0002585,0.004636779,-0.055749979,0.508071085,0.508071085,-0.109728699,-0.136962489,0.80115877,0.720234239,1.18,-0.000259244,0.00463227,-0.05596487,0.512981307,-0.10909729,-0.151474734,11%,0.080924531
FNCL,1-225,3-CLTV 80-90,H-age-40,Sep,225937.26,-342,83,636,97,36,0.000265,-0.003143768,-0.003052202,0.004636779,-0.658259126,1.63799274,1.368957638,-0.480846965,-0.130550486,3.683226158,3.358200982,1.03,-0.003085688,0.00463227,-0.666128816,1.370246782,-0.486137844,-0.144761391,10%,0.325025175
FNCL,1-225,2-CLTV 70-80,I-age-45,Sep,795923.36,-342,73.8,656.46,97,41.1,0.13142,-0.002349182,-0.002280759,0.004636779,-0.49188429,1.762727196,1.368957638,-0.35931301,-0.130550486,2.75229163,2.503193732,1.03,-0.002300064,0.00463227,-0.496530579,1.370246782,-0.362365805,-0.144761391,10%,0.249097898
FNCL,1-225,4-CLTV 90-100,E-age-25,Sep,3541231.65,-342,96.2,710.55,89.7,20.8,0.03718,-0.001670871,-0.001622205,0.004636779,-0.349856049,1.255977639,1.255977639,-0.278552769,-0.130550486,2.133678525,1.939545811,1.03,-0.001636029,0.00463227,-0.353180873,1.257894991,-0.280771349,-0.144761391,10%,0.194132714
FNCL,1-225,2-CLTV 70-80,A-age-5,Sep,204061.51,-342,76.6,900,76,2,0.007938,-0.000142915,-0.000138752,0.004636779,-0.029924289,0.15831629,0.15831629,-0.189015856,-0.130550486,1.447837245,1.274459631,1.03,-0.000137897,0.00463227,-0.029768803,0.161355043,-0.184492548,-0.144761391,14%,0.173377614
FNCL,1-225,3-CLTV 80-90,G-age-35,Sep,554961.45,-342,87.9,760,97,32,0.003567,-0.001482866,-0.001439676,0.004636779,-0.310490533,1.540161794,1.368957638,-0.226807992,-0.130550486,1.737320165,1.579774625,1.03,-0.001451578,0.00463227,-0.313362245,1.370246782,-0.228690371,-0.144761391,10%,0.15754554
FNCL,1-225,2-CLTV 70-80,G-age-35,Sep,813893.87,-342,79.9,704,84,30,0.046065,-0.001375428,-0.001335367,0.004636779,-0.287994502,1.491246321,1.368957638,-0.210375029,-0.130550486,1.611445769,1.46481032,1.03,-0.001345943,0.00463227,-0.290558061,1.370246782,-0.212047979,-0.144761391,10%,0.146635449
