"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","hpa","turn_cai_mult","turn_hpa2yr_mult","turn_hpa_mult","turn_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","turn_pct_purchase_mult","turn_pct_inv_mult","turn_pct_second_lien_mult","bal","std","n"
"1","PURCH",-100,0,0.53254325143196,0,6.20662468464098,0,0.53254325143196,0.0472581018518518,0.00584171825027712,0,0.479443431329832,0,0,0,100,100,0,0,0,0,0.1,-100,0,100,64.6,239.3,239.3,52,308,3.1,726,0,0,169.3,105.3,24,-50,2.6744,0.9,1,1.1175796253696,1.24211111111111,1.045,1.00562890286446,0.91354386466582,0.90859392,1,0.95,1,1,1,1,0.97,239342.9,NA,1
"2","PURCH",-75,0.666924204531352,0.595509932688936,6.10193633123259,6.91024383714956,1.11992121024742,-0.0714142718424159,0.0551200376753084,0.00879487933293797,0,0.53159501568069,0,0,9.39813033787263,90.6018696621274,100,0,0,0,0,0.332653702702081,-83.6873197885781,27.2781920034436,99.982622626788,48.9481845052516,274.395897818044,272.649614971006,58.4589346248595,291.593914578619,3.31641000610328,771.226588877201,0,56.4918283785434,176.258648746021,113.513806766471,18.7281112390206,-35.7604809001664,5.97753698854167,0.9,1,1.2476396863264,1.24850045726414,1.13111125953221,1.00689591673734,0.887749934887466,0.84751456351611,1,0.977581935943748,1,1,1,1,0.993264715116664,13960292331.9,0.0746532730122136,5657
"3","PURCH",-50,0.672799329087637,0.645613513610521,6.37988509100574,7.46859190738352,1.04210849820209,-0.027185815477115,0.0538441984055103,0.00842231786300767,0,0.583346997342004,0,0,9.84513430410197,90.154865695898,100,0,0,0,0,0.30847496850692,-60.3916806102028,67.4508512557187,99.9992422528122,49.7509674003125,275.132135253918,273.333284639941,55.8775911925774,294.414730957084,3.39722610009661,769.497349973304,0,57.7023862117895,173.465021060991,113.670711952851,24.4844220446281,-29.2370618418007,6.18115635216997,0.9,1,1.24972706963969,1.24553870506102,1.2625725118998,1.00686245274453,0.88684476593618,0.849465736573609,1,0.990822206150146,1,1,1,1,0.993843898555783,53027936815.7,0.0764244926576808,16972
"4","RE-FI-CO",-100,0,0.424370359209468,0,4.97482566953608,0,0.424370359209468,0.0478727681895388,0.00390291732190644,0,0.372594673698023,0,0,0,100,0,0,100,0,100,0.056783696346042,-100,0,100,61.1373467076079,258.813853841951,258.813853841951,53.5104466558376,306.489553344162,3.1,741.903418951457,0,44.828756246244,171.441308079611,109.479281093844,23.0930733110556,-54.9677418716423,3.43764784441029,0.9,1,1.19645630859988,1.24147061330372,1.045,1.00623936055423,0.900740770129328,0.875576231386633,1,0.944544755606053,1,1,0.87,1,0.97,732660.3,0,3
"5","RE-FI-CO",-75,0.529052276151777,0.529054727559156,4.45999704734009,6.16227792609529,0.99999536643895,2.45140737892829e-06,0.0536959493248773,0.00835957189004353,0,0.466999206344235,0,0,2.82155469294097,97.178445307059,0,0,100,0,100,0.327257904842195,-83.6346869415984,37.6055933769183,99.9978588943408,40.6575886627981,278.855838286652,277.197376451175,58.699230433331,293.718403656335,3.31601215046327,769.110626055213,0,59.5165709112777,176.248222094052,113.553047284709,18.825682420891,-34.0154218612443,6.30846988308643,0.9,1,1.25161608142571,1.24870377757829,1.13158648307935,1.00719075135443,0.88177288980778,0.849991027193498,1,0.981784823752666,1,1,0.87,1,0.997291769285997,9619754126.3,0.0683598818359424,5106
"6","RE-FI-CO",-50,0.576220061046797,0.570940888700252,5.21502529033999,6.63307097819069,1.00924644293486,-0.00527917234654565,0.0522586397751313,0.00804514850016847,0,0.510637100424952,0,0,2.75782143977092,97.2421785602291,0,0,100,0,100,0.307109687658403,-60.1296041359078,92.6301668141312,99.9947156700781,41.8103130605358,280.190185352784,278.432260741168,55.7153117720525,296.959643216277,3.40708716902962,767.736909015382,0,60.3051135512824,173.372218418753,113.55655392909,24.1361216918555,-26.0980804379101,6.50029630613016,0.9,1,1.25225862271149,1.24521769692953,1.26299312197847,1.00714924423398,0.880139357951595,0.851776594722268,1,0.997353104651164,1,1,0.87,1,0.99614697912511,40765242364.4,0.0630620098705152,15357
"7","RE-FI-NCO",-100,0.000164140092924597,0.370519068648326,0.00196964861566462,4.35648856124861,0.000443000392728474,0.370354928555401,0.0459232068323206,0.0100350018682485,0,0.314560859947757,0,0,0,100,0,100,0,0,100,0.328280185849193,-100,0,100,64.8452866356918,196.279804701109,196.279804701109,49,311,3.1,776.454783273573,0,54.7133643081989,166.8,109.4,23.9,-48.2,2.91748114654277,0.9,1,1.15061992362432,1.23413975694444,1.045,1.0055671187035,0.974030817730516,0.848070896941258,1,0.95238917744,1,1,0.87,1,0.97,389218.8,2.12132034355964e-06,2
"8","RE-FI-NCO",-75,0.510992340795336,0.531655953656403,5.13696196185137,6.19101952930626,0.961133487325864,0.0206636128610662,0.055114613968675,0.00781097713116063,0,0.468730362556567,0,0,3.76514116223079,96.2348588377692,0,100,0,0,100,0.30518800830059,-83.8352642719803,34.7754175896683,99.9966643453227,41.8661946925539,281.843715960435,280.012653401317,58.5875892147731,290.722221773914,3.3095951955982,773.980808286149,3.43960895938497,61.7521267411618,175.948960339488,113.881930759312,19.126297250934,-34.7395953370835,6.50886271097272,0.9,1,1.25798061892651,1.24856669785376,1.13027067632032,1.00716142678163,0.878423834885426,0.842883642758353,1,0.97999256209433,1,1,0.87,1,1.01456372815832,28875719856.3,0.059142207459773,8066
"9","RE-FI-NCO",-50,0.557090080080836,0.575667144850332,5.6832720539208,6.68513227830497,0.967729503176135,0.018577064769496,0.0536516373549046,0.00770075731491945,0,0.514314750180508,0,0,3.66745810583102,96.332541894169,0,100,0,0,100,0.29423737087882,-60.2528727721131,84.3599449444919,99.9987468272717,42.525859942999,282.884493424193,280.980801625226,55.669420950844,293.966086984701,3.39607104652127,772.953685621291,4.95245224949452,62.3980110273014,173.123155092999,113.970415898743,24.5803284924149,-27.344228647667,6.75842149394218,0.9,1,1.25916067478352,1.24524934560934,1.26270101195843,1.00714073676817,0.877177129923341,0.843950887574114,1,0.994512189042872,1,1,0.87,1,1.01488968161287,118779708241.9,0.0626120680543539,23205
