asOfDate,RealCoupon,ModelCoupon,RealMortgageRate,RealServiceSpread,Weekday,Weight,Counter,accumulated Weighted CC,accumulatedWeight,WA CC,Servicing Spread,,,
1/3/2006,5.70253,5.82076108,6.085,0.38247,2,0.7,1,3.991771,0.7,0,0,,1,0.05
1/4/2006,5.65324,5.787379727,6.085,0.43176,3,0.25,2,5.405081,0.95,5.689558947,0,,2,0.7
1/5/2006,5.63968,5.768989783,6.05,0.41032,4,0,1,0,0,0,0.395441053,,3,0.25
1/6/2006,5.63322,5.765804261,6.05,0.41678,5,0,2,0,0,0,0,,4,0
1/9/2006,5.62104,5.738669328,6.05,0.42896,1,0.05,3,0.281052,0.05,0,0,,5,0
1/10/2006,5.68246,5.803169172,6.05,0.36754,2,0.7,4,4.258774,0.75,0,0,,6,0
1/11/2006,5.707,5.824335239,6.05,0.343,3,0.25,5,5.685524,1,5.685524,0,,7,0
1/12/2006,5.64441,5.778820691,5.975,0.33059,4,0,1,0,0,0,0.364476,,,
1/13/2006,5.5807,5.722063263,5.975,0.3943,5,0,2,0,0,0,0,,,
1/17/2006,5.57624,5.710723948,5.975,0.39876,2,0.7,3,3.903368,0.7,0,0,,,
1/18/2006,5.58661,5.706354887,5.975,0.38839,3,0.25,4,5.3000205,0.95,5.578968947,0,,,
1/19/2006,5.62211,5.74177136,5.995,0.37289,4,0,1,0,0,0,0.396031053,,,
1/20/2006,5.58423,5.729242327,5.995,0.41077,5,0,2,0,0,0,0,,,
1/23/2006,5.58096,5.731356509,5.995,0.41404,1,0.05,3,0.279048,0.05,0,0,,,
1/24/2006,5.61489,5.76514158,5.995,0.38011,2,0.7,4,4.209471,0.75,0,0,,,
1/25/2006,5.7074,5.859277369,5.995,0.2876,3,0.25,5,5.636321,1,5.636321,0,,,
1/26/2006,5.75541,5.912793748,6.105,0.34959,4,0,1,0,0,0,0.358679,,,
1/27/2006,5.73348,5.894658573,6.105,0.37152,5,0,2,0,0,0,0,,,
1/30/2006,5.75539,5.919948552,6.105,0.34961,1,0.05,3,0.2877695,0.05,0,0,,,
1/31/2006,5.76373,5.916918516,6.105,0.34127,2,0.7,4,4.3223805,0.75,0,0,,,
2/1/2006,5.80873,5.968042343,6.105,0.29627,3,0.25,5,5.774563,1,5.774563,0,,,
2/2/2006,5.80672,5.963212964,6.14,0.33328,4,0,1,0,0,0,0.330437,,,
2/3/2006,5.79888,5.937317823,6.14,0.34112,5,0,2,0,0,0,0,,,
2/6/2006,5.80186,5.950820721,6.14,0.33814,1,0.05,3,0.290093,0.05,0,0,,,
2/7/2006,5.80179,5.97007549,6.14,0.33821,2,0.7,4,4.351346,0.75,0,0,,,
2/8/2006,5.82338,5.990476226,6.14,0.31662,3,0.25,5,5.807191,1,5.807191,0,,,
