"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","hpa","turn_cai_mult","turn_hpa2yr_mult","turn_hpa_mult","turn_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_pct_REFI_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","bal","std","n"
"1",1,-75,0.0489905322276961,0.405620883352102,0.546969783026375,4.75543283933699,0.12077911724572,0.356630351124406,0.0515330382790892,0.0182421037704613,0,0.335845741302552,0,0,3.57331899004446,96.4266810099555,40.2830193359212,40.3029181972143,19.4140624668645,0,59.7169806640788,0.463451028508962,-82.173339970107,16.106961147079,99.3900720589047,62.7368360197187,273.332060300484,272.438459145027,53.2897708208503,298.661363316026,3.35443707529729,754.495254276922,2.79693235713036,44.1548123764517,164.850213960196,102.762068540203,25.3553849961112,-46.2082144526995,0.386686207399599,0.9,1,1,1.24233533129531,1.14154527742151,1.00397637781338,0.886522308952193,0.858430661912766,1,1,0.966959081949564,1,1,227404469.7,0.00500561638948193,548
"2",1,-50,0.46803302962813,0.450282645810489,2.68244741633183,5.26414725198261,1.03942053726208,-0.0177503838176411,0.0524004627936828,0.0168905415651906,0,0.380991641451616,0,0,3.39488069458113,96.6051193054189,33.8359494714228,44.8096629924264,21.3543875361508,0,66.1640505285772,0.510996595830521,-60.3129995362734,76.1735467978631,99.8000019256741,60.0254754398585,277.83128222171,276.451458650757,54.1667612015181,296.866481026947,3.4918215922315,762.321222547288,3.1890963307647,54.9224052685133,167.028861424564,103.154960500722,25.4412844661046,-31.6160791012567,0.537681599115473,0.9,1,1,1.24391806383935,1.26160105512495,1.00518073357492,0.881968489030194,0.855159552108614,1,1,0.99025934411993,1,1,1477768228.5,0.0611895048124051,2234
"3",3,-100,0,0.390560142738928,0,4.58384435817534,0,0.390560142738928,0.048445735463188,0.004228985128077,0,0.337885422147663,0,0,0,100,38.3794338500773,28.2645374736139,33.3560286763088,0,61.6205661499227,0.105091491202695,-100,0,100,62.3498716050792,211.024639878465,211.024639878465,54.8212270301855,305.178772969814,3.1,774.962892633175,0,0,171.895633402114,108.226715556263,22.9376985735608,-49.4912383254749,2.75874488506514,0.9,1,1,1.24394097320091,1.045,1.0059647917388,0.953330221550261,0.834950384327141,1,1,0.95067528995284,1,1,623622.8,0,3
"4",3,-75,0.437178319299913,0.437162120195369,3.37570866874406,5.11838221153077,1.00003705514224,-1.61991045439015e-05,0.0542271113094361,0.00926628608389788,0,0.373668722802035,0,0,4.937525455511,95.062474544489,32.5598904003796,47.7095202492281,19.7305893503923,0,67.4401095996204,0.332542145855306,-83.9685419562348,22.0218325545167,100,54.5248279915648,274.382327952006,272.661318883123,57.6862324674564,293.008672769411,3.31279161437151,767.855137399267,1.87514353976776,58.6341974305649,175.657607957358,106.599599519275,19.6528476458467,-37.0457441470304,2.30069443210938,0.9,1,1,1.24742607363619,1.12950367773477,1.00650828904969,0.886315730552878,0.850465698986356,1,1,0.975673595016352,1,1,4311321574.3,0.0715853214821889,3112
"5",3,-50,0.524470391427636,0.47447685721638,4.440393734034,5.54286734842175,1.10536559044113,-0.0499935342112555,0.053179087008946,0.00889836704917613,0,0.412399403158258,0,0,6.11073437688372,93.8892656231163,30.3786738839248,48.7141848476879,20.9071412683873,0,69.6213261160752,0.30990684421756,-60.5855227799616,73.4000689461386,100,54.8209689800761,274.202688753118,272.379841413411,55.5387625972069,295.250508805579,3.42226998083998,766.441943362274,3.09165875249495,58.6924956447925,173.111887133549,106.503255199889,24.3422157757375,-28.0616905365217,2.34620234855981,0.9,1,1,1.2450785853776,1.26124232626843,1.00646999450693,0.886416739704837,0.852281893492508,1,1,0.993739202160523,1,1,17062381350.5,0.0629189394865424,9465
"6",4,-100,0,0.381294016061348,0,4.48078316847257,0,0.381294016061348,0.0459232068323206,0.0031556062004267,0,0.332215203028601,0,0,0,100,0,0,100,0,100,0,-100,0,100,63.4,328.4,328.4,49,311,3.1,721,0,100,169.3,108.1,24,-56.9,3.4768,0.9,1,1,1.23413975694444,1.045,1.00590338179697,0.824158569955638,0.90925912,1,1,0.94241746856,1,1,328442.5,NA,1
"7",4,-75,0.519156252029052,0.435840675427672,4.67789307724196,5.10350241504886,1.19116062657444,-0.0833155766013797,0.054420473852535,0.00829221414193501,0,0.373127987433202,0,0,3.8984319013058,96.1015680986942,28.4538893760122,51.9068257997809,19.6392848242069,0,71.5461106239878,0.307946068755393,-83.8942476747354,26.0261583144985,100,50.2489891878452,278.928536110134,277.121062058585,58.3971679484613,292.344577194781,3.30194556019416,771.256656692202,1.61388334877246,66.51812411067,175.967871271783,108.753298457034,19.3029027776742,-35.3745418080355,3.50376618273462,0.9,1,1,1.24831068916261,1.12982139503823,1.00688745549648,0.881628353192783,0.846853316429143,1,1,0.978533170625849,1,1,9799901898.3,0.0657829565103938,4008
"8",4,-50,0.576498631906051,0.472808084908908,5.41679466088071,5.52393374366293,1.21930789744663,-0.103690546997142,0.0533605496033703,0.00812301263864398,0,0.411324522666894,0,0,3.69869965677504,96.301300343225,26.6566749416185,52.6059244405347,20.7374006178468,0,73.3433250583815,0.292087389771888,-60.3603140202903,69.5943667510684,99.9990754007782,51.2685655672336,278.338787703593,276.463703941861,55.8083600307501,294.789252280134,3.3923165717992,769.623771813121,2.69990320298369,65.2434211041348,173.304540857123,108.725660213573,24.7795856683688,-27.9945126973839,3.48102565997129,0.9,1,1,1.24542840617134,1.26272442419223,1.00682263143335,0.882301721320665,0.848468207394666,1,1,0.99319663684851,1,1,35770547088.8,0.0658043247410705,11330
"9",8,-100,0,0.342181010658857,0,4.02976883681183,0,0.342181010658857,0.0468139086914062,0.0035909468540394,0,0.291776155113411,0,0,0,100,0,0,100,0,100,0,-100,0,100,61.1,196.2,196.2,51,309,3.1,710,0,0,166.8,110.6,23.9,-57,4.1318,0.9,1,1,1.2400859375,1.045,1.0063133057972,0.97195844432373,0.90992,1,1,0.94232212,1,1,196202,NA,1
"10",8,-75,0.581665955669289,0.437122987775043,5.95107842634361,5.11817750286859,1.33066887795119,-0.144542967894246,0.0550449296786596,0.00798939087907608,0,0.374088667217307,0,0,5.42434139820919,94.5756586017908,25.3861452444108,56.7732555372385,17.8405992183507,0,74.6138547555891,0.317484867993248,-83.7108411363517,36.5516167263039,99.994207088505,40.4409577045874,280.006554423644,278.176347784945,58.7476219558664,291.074245633359,3.3151524386862,773.25612367449,1.95938519986216,58.4916154769983,176.232215021931,115.873068827047,18.762471389767,-34.4355735039251,7.54880012842017,0.9,1,1,1.24880610633996,1.13100971016274,1.00723527911402,0.880951398793041,0.844417919056758,1,1,0.980446200067689,1,1,38117138539.3,0.0710835081793749,7378
"11",8,-50,0.600747839892498,0.468716914594212,6.31858250034671,5.4773966641023,1.28168585597682,-0.132030925298286,0.0534733842039651,0.00773824890017867,0,0.407505281490068,0,0,5.23514164877188,94.7648583512281,23.8903278506929,57.4921261117888,18.6175460375182,0,76.1096721493071,0.299836439809254,-60.2067854901598,85.420864133583,99.9995204772228,41.2984298033154,281.602447332041,279.707230726207,55.7473405644692,294.5358660522,3.39643053309952,772.004337644904,2.74061243433818,60.1098521241682,173.318978981983,115.854570266205,24.406370453006,-27.3937385670468,7.77304480797014,0.9,1,1,1.24533391117309,1.26296426939941,1.00721242076244,0.879013830640303,0.845808721883138,1,1,0.994403567249345,1,1,158262191319,0.0728933104116573,20025
