"","grp","x","actual.smm","model.smm","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","bal","std","n"
"1","INV",-200,0.000105894420272863,0.409537827188644,0.000258570547682486,0.409431932768371,0.0523183265529403,0.00104714299784923,0.000664756386269538,0.355501762980677,5.83827090839273e-06,100,0,0,0,100,0,0,100,0,-202.1,0,100,34.6939552543447,193.351068007833,193.351068007833,63.8676319746589,296.132368025341,2.6,741.346581920357,100,0,179.2,112.2,20.9,-106.073423822612,444369.4,4.61880215351701e-06,3
"2","INV",-175,9.84344999788903e-05,0.426128140709304,0.000230997417384928,0.426029706209325,0.0495969080094182,0.00147462371388832,0.000850217926709504,0.374201027304464,5.36375482385087e-06,100,0,0,0,100,0,0,100,0.0182669895692625,-186.902629586982,0,100,38.3302731791965,186.634206592296,186.634206592296,54.9037769766827,302.838140171488,2.62938826706511,746.871394295423,85.305866467443,0,171.357626770933,111.941865185755,25.8303015486337,-102.867007482995,3732890.4,4.33536441552318e-06,26
"3","INV",-150,0.117121569507803,0.466980841799697,0.250805941109765,0.349859272291894,0.050559108516327,0.00519713570328183,0.00139952389996156,0.409818518424755,6.55525537165175e-06,100,0,0,25.3134737715351,54.7570025094019,19.9295237190631,0,54.7570025094019,0.173744971927444,-159.448533870552,0,95.4982145466339,44.4625017481042,210.85765473265,210.845543596438,54.7821579680659,300.839496991724,2.95365567890414,757.035866706895,20.806669430892,0,172.245915569235,111.961907662621,25.5396997293324,-68.022288686684,21542623.7,0.0152048914201147,163
"4","INV",-125,0.357809303260323,0.485761509720402,0.736594596525922,0.12795220646008,0.0516831530620588,0.00834087986526266,0.0018166051238983,0.4239127852645,8.08640468295302e-06,100,0,0,29.7295274941537,48.9676993417446,21.3027731641017,0,48.9676993417446,0.318508790220548,-132.946101698261,0.00412571161343088,99.5085316737185,43.5671915161496,262.742979237672,262.284534595303,55.1297444455039,298.155842671383,3.24693349685776,771.010434686601,10.8236614714225,0,172.811507426006,111.943496427703,24.2080662015803,-37.0095399540167,392847981.6,0.0528337736231319,1561
"5","INV",-100,0.556327834313947,0.524771521545216,1.06013343230938,-0.0315563127687309,0.0517017652704616,0.0078820325578483,0.002335180244896,0.462844412721303,8.1307507072995e-06,100,0,0,31.1530991850293,50.9664647389367,17.8804360760341,0,50.9664647389367,0.303333117885277,-108.558714418136,0.0148233179368259,99.9101500675648,42.6647763069807,253.710547564423,252.551090214748,54.8750369662685,297.963318248887,3.4484940168307,773.261305750868,8.57436439424864,0,172.601495137326,111.975175523097,24.9314992161288,-17.7967823706054,4038408824.2,0.0635278717499382,6972
"6","INV",-75,0.627453735080534,0.584119405858881,1.07418745000936,-0.0433343292216532,0.051820847461913,0.00899006492009208,0.00353252856305081,0.519511704828086,0.000264260085739473,100,0,0,32.8765951259519,50.5032184697649,16.6201864042832,0,50.5032184697649,0.350330835936768,-85.4748092141054,1.2551730160986,99.9093730921525,42.8244706939515,251.697324661439,250.316530810689,54.6246394781679,297.674240004679,3.6195308169218,772.465679639928,7.37936502497584,0,172.515103914983,112.05732718158,26.9180080671797,-2.56278348353123,17331195731.1,0.059777738110544,18853
"7","INV",-50,0.673710731075867,0.693045321319655,0.972101982873253,0.0193345902437873,0.052485569355313,0.0120415961432918,0.00541670671440773,0.599738809027452,0.0233626400791901,100,0,0,33.0634878866436,50.0547195425917,16.8817925707646,0,50.0547195425917,0.476204763623716,-61.7479108080098,29.6664737817376,99.8502694013905,42.8742684711764,243.825818461033,242.47352461285,55.4718520008461,296.185377101178,3.78510521197164,771.172879581083,8.82551832573685,0,172.949391586984,112.179409312345,29.6183563510102,7.92864605526014,36620951219.4,0.0639276238518596,41964
"8","INV",-25,0.809629609314402,0.846235851210076,0.956742270085427,0.0366062418956743,0.0530433456910014,0.0156959107413118,0.00849341781817177,0.691734842657149,0.0772683343024426,100,0,0,31.7833110406738,50.0805141179462,18.13617484138,0,50.0805141179462,0.618730307892947,-37.8465565013502,154.617165508349,99.6758694422606,43.4162206982919,229.428629764603,228.291413948027,56.2214246600276,295.007304532764,3.9985457497012,768.005040928835,13.6750597228181,0,172.246783268996,112.159566635299,31.3315339718257,20.9837534636958,46080054152.5,0.0755159278240893,78400
"9","INV",0,0.919747209072457,0.946157151188711,0.97208715055097,0.0264099421162541,0.0535413913445684,0.0187278863417389,0.0121485245497408,0.73682139050723,0.124917958445433,100,0,0,31.8809826820653,49.7501567137775,18.3688606041572,0,49.7501567137775,0.711866831235383,-13.6487738979675,448.514897059738,99.459786344056,44.5501306931356,202.56792097525,201.662899708347,56.9796285345469,293.984496668095,4.20563937740909,764.540151079901,19.184257188454,0,169.891283878141,112.036229735533,34.4122125471348,28.0970774972537,45808806444.4,0.07679897737604,111434
"10","NONINV",-200,0,0.546621597869497,0,0.546621597869497,0.0463679339383231,0.00700954800374556,0.00217670760020088,0.491062550943694,4.85738353339449e-06,0,0,100,100,0,0,0,0,0,-207.204592859844,0,100,69.0340990708484,93.6670494642766,93.6670494642766,49.9984689044236,310.001531095576,2.5,647,0,0,168.031419440147,111.599770264516,24.7665912739647,-110.7,281105.9,0,3
