"Date","MonthlyReturn","ModelReturn","zscore","k","OptReturn"
"4/29/2011",3.99453005,26.3426262300473,4.96809678497035,3.68541322692494e-05,0.000147214938816191
"5/31/2011",3.683694868,25.950915191802,4.8920193898862,3.95754306864063e-05,0.000145783810918405
"6/30/2011",-0.897252308,25.2798445047554,4.76168527927106,4.42374989463171e-05,-3.96921980297306e-05
"7/29/2011",-0.705424518,25.8581495537918,4.87400261883796,4.02198929538329e-05,-2.83720986009691e-05
"8/31/2011",-12.94014862,24.0952228465839,4.53161024662032,5.24673130913364e-05,-0.000678934829093965
"9/30/2011",-10.64639938,20.8542838560674,3.90216105588621,7.49827933405049e-05,-0.00079829676453102
"10/31/2011",2.359358456,17.962123653975,3.34045103789222,9.50752344812326e-05,0.000224316558429479
"11/30/2011",1.440793886,18.5249472409911,3.44976159647107,9.11651814397198e-05,0.000131350236034429
"12/30/2011",0.583268801,18.3914607628376,3.42383609898607,9.20925398908326e-05,5.37147053231706e-05
"1/31/2012",-3.024751456,18.3647008172306,3.41863883172627,9.22784468235292e-05,-0.000279119366386888
"2/29/2012",11.55704368,19.4210901788057,3.62380882433932,8.49394892326652e-05,0.000981649387218802
"3/30/2012",7.140024982,20.574424055578,3.84780720181721,7.69270378415256e-05,0.000549260971979752
"4/30/2012",-2.006531705,20.8064772713349,3.89287614920958,7.53149156721728e-05,-0.000151121766155616
"5/31/2012",-7.184565855,19.1467847708333,3.57053373413631,8.68451462084724e-05,-0.000623944672121873
"6/29/2012",4.38883934,18.1156204911566,3.37026291038562,9.40088598854798e-05,0.000412589782573942
"7/31/2012",6.205884276,19.1894784286776,3.5788256175868,8.6548544448066e-05,0.00053711025110094
"8/31/2012",6.012521041,17.7989301096311,3.30875588882557,9.6208974127434e-05,0.000578458481274222
"9/28/2012",-3.983709824,17.7001933574458,3.28957941899982,9.68949189724928e-05,-0.000386001240606404
"10/31/2012",0.156191174,16.0467850155592,2.96845750161758,0.000108381492146036,1.69282324981611e-05
"11/30/2012",-3.725067888,17.3507701497623,3.22171508834019,9.93224349961575e-05,-0.000369982813162154
"12/31/2012",2.661986266,16.3287911724787,3.02322821707208,0.000106422336458489,0.000283294798048129
"1/31/2013",2.891872428,17.6394680433563,3.2777854605444,9.73167904159251e-05,0.000281427742985269
"2/28/2013",-0.188378382,18.946944207778,3.53172106871462,8.82334803497877e-05,-1.66212802665218e-05
"3/28/2013",4.404539567,19.335908918262,3.60726507708833,8.55312612453393e-05,0.000376725824370511
"4/30/2013",-9.080151393,20.4268278681187,3.81914134262531,7.79524193909212e-05,-0.000707819769520194
"5/31/2013",7.843785317,19.2723921296942,3.59492896361042,8.59725256451548e-05,0.000674350034320871
"6/28/2013",4.903376486,22.3295809603168,4.18869053733572,6.47335961450064e-05,0.000317413193191645
"7/31/2013",4.569974128,23.2713670205739,4.37160248822654,5.81908116307932e-05,0.000265930503640047
"8/30/2013",2.472020122,23.3409289024431,4.38511266857138,5.77075507048999e-05,0.000142654226533848
"9/30/2013",1.859226383,24.3031597876285,4.57199537563609,5.10227317206713e-05,9.48628089478031e-05
"10/31/2013",-0.641668325,24.0074371860855,4.51456067761565,5.30771784145944e-05,-3.40579441690189e-05
"11/29/2013",4.973864425,24.7237804510186,4.65368754477339,4.81005920979683e-05,0.000239245823857521
"12/31/2013",4.966366758,26.3963018563299,4.9785215660676,3.64812364798e-05,0.000181179200144016
"1/31/2014",-0.604617527,27.6800798705426,5.22785456323076,2.7562562414073e-05,-1.666480832458e-05
"2/28/2014",2.400831623,25.5050890706604,4.80543186325214,4.26726778899174e-05,0.000102449914516206
"3/31/2014",1.629580961,26.1259174529748,4.92600800614654,3.83596534173724e-05,6.25101608795087e-05
"4/30/2014",0.678480384,26.6082255981567,5.01968100417506,3.5008957971197e-05,2.37528912477376e-05
"5/30/2014",-1.06960019,25.9775839664127,4.89719895008332,3.93901571376681e-05,-4.21317195585796e-05
"6/30/2014",2.80379304,24.9754783349563,4.70257184337256,4.63519943146898e-05,0.000129961399049647
"7/31/2014",-0.232754526,25.0038907932028,4.70809005858807,4.61546070314514e-05,-1.07426936823217e-05
"8/29/2014",-1.782717382,24.9379138408799,4.695276136645,4.66129627028396e-05,-8.30977388368699e-05
"9/30/2014",2.934749069,24.350705139378,4.58122954612478,5.06924242291118e-05,0.000148769544811739
"10/31/2014",-0.892039723,25.0712325861281,4.72116905735461,4.56867695272622e-05,-4.07544132338639e-05
"11/28/2014",-0.29385887,23.7540775590829,4.46535363834457,5.48373206741086e-05,-1.61144330871212e-05
"12/31/2014",-1.582884994,23.1044067340383,4.33917576944161,5.93507196219306e-05,-9.39453634726553e-05
"1/30/2015",-11.82102097,22.8011233524765,4.28027263067665,6.14576926342075e-05,-0.000726492673396781
"2/27/2015",11.15764873,20.5192960429642,3.83710034092656,7.73100236622442e-05,0.000862598087331309
"3/31/2015",-0.701440809,21.9358063176168,4.11221235280203,6.74692308534286e-05,-4.73256718724367e-05
