"","grp","x","actual.smm","model.smm","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","bal","std","n"
"1","PURCH",-200,0,0.572728720831061,0,0.572728720831061,0.0463679339383231,0.00700954800374556,0.00217670760020088,0.517169673905258,4.85738353339449e-06,0,0,100,100,0,0,0,0,0,-207.204592859844,0,100,69.0340990708484,93.6670494642766,93.6670494642766,49.9984689044236,310.001531095576,2.5,647,0,0,168.031419440147,111.599770264516,24.7665912739647,-110.7,281105.9,0,3
"2","PURCH",-175,0.00233975050934223,0.570758178465406,0.00409937272494825,0.568418427956064,0.0473186986071306,0.00623256373589333,0.0048815659202433,0.512318672362105,6.67784003398964e-06,0,0,100,100,0,0,0,0,0,-183.961532180388,0,100,68.3900113107275,159.207928048031,159.207928048031,52.0134469880442,307.819683642723,2.6026705653169,662.487857397294,0,0,172.316301404715,111.973304065706,24.1842424865084,-117.060988131494,1585574.4,7.93735701374433e-05,11
"3","PURCH",-150,2.4658828554909,0.552086354531111,4.46648035267089,-1.91379650095979,0.0501314673665552,0.0130304569761774,0.0056385748576154,0.483279038640114,6.81669064943352e-06,28.5606041798977,0,71.4393958201023,100,0,0,0,0,0.379560152400418,-159.390935700457,0,100,61.215071029832,176.861672859387,176.843116286446,54.2317570335613,301.813694269838,2.75725693441698,719.090975829536,0,0,173.168787983441,112.022143263641,25.0175936813931,-104.593009656852,19093386,0.122143418342704,135
"4","PURCH",-125,0.339267076015442,0.519551270389842,0.653000185642651,0.1802841943744,0.0506272067873818,0.00875224522423863,0.00322088453025718,0.456943201208023,7.73263994130137e-06,63.1299093278097,0.252729691448693,36.6173609807416,100,0,0,0,0,0.294052191606652,-134.275961803363,0.00422695398072347,100,54.4930168234286,229.313536081054,228.979945504718,54.5290478533738,300.556126124159,3.05202990902138,760.951735998351,0,0,173.004033131092,112.008523071604,25.4341524332024,-65.1970395538989,185002402.1,0.0408358506663957,845
"5","PURCH",-100,0.479940785784011,0.531776375049412,0.902523707901494,0.0518355892654012,0.0515476099409246,0.00868364367524843,0.0027173385420142,0.468819664327838,8.11856338677692e-06,70.1414343489456,2.14577578145843,27.7127898695959,100,0,0,0,0,0.315792995534315,-108.482768900684,0.214795711914895,100,50.0255181254965,245.831366858257,244.879919572889,54.7221666154376,298.355534229911,3.31084279568512,772.63185168736,0,0,172.421899455714,111.964642082115,25.2056660349334,-33.3415405650039,1793646677,0.058071576593007,3849
"6","PURCH",-75,0.591752089820694,0.532306879218556,1.11167469916866,-0.059445210602138,0.0516265900754865,0.00861499332960183,0.00411438470609097,0.467625476113092,0.000325434994284469,37.1517750871605,5.29641043841975,57.5518144744197,100,0,0,0,0,0.314370144057443,-83.9389143451361,0.465325003395662,99.9827490644661,50.1800214806032,261.605334281041,260.167776855118,54.1191528407712,298.153527599635,3.35608854356652,771.91438940735,0,0,171.984287289978,111.947746954627,25.4612067864052,-27.5303630457063,15336836630.1,0.0610601207146147,14310
"7","PURCH",-50,0.637598311134257,0.606191942602509,1.05180928073197,-0.0314063685317487,0.0521640179913794,0.00915653175552545,0.0061438100826814,0.507824809862553,0.03090277291037,14.6388649805427,8.09070725550537,77.2704277639519,100,0,0,0,0,0.33609564295219,-60.1600517235622,32.4200382076846,99.9988500568077,50.2836937226825,259.960676132456,258.358630776862,54.7841906621839,296.893278282179,3.42165179629841,770.477844848455,0,0,172.477890579916,112.051070790572,26.7941113248262,-24.717129442562,82711764056.8,0.0609236890269577,41214
"8","PURCH",-25,0.755990649231559,0.742044769665589,1.01879385198316,-0.0139458795659703,0.0525840719895877,0.00966318011106491,0.00915886425425844,0.575181281405844,0.0954573719048341,7.9451194579368,9.0760780183127,82.9788025237505,100,0,0,0,0,0.354484920862106,-36.6063725923466,136.316121588369,99.9981586980245,50.3306518635678,259.525066829886,257.911232037223,55.5928724400885,295.928339336484,3.5435006766721,768.101633308166,0,0,173.147728694891,112.222376547543,29.8871750910773,-19.045702292484,184336347063.6,0.0688064333707518,87475
"9","PURCH",0,0.824922585313592,0.831666020589102,0.991891654692429,0.00674343527550978,0.0537613616035798,0.011740334658157,0.012827659050914,0.603137081972914,0.150199583303537,7.84704962056536,9.62600780128624,82.5269425781484,100,0,0,0,0,0.418023896828001,-14.159811462383,481.69055072481,99.9956004428539,50.3829727865459,237.336845071521,235.837358678769,57.5641746662251,293.333208224905,3.74314289957743,765.014383819215,0,0,171.722530047883,112.127635431663,31.790527214431,-13.3900192078916,186093939187.4,0.0702458362906814,137967
"10","RE-FI-CO",-150,0.00212142860045486,0.418293583172778,0.00507162597227458,0.416172154572323,0.0481207074239385,0.00569869023233844,0.000891115369743191,0.363575667698479,7.40244827906738e-06,75.2015961995902,0,24.7984038004098,0,0,100,0,0,0.171210922065514,-156.405725749997,0,100,51.0965724783822,208.818207110929,208.818207110929,53.4064037224993,305.94460687099,2.97074229215318,759.020859448756,0,0,171.31072178388,111.837108671533,23.7765829041742,-65.1101754413376,5709110.6,7.91986570134069e-05,45
