"aggActuralBaseLoss","aggEstimBassLoss","aggActualExpenses","aggEstimExpenses","aggEstimInterest","aggActualMIRecoveries","aggEstimMIRecoveries","aggActuralTotalLoss","aggEstimTotalLoss","aggActuralTotalSeverity","aggEstimTotalSeverity"
0.124700870651315,0.378840198373081,0.0319920652128522,0.0925638951542406,0.04875,21762,0,10870.21,88187.9861309728,0.06,0.520154093527321
0.633225546123994,0.380707204257783,0.0438787486893124,0.117571836542345,0.0609621274345912,67098.5694313919,0.15234804986582,1419.1673227008,42624.4260137457,0.014123963130669,0.406893118368898
0.796425776734333,0.3831382886187,0.0841163151099089,0.115976128135321,0.0527994574299756,81664.1622174274,0.249999769823981,3530.11094442583,23985.7536246301,0.0749211963489309,0.301914104360016
0.828789916435597,0.338394187672561,0.0860099304933333,0.1219594441229,0.0622487409840924,78721.8991962843,0.248985598067004,8075.25161655173,24230.2392286074,0.101156480926348,0.27361677471255
0.14592291640513,0.363608798302935,0.0633630909156667,0.112941677054554,0.0724454084908417,16414.949576683,0.19946376144201,10148.2272969666,48515.3747797088,0.0985688968119425,0.349532122406321
0.0304312226555169,0.380290034831794,0.0616659435790849,0.120616807287629,0.0699483976096922,7371.61471143556,0.0626282883678176,8367.8165182751,58396.9569380736,0.0777745876594016,0.508226951361297
0.580141855147773,0.339005236633181,0.0726453080341625,0.11063584068252,0.0669438645347606,84877.3088965588,0.241223741542999,12141.0492500137,27129.8004117738,0.132363122049844,0.275361200307462
0.218960762596563,0.343352313245139,0.0713168326386651,0.0968682265126017,0.072264972877864,39143.4656051004,0.235216793826479,16098.9191768551,34611.3247224111,0.116215776067386,0.277268718809126
0.267498120150297,0.351080536689684,0.0662799690524375,0.11051550233848,0.0716714746677848,43872.2860288717,0.195002305777379,11942.0834237804,40901.6109922928,0.114184805617653,0.338265207918569
0.251629375761007,0.361398447035254,0.0763712433161702,0.110520939958906,0.0743402789470336,20238.2874061927,0.118997706695846,31078.0508211682,55626.6500239744,0.233490211915351,0.427261959245348
0.293065354907693,0.365901264273706,0.078640805836103,0.112843877137243,0.0735807921357688,38766.3673446947,0.172369148903943,15828.931420919,47390.0405894959,0.128572622549362,0.379956784642774
0.296854139076054,0.351014786199034,0.088931041715192,0.126940504839415,0.0910818789432555,44531.5238122534,0.192637850704911,13257.2072657949,44655.3721736498,0.128033163751889,0.376399319276794
