"aggActuralTotalLossBEI","aggEstimTotalLossBEI","aggActuralTotalLossBEIM","aggEstimTotalLossBEIM","aggActuralTotalLoss","aggEstimTotalLoss"
-0.00387464825687251,0.137898168283248,-0.00387464825687251,0.000689638133021782,-0.00387464825687251,-0.102216759479648
0.0966462628582321,0.236184802037231,-0.0156488178402821,0.0207672297579772,-0.0209798907919176,-0.140795949451463
0.0943036956561869,0.187304549086347,0.0071225275297417,-0.113184604723619,0.00328803861116522,-0.338551470081094
0.200917937402482,0.259845717969568,0.0593913757430996,0.0684529095057313,0.0227519017707135,-0.0750916968421465
0.183516665027314,0.223986788520742,0.111417375663465,0.107151354565491,0.0167315868927895,0.0195247790990528
0.194943651464212,0.21515891736846,0.0978833780694196,0.082700028321258,-0.00852301188609477,-0.0166441384641435
0.308367476740235,0.293359368511924,0.127307091315392,0.0611193236154999,4.68678856694391e-05,-0.113060710056818
0.228004124008214,0.256344301705481,0.116942983952261,0.0816849685950553,0.00601170039371823,-0.0493095312377637
0.188305880537528,0.24090806837951,0.0881407329252922,0.0938757224937138,0.0198840553660917,-0.0163985369206335
0.171164588295944,0.22852420052023,0.0810083385683179,0.0810491023393717,0.0209404694304424,-0.0295572212962717
0.291726237713792,0.283068227305113,0.156636975907496,0.103377683581331,0.0294999066753486,-0.0313902242115051
0.226920137416284,0.309508821837192,0.0863508902210993,0.115405437605389,0.0379599551949377,-0.0301721005684634
0.250620909028065,0.263493933504398,0.136582252816343,0.106303658635657,0.0144808508809298,-0.011589047515899
0.263173511417297,0.287791705480988,0.109193351681861,0.106192920475191,0.0154779979349208,-0.0300061682791561
0.311777755401962,0.327009045714024,0.158967247787297,0.135965546893512,0.0464598270872275,-0.00731707722187209
0.262026511169978,0.288206883980375,0.103678673799341,0.106348682460875,0.0313691983104341,-0.030044968678751
0.28680663105099,0.327040899186978,0.123070434415311,0.162975875131115,0.044549498807928,0.0399271070892166
0.239574742197023,0.321319819060013,0.0916016309399656,0.143778174804806,0.0219422269064544,0.0106219416134005
0.254946650937069,0.291483615012427,0.129159429462885,0.118481033768043,0.0198897169783982,-0.0112709021652452
0.249789292443446,0.318421490638311,0.116453509453941,0.156463865207822,0.0387801181922561,0.0349956461349544
0.224267360362623,0.303335388658957,0.0966646616302076,0.142178821993257,0.0212480756169638,0.0213113969939811
0.240880180731596,0.2955697026491,0.0976675391086134,0.120060346351917,0.0287707383967781,-0.0115716708709706
0.243229917434748,0.319448494914342,0.101067823003392,0.153857817675028,0.039254955685601,0.0296648097455423
0.223577133346745,0.271517876611494,0.106832946939881,0.11997878437517,0.0466851620002644,0.00632446519792677
0.246375194076245,0.294827318373335,0.103393611667528,0.130227399172396,0.028795725595406,0.00677745977169174
0.279952171934552,0.311134341164356,0.119168543794857,0.140458393192936,0.0355562275262706,0.0124514322143702
0.273492878700697,0.321277639614162,0.11380528903983,0.145713656428022,0.0347207660859347,0.0140406690384178
0.298755869261874,0.309493462122426,0.155682461110536,0.153047229595667,0.046802553927104,0.0357125552005984
0.272823548570481,0.333067915282757,0.123705130084875,0.156645522714047,0.0517511087808533,0.0243287282875147
0.256637741413161,0.318920804631808,0.108175054526119,0.151771495919391,0.042897580710336,0.0264095143850783
0.312920896910575,0.34012436691643,0.155231274485226,0.179863646527061,0.0564663120591975,0.0596681062350344
0.269917877901187,0.319641907225783,0.134998194230136,0.162729795687133,0.0493756214918577,0.0450457120331456
0.233417515778061,0.290594663678438,0.117644413620401,0.142008557292014,0.0394565986856559,0.0305689775021961
0.292127592990938,0.322356839347213,0.151727705256002,0.170617695676675,0.0711002941725612,0.0568133379237706
0.316441787147849,0.174351432423639,0.185494398397417,0.0264920018715709,0.0666822341424627,-0.0844025710424799
0.309647167267073,0.344021946757977,0.172468761038586,0.182739350930728,0.0645486504738263,0.0617774040602912
0.317279171714962,0.338854833831279,0.17920458640608,0.188369532876474,0.0815185575928267,0.0755055571603701
0.291033812281084,0.333157623082041,0.151219746402157,0.180443230080794,0.0667889860285364,0.0659074353298598
0.316483747854333,0.325639064484155,0.169633588051659,0.173695888368086,0.0683090996551484,0.0597385062810335
