'loanID','beginLoanAge','JudicialFlag','origbalance','loanpurpose','occupancyStatus','propertyType','beginCoupon','currentValue','UPB','expenses','netSaleProceeds','timeDQ','ActuralLoss'
'F109Q4061900',30,'1',161000.00,'RE-FI-NCO','OWNER','SFR',4.750,188125.44,158381.22,-12422.00,'116600',21,64715.74
'F109Q4065327',37,'1',274000.00,'RE-FI-CO','OWNER','SFR',5.500,475491.47,273700.09,-39327.00,'151200',37,202903.29
'F109Q4068388',35,'1',320000.00,'RE-FI-CO','OWNER','SFR',5.152,353480.00,313020.10,-22825.00,'279600',18,79261.47
'F109Q4074893',52,'1',270000.00,'RE-FI-NCO','OWNER','SFR',5.125,281709.47,255614.27,-26206.00,'157900',27,70168.96
'F109Q4077102',47,'0',230000.00,'RE-FI-CO','OWNER','SFR',5.250,300725.00,220954.84,-20339.00,'146300',16,108711.16
'F109Q4078213',42,'0',286000.00,'RE-FI-NCO','OWNER','SFR',4.875,272001.05,282732.73,-28050.00,'218500',34,26736.50
'F109Q4091333',46,'0',71000.00,'PURCH','OWNER','SFR',5.000,74385.58,71124.06,-9745.00,'46300',15,15880.05
'F109Q4098486',46,'1',104000.00,'PURCH','OWNER','CONDO',5.375,119392.00,102683.53,-21332.00,'43000',36,95700.12
'F109Q4104226',32,'0',281000.00,'RE-FI-NCO','OWNER','PUD',5.500,285233.24,274570.16,-5550.00,'197900',13,96485.34
'F109Q4116667',51,'0',229000.00,'RE-FI-NCO','OWNER','SFR',5.625,266148.88,222984.12,-45364.00,'209500',27,19810.25
'F109Q4120776',27,'0',217000.00,'RE-FI-NCO','OWNER','CONDO',5.000,269676.75,209099.30,-1110.00,'171300',6,43703.41
'F109Q4123605',16,'0',260000.00,'RE-FI-CO','OWNER','SFR',5.750,307645.00,257509.53,-4810.00,'175000',8,96060.55
'F109Q4125326',45,'1',194000.00,'RE-FI-NCO','OWNER','SFR',5.500,189686.35,186836.67,-7852.00,'135700',13,44667.01
'F109Q4126194',52,'0',183000.00,'RE-FI-CO','OWNER','SFR',5.875,225911.15,176190.84,-17391.00,'89100',25,123907.20
'F109Q4127583',25,'0',320000.00,'RE-FI-NCO','OWNER','SFR',5.250,341640.00,313038.42,-4397.00,'301900',9,25841.36
'F109Q4128572',55,'0',167000.00,'RE-FI-NCO','INV','SFR',5.250,232210.80,158819.33,-11781.00,'142800',17,38433.03
'F109Q4129473',36,'1',102000.00,'RE-FI-CO','OWNER','SFR',5.250,115416.92,96847.19,-175.00,'97300',4,1336.31
