"aggActuralTotalLossBEI","aggEstimTotalLossBEI","aggActuralTotalLossBEIM","aggEstimTotalLossBEIM","aggActuralTotalLoss","aggEstimTotalLoss"
0.197323957754308,0.33973028601871,-0.0378233463035019,0.216779722477067,-0.0486015564202335,0.124566799820835
0.298483141951643,0.278003039791705,0.109175082111685,0.0180939942595034,0.0504300728885764,-0.176837789889648
0.336857585530687,0.404917654166926,0.204735040848296,0.265059532960486,0.0312225490051545,0.160165942055655
0.368387177035885,0.339054132482298,0.211665577387399,0.145480089865081,0.0221476015509782,0.000299557902168675
0.402625287013146,0.356614990353462,0.195113014868621,0.107000602608468,-0.00185421261151301,-0.0802101882002778
0.291902174729729,0.323094240546016,0.162758780226742,0.126781752453956,0.00849287904828376,-0.0204526136150887
0.225697719380323,0.267344916967296,0.109474405169008,0.114798279470401,0.0245406893480835,0.000388301347729886
0.251557848362713,0.320619583241715,0.135014447358505,0.125839682809047,0.0364451381731511,-0.0202452425154545
0.391118740487982,0.35764109016845,0.227417228958042,0.16369721398155,0.0302609967646033,0.0182393068413747
0.282951818279794,0.38060805369318,0.111679733042649,0.146727087206513,0.0466689856395205,-0.0286836376584874
0.316739048696504,0.31620444543184,0.174150494062106,0.151738008860773,0.0217060516778315,0.0283881814324735
0.343867016128581,0.372171772034602,0.151072751036333,0.15430811814732,0.0213173295747787,-0.00908962226814166
0.360934134978688,0.361209027858545,0.190369716268533,0.163909371455963,0.0534136335155813,0.0159346291540268
0.345361642939521,0.344489833783702,0.156807791935826,0.169975252251567,0.0471759947863436,0.0390893161024653
0.353192563117349,0.378331185075728,0.154315820366927,0.205821986616736,0.0549737987715259,0.0764400877724911
0.295225023094927,0.381516378306944,0.117509419673215,0.191290556466578,0.0241745578118812,0.0486211900863028
0.309595683746211,0.351691566278283,0.158175737093702,0.176247214384741,0.0309768196720502,0.0446639504645837
0.305860912780747,0.366963461993433,0.153197852864269,0.202531362618224,0.0509863435080484,0.0792072880868169
0.275984898637171,0.358672686554154,0.123737245210476,0.18131502460564,0.0238872042779449,0.0482967781442542
0.322052137092322,0.362288810018966,0.13708738881218,0.170661097584934,0.0413839884142613,0.0269403132594107
0.30159677667509,0.392841298741595,0.129042726180355,0.213460249670393,0.0476955617587087,0.078924462866991
0.323390458142367,0.350803920655928,0.160429452130383,0.184227718788981,0.0666254445587185,0.0592955673887705
0.29789825632686,0.344139547992124,0.126009231124957,0.16184997705751,0.0327211611724132,0.0251327988565504
0.337291249417674,0.361412201100888,0.145283947992732,0.176143870236322,0.0398727691534823,0.0371926220878972
0.322583994984009,0.370458955544255,0.140115247884896,0.184907011016709,0.0407221346689157,0.0457430526210505
0.390121102192969,0.393186295028084,0.209014986960323,0.217380386809509,0.0605814047804149,0.0855259556455771
