"aggActualExpenses","aggEstimExpenses"
-16.5,-1077.86855734056
2248,-1652.185526238
2411.25,-1683.26466001763
937.5,-1131.68578216459
1320.33333333333,-3192.3543560745
-8330.875,-916.367135472148
-7328.31578947368,-859.850720392349
2337.7,-475.093118491053
-5375.55555555556,-1081.83575525549
1730.52631578947,-969.824161327607
-31662.8571428571,-1273.31951015925
-13741.2285714286,-1606.69672750029
-23930.9555555556,-1651.11343555288
-12909.1538461538,-1015.61747930928
-16058.5869565217,-778.74089408901
-26713.4137931034,-612.150606842223
-19736.1081081081,90.1283411846931
-10618.9181818182,-146.884916789225
-12477.4537037037,138.145276616536
-21248.0677966102,-341.177475563648
-14030.3423423423,-66.9346411671617
-11080.427480916,-63.9752667355709
-18031.0993377483,273.099800777112
-23611.0979020979,640.609421325651
-22261.6581632653,443.413641926082
-10241.777173913,1170.06359421532
-20560.5339366516,650.302457164028
-10497.9492385787,777.507991209108
-7562.33891213389,1045.19285534235
-9001.56293706294,722.277457617812
-10266.9538461538,1051.38168667567
-3074.6773255814,1447.14537428188
-13430.6360946746,952.150720355202
-8996.78991596639,1543.94613964971
-10422.6997245179,1877.60746166735
-9068.38345864662,1763.0280598983
-9545.27645788337,1924.99978969396
-14141.6103092784,1647.70252761735
-11155.5847619048,1659.77715983987
-9308.42222222222,1937.76101714892
-8625.75099601594,1644.78804996806
-9582.88062283737,1941.98869528591
-15420.6548148148,2115.95056133462
-16186.756684492,1752.77032566093
-15002.0729166667,1611.84023635592
-11176.8070652174,1680.1104049471
-9950.11481975968,1993.28068269509
-12372.8379351741,2200.36458249072
-10367.9988864143,2109.64289124483
-9264.73333333333,2378.89281423176
-15722.6463414634,1947.71798963641
-20556.6820950061,2592.19840445733
-14741.3236714976,2360.3054959076
-21003.3285198556,2370.43118660649
-10882.1936108422,2505.13347326876
-7702.4555785124,2613.14173855736
-9182.40594059406,2560.98570363063
-8029.48613861386,2046.59830835656
-9422.46370530878,2710.39523838512
-6717.47453954496,2521.5126823575
-16755.4144805876,2378.3890419498
-10898.5055187638,2211.68816530201
-8774.01732925586,3207.16031238258
-5181.72277227723,2762.0577790907
-5034.68461538462,3083.54567282981
-6028.60082644628,3230.90951548669
-4091.25880114177,3205.41374635638
-1956.93527204503,2990.2428386288
-1829.34826325411,3211.00978101909
1866.45185995624,2922.37175611793
2528.74719673802,3276.64665497866
3196.19067357513,2991.37115290081
4820.63860830527,3296.53022221329
3927.31058823529,2804.75548828783
2942.784409257,3189.33902090261
3830.85793871866,3225.01481029461
3732.98688915375,3664.11983172847
3501.828,3689.54119717229
4786.12934131737,3341.66835592801
5467.57845188285,3341.0961398961
4825.24708377519,3029.36609538657
4880.98069963812,3713.26446336802
3525.32272228321,3161.28668761563
4530.07419354839,3453.85260962098
3669.82917705736,3592.35197404899
2764.60340632603,3458.26216476729
2026.92569269521,3320.68429098242
983.456647398844,2924.96801056036
4555.35162094763,2920.78826404494
3416.05808325266,3310.83430566633
4703.52966101695,3180.36881603099
3436.02366863905,2449.75317053669
4737.77419354839,2797.73093222721
