"LoanID","Index","DelinqStatus","EndStatus"
"F100Q1000719",41,1,"btc"
"F100Q1000719",44,1,"btc"
"F100Q1000719",47,1,"btc"
"F100Q1000719",50,1,"btc"
"F100Q1000719",59,1,"btc"
"F100Q1000719",105,1,"btc"
"F100Q1000719",109,1,"btc"
"F100Q1000719",119,1,"btc"
"F100Q1000719",122,1,"btc"
"F100Q1000719",125,1,"btc"
"F100Q1000719",130,1,"btc"
"F100Q1000719",136,1,"btc"
"F100Q1000719",143,1,"btc"
"F100Q1000719",146,1,"btc"
"F100Q1000719",151,1,"btc"
"F100Q1000719",155,2,"btc"
"F100Q1000719",160,1,"btc"
"F100Q1000719",163,1,"btc"
"F100Q1000749",13,1,"btc"
"F100Q1000771",5,3,"btc"
"F100Q1000771",14,2,"btc"
"F100Q1000771",28,2,"btc"
"F100Q1000781",22,1,"btc"
"F100Q1000781",26,1,"btc"
"F100Q1000787",8,1,"btc"
"F100Q1000798",47,1,"btc"
"F100Q1000798",49,1,"btc"
"F100Q1000813",5,1,"btc"
"F100Q1000813",13,1,"btc"
"F100Q1000821",8,2,"btc"
"F100Q1000821",15,2,"btc"
"F100Q1000821",17,2,"btc"
"F100Q1000821",19,2,"btc"
"F100Q1000821",25,1,"btc"
"F100Q1000821",27,1,"btc"
"F100Q1000821",48,1,"btc"
"F100Q1000821",53,1,"btc"
"F100Q1000821",60,1,"btc"
"F100Q1000821",72,3,"btc"
"F100Q1000821",75,1,"btc"
"F100Q1000821",80,1,"btc"
"F100Q1000821",86,1,"btc"
"F100Q1000821",96,1,"btc"
"F100Q1000821",100,1,"btc"
"F100Q1000821",106,1,"btc"
"F100Q1000821",109,1,"btc"
"F100Q1000821",126,1,"btc"
"F100Q1000821",132,1,"btc"
"F100Q1000848",33,1,"btc"
"F100Q1000852",36,7,"FC"
"F100Q1000872",29,2,"btc"
"F100Q1000872",40,1,"btc"
"F100Q1000879",6,1,"btc"
"F100Q1000892",5,1,"btc"
"F100Q1000892",7,1,"btc"
"F100Q1000897",11,1,"btc"
"F100Q1000906",19,2,"btc"
"F100Q1000906",22,1,"btc"
"F100Q1000914",23,1,"btc"
"F100Q1000914",25,2,"btc"
"F100Q1000914",27,1,"btc"
"F100Q1000914",43,1,"btc"
"F100Q1000921",45,1,"btc"
"F100Q1000959",10,2,"btc"
"F100Q1000959",22,15,"btc"
"F100Q1000959",27,7,"btc"
"F100Q1000959",35,8,"btc"
"F100Q1000959",40,8,"btc"
"F100Q1000959",44,10,"btc"
"F100Q1000959",53,15,"btc"
"F100Q1001017",52,1,"btc"
"F100Q1001017",56,1,"btc"
"F100Q1001017",64,1,"btc"
"F100Q1001017",69,2,"btc"
"F100Q1001017",75,4,"btc"
"F100Q1001017",79,2,"btc"
"F100Q1001018",23,1,"btc"
"F100Q1001018",30,1,"btc"
"F100Q1001032",3,1,"btc"
"F100Q1001032",9,1,"btc"
"F100Q1001032",14,2,"btc"
"F100Q1001032",22,1,"btc"
"F100Q1001032",27,1,"btc"
"F100Q1001032",32,2,"btc"
"F100Q1001032",40,2,"btc"
"F100Q1001032",42,1,"btc"
"F100Q1001044",6,1,"btc"
"F100Q1001044",8,1,"btc"
"F100Q1001044",13,2,"btc"
"F100Q1001044",15,1,"btc"
"F100Q1001044",20,2,"btc"
"F100Q1001044",24,2,"btc"
"F100Q1001045",16,2,"btc"
"F100Q1001045",21,1,"btc"
"F100Q1001045",37,11,"btc"
"F100Q1001045",41,2,"btc"
"F100Q1001045",44,5,"btc"
"F100Q1001045",50,1,"btc"
"F100Q1001045",52,1,"btc"
"F100Q1001045",54,1,"btc"
"F100Q1001047",9,1,"btc"
"F100Q1001055",4,1,"btc"
"F100Q1001061",24,2,"btc"
"F100Q1001061",26,2,"btc"
"F100Q1001067",5,4,"btc"
"F100Q1001076",4,1,"btc"
"F100Q1001076",6,1,"btc"
"F100Q1001076",13,1,"btc"
"F100Q1001076",22,1,"btc"
"F100Q1001076",27,3,"btc"
"F100Q1001076",40,6,"btc"
"F100Q1001088",16,1,"btc"
"F100Q1001088",25,1,"btc"
"F100Q1001088",27,1,"btc"
"F100Q1001088",48,1,"btc"
"F100Q1001088",50,1,"btc"
"F100Q1001088",54,1,"btc"
"F100Q1001088",60,1,"btc"
