"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"102202945692",0.71950953563464152942326425,147744.00,136896.70,0.92658043643058262,0.40
"102205410511",0.86843386438799693045836723,198226.40,180031.25,0.90821025857302559,0.16
"102207053162",0.87772027035255084001672002,90661.81,89724.34,0.98965970346279210,0.67
"102235699980",0.95877643092635284202176445,339702.50,316752.34,0.93244041477469256,0.17
"102240882003",0.96783632772987580599121494,83324.34,81354.41,0.97635828858650425,0.74
"102243920368",1.30827355856102502327109456,152289.26,151467.37,0.99460309939125057,-0.02
"102277023448",0.74014456995561885219878770,174426.08,169951.19,0.97434506353637024,0.66
"102300914887",0.86502817716256844476185780,88852.02,82184.83,0.92496298902377233,0.50
"102324672006",0.92708886618998789154470645,189909.64,179634.88,0.94589658534448277,0.28
"102331620314",1.01357240127099409895596913,132251.74,119681.99,0.90495588186590210,0.36
"102333946610",1.06939645243031559548491131,220698.55,199611.11,0.90445138855692527,0.09
"102347041903",0.95606014216323126588141672,195192.00,185310.55,0.94937574285831386,0.28
"102361194900",0.98627691469065004088307440,68424.99,68161.07,0.99614292965187134,0.76
"102366351858",0.91370849965923287536900042,129784.38,118234.53,0.91100739549705442,0.51
"102404408345",1.03565065596487123652527579,154599.15,151218.46,0.97813254471321478,0.67
"102416794540",0.95132071277738672989293520,288019.38,286890.71,0.99608127064227414,0.25
"102420951613",0.71771281238239448461409113,112285.71,106550.18,0.94892021433537713,0.63
"102434075546",0.77603613982960919261437710,313167.94,290785.02,0.92852742205986985,0.19
"102445532312",0.91851869018099232926235776,434907.50,395326.76,0.90899044049596753,0.13
"102455976185",1.05407696366325595577826656,236379.00,215322.78,0.91092178239183683,-0.04
"102482136528",0.88957578341505009592837348,28633.88,26747.25,0.93411196806021398,0.95
"102506432851",0.88717092940094676974423594,236232.88,225494.11,0.95454159471789024,0.11
"102507667310",1.04983473175692855326722603,109826.94,109603.16,0.99796243071144475,0.59
"102536797434",0.97945031614897775545687878,78578.97,74899.61,0.95317627604434112,0.51
"102563087616",1.05427193959929963190132535,162951.75,152859.15,0.93806387473592643,0.00
"102587516092",1.05708731145947464605645421,315258.13,290708.64,0.92212892336828870,-0.11
"102591016009",1.04862944162436548223350253,269894.50,246299.37,0.91257646969463994,0.89
"102592178476",1.04679880619779791891237873,246287.15,231859.96,0.94142126375655408,0.24
"102615781954",0.83669586291934198233783013,150252.10,140171.49,0.93290869145922086,0.37
"102626455803",0.96216479765967820575329107,78623.99,74907.93,0.95273630859995785,0.79
"102628698683",1.05479222707131031977077123,131391.33,130247.50,0.99129447886706071,0.41
"102630637231",0.83749912319670925495204096,145146.75,142763.66,0.98358151319268257,0.73
"102634107986",0.95498292455759081030735796,424129.65,393743.37,0.92835615241707341,0.44
"102667927229",0.96093922516377554775866722,323742.00,301591.01,0.93157826293777143,0.15
"102697630384",1.05604632172815678123376141,218487.53,206729.06,0.94618242057109620,0.15
"102703449196",1.08481722073620940007642338,136989.27,124631.00,0.90978658401493781,0.35
"102704590705",0.94062450800314470611491366,280503.15,280304.59,0.99929212916147287,0.44
"102747067985",0.83683976919662671992898357,407871.08,403787.21,0.98998735090509481,0.21
"102769726358",1.28040693744491932337997218,324220.00,307593.07,0.94871713651224477,0.11
"102773794254",1.01062517545575876800267504,142080.00,141684.27,0.99721473817567567,0.37
"102778114378",0.96201524585771837862130384,161318.17,152281.78,0.94398405337724820,0.43
"102783043826",0.84945755269944796129334782,246767.50,236000.00,0.95636580992229527,0.55
"102819669156",1.02763978677554610411704661,155154.75,140088.03,0.90289230590748913,0.59
