"aggActuralMI","aggEstimMI","aggActuralNonMI"
0.0245053208438362,0.103623988612931,0.0112162662190191
0.0586271029894557,0.205404937324388,0.00113965087011983
0.118399475971257,0.223212206429423,0.00506124382471504
0.103194164411743,0.150519320139156,0.00147053289671992
0.083961514511013,0.0275055252050279,0.00717399553823586
0.111166476231582,0.124275155063103,0.0922582496939779
0.13960839943319,0.116075722267669,0.0855296244362126
0.171325399500907,0.138979754433155,0.00192468302637991
0.192440718943561,0.121681822623169,0.122875389779806
0.207385294776138,0.166774179898234,0.0225769274902011
0.131029440016394,0.164221909007313,0.302139773934196
0.236968941199193,0.192534857589192,0.16543087120442
0.179971666697148,0.191786358730029,0.220581222871452
0.198499538735673,0.168123771433211,0.156156404637418
0.136541825281941,0.121977788677414,0.192121706363804
0.183070395154467,0.136254210589693,0.296791079395177
0.156749511081121,0.149818602889847,0.222330695863858
0.202696180186977,0.157070451436346,0.137651613450949
0.176449297059576,0.151326672376164,0.178090988866487
0.190433868106473,0.151880936016781,0.229536615932642
0.153419776283764,0.137620582631084,0.179396863940227
0.139091506875876,0.144542143994379,0.153898469395076
0.149331007450486,0.14412742145892,0.219181897019622
0.126181474250125,0.130811158817152,0.296022082766785
0.13146496710593,0.120680373433892,0.25578211950813
0.117184862247237,0.117605036830318,0.157218856296284
0.133504341466037,0.144509226285186,0.242619585292604
0.108630949809787,0.132368227288793,0.154074507320878
0.132206225551826,0.137842828411376,0.128343653654103
0.167872821948219,0.144634066816538,0.139489634622303
0.145644609190817,0.143131708537988,0.151297863498842
0.186248905252193,0.139020292020378,0.0967031544417179
0.12503680259809,0.13690975817974,0.185142909673688
0.14842894287441,0.145948927940262,0.144525362222958
0.159735735344825,0.146423789574272,0.1652316081836
0.170606817018423,0.137688366716312,0.161767807480717
0.140792298947781,0.135123387629598,0.155121008597826
0.162690054828554,0.130877284662648,0.198312585595729
0.16312544606541,0.130057756648839,0.168906755806012
0.137460073110563,0.137194623992724,0.152877522919435
0.162678622027927,0.14729438683999,0.147994687886488
0.142633250353849,0.135245034062943,0.159220549292045
0.136213571509028,0.138499144253053,0.207668292986863
0.151765612524143,0.142597790378163,0.209261348292664
0.127016672359218,0.135132095097355,0.203752537324165
0.145085362195026,0.147602150540319,0.164060449013571
0.129762893762972,0.141054453869881,0.160129451569203
0.153266658504537,0.141173215238673,0.186249571984984
0.139479034522742,0.136698110900059,0.169703633568473
0.150119507038898,0.139331467724307,0.163460899473098
0.14432401960566,0.142827294835456,0.22098992845478
0.137508649724531,0.142347500716629,0.265096483108927
0.154650183200508,0.140404072819195,0.206177973110173
0.136098760492565,0.141528462340717,0.267663015349855
0.140961715727135,0.142521892967043,0.17979643844831
0.157548457291827,0.142519891855208,0.148271577321737
0.156096914691697,0.141618821029425,0.160757321068636
0.128540443411986,0.141214630750002,0.150875067615493
0.147472427313607,0.142752398537964,0.163920596296587
0.159058175451274,0.142000562392175,0.145379548519465
0.146246081263446,0.139728075450567,0.235740242134642
0.158066242196535,0.141913169052653,0.182369902301292
0.160827433867637,0.143976337024582,0.169078897602002
0.118009575224913,0.134339503980341,0.13359165347776
0.135694682576231,0.138807212577288,0.139084066769643
0.130356453982519,0.136114430016891,0.147322218386328
0.130288244552618,0.143753696478358,0.133055150003503
0.13328036262644,0.137936928110733,0.113577672496823
0.118806676107458,0.134056243805206,0.115264267762988
0.129387972789139,0.134408206238071,0.0773419583938828
0.127225630588498,0.136627785428483,0.0736105573684282
0.131052061566414,0.138993179468781,0.0671640387002774
0.12544842395963,0.133137862936023,0.0544866167927345
0.129822908775759,0.133486771077571,0.0630029336100237
0.120605744928138,0.124037074299969,0.0713795666907713
0.123840498767657,0.12532394312746,0.0590969212597327
0.128541969613162,0.124557349228322,0.0661020431150295
0.134374544936405,0.128078995440628,0.0669494726922073
0.119976843898455,0.124782029602159,0.0546441878631048
0.127602323966823,0.126601605261197,0.0458174584523123
0.122945718145609,0.127454182146468,0.0534487898626669
0.115721417451225,0.118677866329664,0.056590684271725
0.122006770696217,0.119570637816253,0.0693919800916953
0.121430638107662,0.121563585458456,0.0592974809086863
0.136771232940829,0.126022246392462,0.0676688046887226
0.125516780477526,0.12336594365369,0.0741852186535616
0.121284907615879,0.115774295103625,0.0841734521752529
0.102582068078571,0.106306653244931,0.0778119659247529
0.108217337943988,0.112349695629706,0.0539764806144616
0.114691434920061,0.113161530081261,0.0651124529222965
0.115282743276941,0.113752638229557,0.0493084844280608
0.0982090712216196,0.109055368302513,0.0590837486411864
0.113637305072617,0.116506860096575,0.0473990648645294
0.113057169104539,0.108729224607753,0.0397413260789362
0.107012461515349,0.102130074201052,0.0659270688538547
0.118376880247922,0.10867805314177,0.0633709022866429
0.112858785482324,0.105000680282129,0.120663206880459
0.107231011373466,0.0970022960139608,0.0697450260135599
0.105588753401453,0.0931690376631131,0.0713451841159066
0.105089747098339,0.0920593878217525,0.0712975021756001
0.119659697555003,0.108321100673525,0.0783754052776248
0.11288818029686,0.101689802484705,0.0735503799085458
0.107144637351348,0.0976644003541248,0.0653169362840623
0.103318208824334,0.0895664201807047,0.06539095023159
0.10268030441686,0.0926282852626225,0.0722629533994656
0.100888183599237,0.0929139812949946,0.0810400166560095
0.100855857196879,0.0916394190621975,0.0722213403824541
0.0892809668285512,0.0845286952580529,0.086721551940034
0.0860511565409181,0.0849293955794172,0.106198197686442
0.0917413218428047,0.0887555730397803,0.0933592144846109
0.0926219594516233,0.0897664243355687,0.103313399771919
0.0911195156285883,0.0888565588415553,0.11412861974787
0.0844330894263504,0.0826637511646398,0.10767645362167
0.0826452282697388,0.081525665606411,0.102404666213112
0.0756777448877208,0.0779808752518466,0.103702004299972
0.0785712622666046,0.0797048413675969,0.0920808266733234
0.0766746680299865,0.0807004583202895,0.085401845405055
0.0703801580096845,0.0770918749089656,0.094018307420455
0.0745273282046493,0.0778614146550799,0.0798558793337491
0.0728353062820649,0.0765416261033192,0.084266334453518
0.0704879050908755,0.0730302782727989,0.0738938606197885
0.0757436148412002,0.0796823078672969,0.087024164833602
0.072570829495921,0.076096699708533,0.0873693967482958
0.0681207792322419,0.0713461331035888,0.077501343185084
0.0731590723413945,0.0784276596606461,0.0879486770376572
0.0700463061364616,0.0731945436057803,0.0676426868132224
0.0699326986299311,0.0695937498330749,0.0623987840492231
0.0689437968836666,0.0705926836806078,0.0697584482341411
0.0670801368925184,0.0674415254496169,0.0614743587873117
0.0637671853939204,0.0638794428705161,0.0678600762391344
0.0639202190945736,0.0643026555449382,0.0709863056837091
0.0632511334317537,0.0630068102230105,0.0727212834622049
0.0652091380029038,0.0638106460030837,0.0758789471330123
0.0648693980875314,0.0641909595743509,0.0783804389998786
0.0715216048723003,0.0669972885991806,0.0622421539610117
0.0690245056458321,0.0664792884800919,0.06531486421593
0.071398290661208,0.0657053408520353,0.0547232351260496
0.0698193249866728,0.0647052817837723,0.048552589217855
0.0646179403295728,0.0618312601624762,0.0441399116126059
0.0630802812921979,0.0596324127810718,0.0459758787123083
0.0650356097381959,0.0625453869682468,0.0456782490227509
0.0619140667731663,0.0590028710689548,0.0434110784177171
0.0613321997569026,0.0606730017155539,0.0444459995338217
0.063828924351427,0.0635312594230495,0.0428464458673868
0.0631239374989552,0.0625913377102588,0.0436340149267286
0.0618643278569487,0.0611760383880583,0.042247010767086
0.0627096349197476,0.0619374883898643,0.0457894333357806
0.0607944171499716,0.0601228014214379,0.0424947910064658
0.0657468297792964,0.0646384496458431,0.0407455270235793
0.0634775228243818,0.0616522441349217,0.0374876232542048
0.0662170205471003,0.0639391287542499,0.0415179948593823
0.0604509451247957,0.0601622998802648,0.0386402418792096
0.0602669415793476,0.0603173502844457,0.0355126505045465
0.0610769029980831,0.0619642929256788,0.038912821011699
0.0635133886488792,0.0636087263673865,0.0393170451593227
0.0632174988370105,0.0627007419644973,0.0402694202089209
0.0623477769094679,0.0613082846526682,0.0360437041002141
0.0641620164822153,0.064815149626578,0.0383118637558932
0.0672952293500077,0.0664398854570127,0.0392836915478852
0.0667882818310868,0.065852859751926,0.0363975881537252
