"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","media_effect","sato","hpa_annual","hpa_cum","turn_cai_mult","turn_hpa_annual_mult","turn_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","turn_pct_purchase_mult","turn_pct_inv_mult","turn_pct_second_lien_mult","bal","std","n"
"1",10,15,0.401544098133978,0.435115522762475,4.71352390238471,5.09822613759432,0.922844801271722,0.0335714246284973,0.0357086363565336,0.00463867533572146,0,0.38462041647428,0.0101477945959399,0,5.62624357783049,94.3737564221695,43.6977369547825,40.5615517052064,15.7407113400111,0,56.3022630452175,0.403753137226143,-35.9485775781331,36.5944628663351,100,62.714656753867,309.026877660236,306.828611422927,14.169701283231,342.021544085677,3.46501321389661,780.62930543327,5.21576535736328,50.471888536956,175.027794218956,32.1876909044126,-34.0008642335616,6.15615540677581,7.25035990704828,0.9,1.28709055394701,0.908758691998409,1.28569730703696,1.00462316635452,0.84864827102353,0.83855770805281,1,0.980468952587594,1,1,0.926807058041217,1,0.984692122295877,42871904661.3,0.0522710216486946,7001
"2",10,20,0.412631359354904,0.416922207828944,4.84073303855963,4.88992207788005,0.989708275564442,0.00429084847404002,0.0362190734372418,0.00689213531613209,0,0.370929843654843,0.00288115542072692,0,5.09457150922991,94.9054284907701,50.7653055698926,30.9457671373329,18.2889272927745,0,49.2346944301074,0.579281084218645,-52.7513958003824,31.9206512817043,100,65.4974935028675,292.862003912584,290.606500992055,16.1331421010229,339.259731927504,3.52662634682568,779.718362437662,5.91647138277073,46.3820122962582,178.239116606055,22.9012706075145,-24.6130812981216,5.2328203442863,7.02165362566978,0.9,1.27953664629357,0.937315813629975,1.25396926010995,1.00428242273032,0.865830380826002,0.840434618113152,1,1.00068650130076,1,1,0.93599489724086,1,0.992620185806719,49688621755.8,0.062076838391084,5865
"3",10,25,0.487827543705336,0.473136367599029,5.69939274314791,5.53219563572072,1.03105061693071,-0.0146911761063065,0.0378669297905342,0.00625308735117701,0,0.424212859473628,0.00480349098368997,0,5.0683600625056,94.9316399374944,54.0524041897773,30.7965041827847,15.151091627438,0,45.9475958102227,0.409604865227438,-46.2081320823883,146.726753861384,100,64.4025265634328,291.624258233846,289.38686786595,22.1754984991122,332.411215359892,3.63748480887873,780.565330255025,2.99394753080598,48.4867756650908,174.685903636107,22.0858611215688,-30.6922993320176,3.78554944227942,7.10766234898404,0.9,1.22620286954032,1.00352181142947,1.2719118586748,1.00460040399096,0.867101584224741,0.838720465473552,1,0.987596643373975,1,1,0.94026812544671,1,0.993295636785807,26076926814.6,0.0570078032318186,6613
"4",10,30,0.567020474687107,0.537513305232126,6.59600761308885,6.26284770069707,1.05489570056733,-0.0295071694549807,0.039574735136934,0.00632723343412439,0,0.479110935292346,0.0125004013687219,0,6.94784034964233,93.0521596503577,48.6867675822821,36.331378764227,14.9818536534909,0,51.3132324177179,0.366700390916053,-34.5512490406185,177.286319006326,100,62.5636187555467,297.821895362943,296.043583364452,26.3319007665953,327.391345672588,3.62050917592601,779.93276810006,1.17688899932644,46.8693087569348,174.357225185993,27.1795803662307,-40.8904059463264,3.4633793550971,7.72253033719939,0.9,1.19890480595829,1.04381268970886,1.28451891916621,1.00506829663153,0.860895079128175,0.839830589030552,1,0.969289994445228,1,1,0.933292797856967,1,0.992510459195536,1841990589.3,0.0631272527350176,1501
"5",10,35,0.509709359075632,0.469797480535407,5.94792210754785,5.49415860453599,1.08495549719581,-0.0399118785402246,0.0421960452641192,0.00992950701163638,0,0.412637574057323,0.00503435420232864,0,4.788381753628,95.211618246372,59.8529916958746,25.2756377606113,14.8713705435141,0,40.1470083041254,0.525418577519507,-43.8039540573307,235.071403992932,100,63.0641706528188,282.992430825113,281.091791109081,32.9438467861909,320.122421619257,3.68811561144378,779.805171763417,0.80692053741505,41.8063004724416,178.783272953367,20.8311522846322,-36.3842258276712,2.63616051583833,7.39775463900244,0.9,1.10886284720466,1.11144295979394,1.27768129109235,1.00507357572186,0.876073330132565,0.840115199545137,1,0.978443822813713,1,1,0.947808889204637,1,0.990239693799195,3525827830.5,0.0629031726276657,2312
"6",10,40,0.452462413076513,0.47835267679909,5.29644952557796,5.59159241402885,0.945876201852109,0.0258902637225774,0.044689347447452,0.0113081100952172,0,0.418191026953684,0.00416419230273664,0,4.50718554252644,95.4928144574736,46.379226309014,36.0133699774148,17.6074037135713,0,53.620773690986,0.555299788420077,-55.9430448153217,227.108313591712,100,61.9478568348495,278.0698647967,277.047841147251,36.6675651533253,314.482399489803,3.61511297953788,776.325702862583,0.915859453328259,38.5619537399761,177.925923974636,19.4211572705043,-53.1560418879606,2.07230345011228,6.4600972921024,0.9,1.03162085098913,1.1457933551379,1.23924376048725,1.00522496197911,0.883112884418686,0.846951286798597,1,0.965813604312318,1,1,0.930292994201718,1,1.02366183118292,223549188.4,0.0544384798579042,472
"7",10,45,0.415470143533624,0.462978063794066,4.87327864475671,5.41642730864255,0.897386239272075,0.0475079202604422,0.0479026342612181,0.00812083251279266,0,0.403225286743297,0.00372931027675853,0,4.10684038876102,95.893159611239,46.9771271714522,37.3026139424329,15.7202588861149,0,53.0228728285478,0.303526890801171,-47.4776361265464,138.721109179226,100,58.7995718122698,289.643753115201,287.941545109504,44.4667765145626,307.145657367247,3.54401777663376,780.340656993924,3.91205174523112,45.884064085907,168.708302995909,26.0221794556708,-34.5126777371602,1.92745469760548,7.35764764773357,0.9,1.01631904972708,1.20943788868727,1.27540292712524,1.00578096215629,0.86996379397046,0.839114561951934,1,0.984235966972214,1,1,0.931070265322888,1,1.00982080696834,2536782802.3,0.0687470579869103,1429
"8",10,50,0.638091651283376,0.508379582757144,7.39400808742812,5.93283592140188,1.25514806834443,-0.129712068526232,0.0483691673862106,0.00769335751062754,0,0.450330086963581,0.0019869708967247,0,8.28488903279504,91.715110967205,35.5963397609764,42.251365600911,22.1522946381126,0,64.4036602390236,0.280425898861912,-51.2633315572353,88.9022399716819,100,59.1180336410541,276.381676501383,274.608300926461,46.0606034200652,305.907737302563,3.48471405126612,780.285921258406,3.09117322997225,46.7476245148861,169.660624379615,25.7994094679774,-34.6223749729783,1.80660056716143,7.13639430724558,0.9,0.995843174659671,1.2195695634706,1.27029280100366,1.00583952999767,0.883503829632796,0.83926257311916,1,0.981790005827264,1,1,0.916275241689269,1,1.00295958661193,3529209933.2,0.0714504105183887,2380
"9",20,15,0.569244731212701,0.48348939108512,6.62107722867439,5.65004940947205,1.17736757353686,-0.0857553401275818,0.0361426495043931,0.00388920008116542,0.00145487215614587,0.430189692834075,0.01181297650934,0,9.14412111246786,90.8558788875321,43.8471776970794,41.3999957279288,14.7528265749918,0,56.1528223029206,0.328469811487771,-36.0573734343584,64.9142274664318,100,60.4104774886925,314.836688855336,312.934490370298,14.5012151313264,341.892028531283,3.52712814444275,779.380631098867,4.50129298680546,54.6115953347403,173.332189864219,29.3691704903025,-39.9799390453561,9.31951109524464,11.3464756448872,0.9,1.29019972863449,0.9148654428138,1.28453421754397,1.00525703715899,0.842699961272417,0.840925291485504,1,0.969186044520681,1,1,0.927001331006203,1,0.989322368590102,5763260667.9,0.072592167766383,2998
"10",20,20,0.551193212522717,0.429464926315164,6.41744017292888,5.03357454319041,1.28344174052114,-0.121728286207553,0.0360016706557598,0.00687870877365157,0.00123400092801057,0.380668196438151,0.00468234951959164,0,4.86619201018206,95.1338079898179,33.9331724584142,38.9571033402937,27.1097242012921,0,66.0668275415858,0.602080759278492,-50.6343295867612,40.5712623409367,100,57.2108353772859,310.031238260211,307.819394645837,16.5663213841902,339.707563102958,3.53718602241484,780.357513721929,6.88467024526873,47.8989009472286,178.19767325481,22.4982616530213,-21.7494140600391,8.9553266487726,12.5312845301095,0.9,1.29019807080025,0.942483994072068,1.25849321087574,1.00599401205215,0.847537050386496,0.839149627371242,1,1.00669027964398,1,1,0.914113124195938,1,0.986940100459171,73269389311.8,0.0592358537234783,8416
"11",20,25,0.605615489152315,0.496664712091878,7.03013831994711,5.79983594495023,1.21936484394382,-0.108950777060437,0.03787359552788,0.00620883760899332,0.00560523229686908,0.441226880013327,0.00575016664480882,0,5.68589551068416,94.3141044893158,45.1422218856475,35.8270153424249,19.0307627719276,0,54.8577781143525,0.425871190342356,-45.6468337333132,173.841488412003,100,57.4913534882638,302.487856065822,300.231468790161,22.7908269702627,332.111034969045,3.64871420436299,780.684367646119,3.57011601429939,50.7001431045071,175.554493617733,21.0810459398454,-29.7827343990737,7.44052798711723,14.5804620261941,0.9,1.29020704783952,1.00905617275661,1.27340482404215,1.00609473653277,0.855680779196236,0.838562894370705,1,0.989582327419524,1,1,0.928684888451342,1,0.989702424872326,66898728864.3,0.0604741547455946,8617
